Year,HYTCP,WYTCP,SOEGP,NUETP,GDP
1960,17445.0,0.0,0.0,0.0,
1961,15368.0,5.0,0.0,0.0,
1962,22835.0,7.0,0.0,0.0,
1963,25334.0,193.0,0.0,0.0,67809.0
1964,22098.0,367.0,0.0,0.0,73513.0
1965,30523.0,270.0,0.0,0.0,78253.0
1966,26236.0,163.0,0.0,0.0,84627.0
1967,35277.0,563.0,0.0,0.0,89571.0
1968,27175.0,1505.0,0.0,0.0,98721.0
1969,40418.0,2458.0,0.0,0.0,106629.0
1970,38082.0,3132.0,0.0,0.0,111985.0
1971,39018.0,3519.0,0.0,0.0,120372.0
1972,31755.0,3175.0,0.0,0.0,133143.0
1973,38754.0,2631.0,0.0,0.0,147231.0
1974,46422.0,3698.0,0.0,0.0,161815.0
1975,40103.0,6071.0,0.0,0.0,178394.0
1976,23193.0,4807.0,0.0,0.0,197347.0
1977,14251.0,8115.0,0.0,0.0,229592.0
1978,37206.0,7659.0,0.0,0.0,262803.0
1979,33920.0,8762.0,0.0,0.0,293491.0
1980,40780.0,4920.0,0.0,0.0,327958.0
1981,29764.0,3206.0,0.0,0.0,368808.0
1982,50226.0,3735.0,0.0,0.0,393788.0
1983,56885.0,5613.0,0.0,1.0,426143.0
1984,43159.0,14144.0,5.0,4.0,482166.0
1985,31717.0,19729.0,11.0,3.0,523906.0
1986,41459.0,26215.0,14.0,3.0,563082.0
1987,24564.0,30387.0,10.0,4.0,615359.0
1988,23474.0,30863.0,9.0,1.0,671575.0
1989,30801.0,32519.0,250.0,2079.0,722979.0
1990,23793.0,32693.0,367.0,2759.0,773460.0
1991,21957.0,31542.0,471.0,2915.0,790046.0
1992,20167.0,35244.0,399.0,2864.0,807358.0
1993,40493.0,31581.0,462.0,2984.0,826447.0
1994,23013.0,33752.0,486.0,3387.0,861360.0
1995,48033.0,30246.0,497.0,3087.0,911577.0
1996,44751.0,34097.0,521.0,3079.0,964186.0
1997,41055.0,30512.0,511.0,3137.0,1037091.0
1998,49548.0,34594.0,502.0,2758.0,1151119.0
1999,40737.0,33372.0,495.0,3230.0,1248006.0
2000,38334.0,35176.0,493.0,3518.0,1362995.0
2001,25542.0,33220.0,542.0,3500.0,1376163.0
2002,31141.0,34352.0,554.0,3803.0,1431267.0
2003,36371.0,35594.0,534.0,3895.0,1523473.0
2004,34141.0,30268.0,571.0,4306.0,1645084.0
2005,39632.0,36155.0,537.0,4262.0,1766693.0
2006,48047.0,31959.0,495.0,4883.0,1879520.0
2007,27328.0,35792.0,557.0,5585.0,1956523.0
2008,24128.0,32482.0,670.0,5385.0,1983926.0
2009,27888.0,31764.0,647.0,5840.0,1912115.0
2010,33431.0,32201.0,765.0,6079.0,1965886.0
2011,42557.0,36663.0,861.0,7752.0,2036297.0
2012,26837.0,18507.0,1328.0,9754.0,2131199.0
2013,23755.0,17912.0,3727.0,12822.0,2223958.0
2014,16531.0,16986.0,9834.0,12992.0,2350807.0
2015,,,,,2481348.0
