Year,HYTCP,WYTCP,SOEGP,NUETP,GDP
1960,2633.0,0.0,0.0,0.0,
1961,2545.0,0.0,0.0,0.0,
1962,2775.0,0.0,0.0,0.0,
1963,2328.0,0.0,0.0,0.0,8355.0
1964,2415.0,0.0,0.0,0.0,8774.0
1965,2464.0,0.0,0.0,0.0,9518.0
1966,2565.0,0.0,0.0,0.0,10378.0
1967,3697.0,0.0,0.0,0.0,11041.0
1968,2927.0,0.0,0.0,0.0,12212.0
1969,2678.0,0.0,0.0,0.0,13206.0
1970,3174.0,0.0,0.0,0.0,13943.0
1971,3536.0,0.0,0.0,0.0,15568.0
1972,3770.0,0.0,0.0,0.0,16915.0
1973,3823.0,0.0,0.0,0.0,18903.0
1974,3398.0,0.0,0.0,0.0,21173.0
1975,3463.0,0.0,0.0,0.0,22810.0
1976,3159.0,0.0,0.0,0.0,26040.0
1977,3313.0,0.0,0.0,0.0,29176.0
1978,3182.0,0.0,0.0,0.0,32683.0
1979,3940.0,0.0,0.0,0.0,35838.0
1980,2940.0,0.0,0.0,0.0,37017.0
1981,2598.0,0.0,0.0,0.0,41068.0
1982,3343.0,0.0,0.0,0.0,42184.0
1983,3244.0,0.0,0.0,0.0,44092.0
1984,3514.0,0.0,0.0,0.0,49344.0
1985,2941.0,0.0,0.0,0.0,51893.0
1986,2734.0,0.0,0.0,0.0,53199.0
1987,2948.0,0.0,0.0,0.0,56282.0
1988,2423.0,0.0,0.0,0.0,61851.0
1989,4404.0,0.0,0.0,0.0,65525.0
1990,3160.0,0.0,0.0,0.0,68412.0
1991,3658.0,0.0,0.0,0.0,71679.0
1992,3767.0,0.0,0.0,0.0,77531.0
1993,3155.0,0.0,0.0,0.0,81618.0
1994,4014.0,0.0,0.0,0.0,87646.0
1995,3423.0,0.0,0.0,0.0,91915.0
1996,3497.0,0.0,0.0,0.0,96617.0
1997,3380.0,0.0,0.0,0.0,103621.0
1998,3116.0,0.0,0.0,0.0,109619.0
1999,2557.0,0.0,0.0,0.0,115418.0
2000,2325.0,0.0,0.0,0.0,114592.0
2001,3856.0,0.0,0.0,0.0,118302.0
2002,4025.0,0.0,0.0,0.0,123039.0
2003,3948.0,0.0,0.0,0.0,128081.0
2004,3780.0,0.0,0.0,0.0,135666.0
2005,2961.0,0.0,0.0,0.0,143875.0
2006,2592.0,0.0,0.0,0.0,152133.0
2007,1669.0,0.0,0.0,0.0,155441.0
2008,1917.0,0.0,0.0,0.0,158847.0
2009,3318.0,0.0,0.0,0.0,156319.0
2010,2580.0,0.0,0.0,0.0,165974.0
2011,2969.0,0.0,0.0,0.0,171835.0
2012,2362.0,0.0,0.0,0.0,177046.0
2013,3275.0,0.0,0.0,0.0,181440.0
2014,3144.0,0.0,0.0,0.0,186344.0
2015,,,,,193274.0
