,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
0,1960,887.0,0.0,0.0,0.0,7520.199999999953,0.0,0.0,0.0,0.0,0.0,24.1,-2.49,2.91,23.72
1,1961,737.0,0.0,0.0,0.0,8533.800000000047,0.0,0.0,0.0,0.0,0.0,23.04,-8.11,2.85,22.96
2,1962,966.0,0.0,0.0,0.0,9547.399999999907,0.0,0.0,0.0,0.0,0.0,28.21,9.25,2.85,22.69
3,1963,841.0,1.0,0.0,0.0,10745.0,0.0,0.0,0.0,0.0,0.0,24.08,-6.63,2.91,22.9
4,1964,945.0,56.0,0.0,0.0,11353.0,0.0,0.0,0.0,0.0,0.0,26.65,-3.59,3.0,23.3
5,1965,1093.0,143.0,0.0,0.0,12480.0,0.0,0.0,0.0,0.0,0.0,33.24,22.28,3.01,23.0
6,1966,1186.0,129.0,0.0,0.0,13747.0,0.0,0.0,0.0,0.0,0.0,24.67,1.06,3.1,23.01
7,1967,863.0,141.0,0.0,0.0,14616.0,0.0,0.0,0.0,0.0,0.0,21.48,-6.62,3.12,22.53
8,1968,1007.0,15.0,0.0,0.0,16149.0,0.0,0.0,0.0,0.0,0.0,33.45,11.77,3.18,21.99
9,1969,1004.0,0.0,0.0,0.0,17681.0,0.0,0.0,0.0,0.0,0.0,25.69,4.26,3.32,21.81
10,1970,894.0,0.0,0.0,0.0,18699.0,0.0,0.0,0.0,0.0,0.0,27.43,4.33,3.39,21.04
11,1971,980.0,1394.0,0.0,0.0,20035.0,0.0,0.0,0.0,0.0,0.0,29.07,11.04,3.6,21.42
12,1972,1041.0,3559.0,0.0,0.0,21925.0,0.0,0.0,0.0,0.0,0.0,27.72,10.98,3.6,20.74
13,1973,1057.0,3270.0,0.0,0.0,26001.0,0.0,0.0,0.0,0.0,0.0,28.14,7.19,4.75,25.56
14,1974,918.0,4363.0,0.0,0.0,27689.0,0.0,0.0,0.0,0.0,0.0,23.53,-2.42,9.35,45.6
15,1975,917.0,9750.0,0.0,0.0,29683.0,0.0,0.0,0.0,0.0,0.0,27.99,4.96,12.21,54.61
16,1976,588.0,9911.0,0.0,0.0,32840.0,0.0,0.0,0.0,0.0,0.0,15.87,-26.57,13.1,55.46
17,1977,670.0,11163.0,0.0,0.0,36830.0,0.0,0.0,0.0,0.0,0.0,33.93,1.35,14.4,57.2
18,1978,1081.0,11591.0,0.0,0.0,41641.0,0.0,0.0,0.0,0.0,0.0,25.93,3.4,14.95,55.24
19,1979,917.0,11503.0,0.0,0.0,46861.0,0.0,0.0,0.0,0.0,0.0,28.39,13.67,25.1,82.51
20,1980,786.0,10027.0,0.0,0.0,50219.0,0.0,0.0,0.0,0.0,0.0,22.07,-9.61,37.42,109.51
21,1981,938.0,10187.0,0.0,0.0,55404.0,0.0,0.0,0.0,0.0,0.0,28.05,5.95,35.75,94.83
22,1982,1006.0,10197.0,0.0,0.0,57472.0,0.0,0.0,0.0,0.0,0.0,29.82,13.77,31.83,79.5
23,1983,1073.0,11753.0,0.0,0.0,61950.0,0.0,0.0,0.0,0.0,0.0,29.13,10.23,29.08,70.34
24,1984,971.0,8328.0,0.0,0.0,71369.0,0.0,0.0,0.0,0.0,0.0,28.01,6.58,28.75,66.67
25,1985,973.0,11572.0,0.0,0.0,75832.0,0.0,0.0,0.0,0.0,0.0,30.69,15.89,26.92,60.27
26,1986,1081.0,11052.0,0.0,0.0,79450.0,0.0,391.65837,62.0,0.0,0.0,31.44,15.46,14.44,31.72
27,1987,865.0,11554.0,0.0,0.0,85365.0,0.0,390.26176,62.0,0.0,0.0,22.09,-14.69,17.75,37.62
28,1988,677.0,12288.0,0.0,0.0,91896.0,0.0,388.86046,62.0,0.0,0.0,22.41,-21.13,14.87,30.33
29,1989,817.0,10926.0,0.0,0.0,98313.0,0.0,1636.76925,261.90476,0.0,0.0,22.47,-10.89,18.33,35.6
30,1990,857.0,12139.0,0.0,0.0,102757.0,0.0,1631.10205,261.90476,0.0,0.0,26.36,-4.19,23.19,42.62
31,1991,1037.0,12059.0,0.0,0.0,106102.0,0.0,2511.70929,404.7619,0.0,0.0,32.2,13.86,20.2,35.73
32,1992,1063.0,11166.0,0.0,0.0,114518.0,0.0,5152.3456,833.3333299999997,0.0,0.0,25.47,7.38,19.25,33.04
33,1993,1151.0,11986.0,0.0,0.0,117947.0,0.0,5574.47329,904.7619,0.0,0.0,31.44,19.92,16.75,27.94
34,1994,1139.0,12224.0,0.0,40.0,128167.0,0.0,5992.55986,976.19048,0.0,0.0,28.23,7.21,15.66,25.44
35,1995,1098.0,13243.0,0.0,57.0,135124.0,0.0,7427.9801700000025,1214.28571,0.0,0.0,29.51,11.51,16.75,26.48
36,1996,1187.0,12095.0,0.0,50.0,145880.0,0.0,10014.19974,1642.85714,0.0,0.0,27.77,9.62,20.46,31.4
37,1997,1035.0,10819.0,0.0,54.0,156650.0,0.0,16197.439769999999,2666.66667,0.0,0.0,25.2,3.84,18.64,27.98
38,1998,955.0,11644.0,0.0,147.0,167034.0,0.0,17869.22668,2952.38095,0.0,0.0,28.84,5.51,11.91,17.6
39,1999,1179.0,13316.0,0.0,486.0,175778.0,0.0,27340.366319999997,4523.809520000002,0.0,0.0,29.67,11.16,16.56,23.89
40,2000,931.0,12960.0,0.0,725.0,191106.0,0.0,31616.20065,5238.09524,0.0,0.0,27.98,6.89,27.39,38.29
41,2001,832.0,11789.0,0.0,897.0,195810.0,0.0,36167.87953,6000.0,0.0,0.0,29.28,4.89,23.0,31.3
42,2002,809.0,13685.0,0.0,906.0,203521.0,0.0,43001.00063,7142.857140000001,0.0,0.0,28.59,8.85,22.81,30.52
43,2003,815.0,13414.0,0.0,978.0,216458.0,0.0,51231.693960000004,8547.61905,0.0,0.0,22.2,-8.94,27.69,36.26
44,2004,738.0,13296.0,0.0,812.0,231170.0,0.0,56830.66643,9523.80952,0.0,0.0,29.87,8.11,37.66,47.98
45,2005,775.0,12835.0,0.0,1582.0,243933.0,0.0,59417.39971000001,10000.0,0.0,0.0,31.6,12.39,50.04,61.65
46,2006,572.0,13183.0,0.0,2055.0,250027.0,0.0,77462.00052,13095.2381,0.0,0.0,22.78,-10.92,58.3,69.64
47,2007,654.0,13103.0,0.0,2639.0,258917.0,0.0,83146.96046,14119.46031,0.0,0.0,29.21,0.85,64.2,74.44
48,2008,727.0,12997.0,0.0,4355.0,264299.0,0.0,100459.48289,17133.490980000002,0.0,0.0,27.34,7.26,91.48,102.0
