Year,HYTCP,WYTCP,SOEGP,NUETP,GDP
1960,1060.0,0.0,0.0,0.0,
1961,1407.0,0.0,0.0,0.0,
1962,1293.0,0.0,0.0,0.0,
1963,1483.0,0.0,0.0,0.0,1624.0
1964,1878.0,0.0,0.0,0.0,1591.0
1965,2497.0,0.0,0.0,0.0,1825.0
1966,1929.0,0.0,0.0,0.0,1846.0
1967,2771.0,0.0,0.0,0.0,1874.0
1968,2499.0,0.0,0.0,0.0,1958.0
1969,2939.0,0.0,0.0,0.0,2178.0
1970,2815.0,0.0,0.0,0.0,2294.0
1971,3235.0,0.0,0.0,0.0,2632.0
1972,3095.0,0.0,0.0,0.0,3078.0
1973,2382.0,0.0,0.0,0.0,4404.0
1974,2729.0,0.0,0.0,0.0,4506.0
1975,3345.0,0.0,0.0,0.0,4869.0
1976,3272.0,0.0,0.0,0.0,5052.0
1977,1994.0,0.0,0.0,0.0,5243.0
1978,3034.0,0.0,0.0,0.0,6417.0
1979,2736.0,0.0,0.0,0.0,7218.0
1980,2513.0,0.0,0.0,0.0,7645.0
1981,2250.0,0.0,0.0,0.0,9954.0
1982,2553.0,0.0,0.0,0.0,9954.0
1983,2377.0,0.0,0.0,0.0,10045.0
1984,2362.0,0.0,0.0,0.0,10642.0
1985,2173.0,0.0,0.0,0.0,10655.0
1986,2326.0,0.0,0.0,0.0,9773.0
1987,1982.0,0.0,0.0,0.0,10306.0
1988,1884.0,0.0,0.0,0.0,9748.0
1989,1893.0,0.0,0.0,0.0,10729.0
1990,1711.0,0.0,0.0,0.0,11509.0
1991,1757.0,0.0,0.0,0.0,11691.0
1992,1699.0,0.0,0.0,0.0,12896.0
1993,1415.0,0.0,0.0,0.0,13049.0
1994,1856.0,0.0,0.0,0.0,14304.0
1995,2457.0,0.0,0.0,0.0,14842.0
1996,3151.0,0.0,0.0,0.0,16491.0
1997,3320.0,0.0,0.0,0.0,16501.0
1998,2296.0,0.0,0.0,0.0,16761.0
1999,2609.0,0.0,0.0,0.0,16958.0
2000,2123.0,0.0,0.0,0.0,17973.0
2001,1332.0,0.0,0.0,0.0,18971.0
2002,1593.0,0.0,0.0,0.0,20263.0
2003,1724.0,0.0,0.0,59.0,22194.0
2004,1546.0,0.0,0.0,215.0,23262.0
2005,1342.0,0.0,0.0,220.0,24622.0
2006,1521.0,0.0,0.0,369.0,26414.0
2007,1305.0,0.0,0.0,621.0,28887.0
2008,1253.0,0.0,0.0,1693.0,32495.0
2009,1475.0,0.0,0.0,2998.0,32489.0
2010,2042.0,0.0,0.0,4096.0,36202.0
2011,2580.0,0.0,0.0,5236.0,42164.0
2012,2477.0,0.0,0.0,5275.0,52493.0
2013,1852.0,0.0,0.0,5519.0,54982.0
2014,2531.0,0.0,0.0,6202.0,59308.0
2015,,,,,55860.0
