Year,HYTCP,WYTCP,SOEGP,NUETP,GDP
1960,1373.0,0.0,0.0,0.0,
1961,1189.0,0.0,0.0,0.0,
1962,1358.0,0.0,0.0,0.0,
1963,1289.0,0.0,0.0,0.0,1651.0
1964,1152.0,0.0,0.0,0.0,1812.0
1965,1053.0,0.0,0.0,0.0,1961.0
1966,1227.0,0.0,0.0,0.0,2169.0
1967,1202.0,0.0,0.0,0.0,2370.0
1968,1205.0,0.0,0.0,0.0,2596.0
1969,1439.0,0.0,0.0,0.0,2817.0
1970,1239.0,0.0,0.0,0.0,3050.0
1971,1093.0,0.0,0.0,0.0,3332.0
1972,1270.0,0.0,0.0,0.0,3626.0
1973,1613.0,0.0,0.0,0.0,4173.0
1974,1465.0,0.0,0.0,0.0,4470.0
1975,1251.0,0.0,0.0,0.0,4842.0
1976,1515.0,0.0,0.0,0.0,5511.0
1977,1404.0,0.0,0.0,0.0,6298.0
1978,1131.0,0.0,0.0,0.0,7389.0
1979,1212.0,0.0,0.0,0.0,8351.0
1980,1027.0,0.0,0.0,0.0,9263.0
1981,1361.0,0.0,0.0,0.0,10480.0
1982,1250.0,0.0,0.0,0.0,11407.0
1983,1353.0,0.0,0.0,0.0,12629.0
1984,1255.0,0.0,0.0,0.0,14767.0
1985,1131.0,0.0,0.0,0.0,16578.0
1986,1260.0,0.0,0.0,0.0,18369.0
1987,1051.0,0.0,0.0,0.0,20994.0
1988,1123.0,0.0,0.0,0.0,22937.0
1989,1341.0,0.0,0.0,0.0,23777.0
1990,1881.0,4081.0,0.0,0.0,23768.0
1991,1585.0,6788.0,0.0,0.0,24763.0
1992,1394.0,7869.0,0.0,0.0,26332.0
1993,1411.0,9047.0,0.0,0.0,27362.0
1994,1461.0,6204.0,0.0,0.0,29190.0
1995,1370.0,8379.0,0.0,0.0,31876.0
1996,1919.0,9845.0,0.0,0.0,34561.0
1997,1622.0,7979.0,0.0,0.0,36935.0
1998,1597.0,8387.0,0.0,0.0,40652.0
1999,1411.0,8676.0,0.0,0.0,42027.0
2000,1427.0,7922.0,0.0,0.0,45519.0
2001,991.0,8693.0,0.0,0.0,46967.0
2002,1141.0,9295.0,0.0,0.0,49091.0
2003,1331.0,9276.0,0.0,0.0,51660.0
2004,1316.0,10178.0,0.0,0.0,54327.0
2005,1799.0,9456.0,0.0,0.0,57282.0
2006,1529.0,9398.0,0.0,0.0,59947.0
2007,1265.0,10764.0,0.0,0.0,61370.0
2008,1633.0,9350.0,0.0,10.0,61442.0
2009,1680.0,8817.0,0.0,62.0,62205.0
2010,1478.0,10910.0,0.0,76.0,64159.0
2011,1605.0,8363.0,0.0,66.0,65214.0
2012,1289.0,8189.0,0.0,209.0,66948.0
2013,1427.0,10927.0,0.0,389.0,68533.0
2014,1381.0,10168.0,0.0,412.0,71153.0
2015,,,,,73867.0
