,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
0,1960,9.0,0.0,0.0,0.0,1925.5,0.0,0.0,0.0,0.0,0.0,45.13,1.87,2.91,23.72
1,1961,8.0,0.0,0.0,0.0,2173.4000000000233,0.0,0.0,0.0,0.0,0.0,46.46,1.44,2.85,22.96
2,1962,5.0,0.0,0.0,0.0,2421.2999999999884,0.0,0.0,0.0,0.0,0.0,45.29,2.72,2.85,22.69
3,1963,4.0,0.0,0.0,0.0,2686.0,0.0,0.0,0.0,0.0,0.0,38.22,-8.25,2.91,22.9
4,1964,4.0,0.0,0.0,0.0,2881.0,0.0,0.0,0.0,0.0,0.0,37.96,-10.53,3.0,23.3
5,1965,2.0,0.0,0.0,0.0,3157.0,0.0,0.0,0.0,0.0,0.0,28.22,-19.63,3.01,23.0
6,1966,2.0,0.0,0.0,0.0,3470.0,0.0,0.0,0.0,0.0,0.0,37.45,-8.1,3.1,23.01
7,1967,5.0,0.0,0.0,0.0,3631.0,0.0,0.0,0.0,0.0,0.0,48.16,5.5,3.12,22.53
8,1968,5.0,0.0,0.0,0.0,3912.0,0.0,0.0,0.0,0.0,0.0,43.08,-4.7,3.18,21.99
9,1969,4.0,0.0,0.0,0.0,4113.0,0.0,0.0,0.0,0.0,0.0,48.54,1.99,3.32,21.81
10,1970,3.0,0.0,0.0,0.0,4311.0,0.0,0.0,0.0,0.0,0.0,43.54,-2.02,3.39,21.04
11,1971,1.0,0.0,0.0,0.0,4599.0,0.0,0.0,0.0,0.0,0.0,39.89,-6.99,3.6,21.42
12,1972,6.0,0.0,0.0,0.0,5114.0,0.0,0.0,0.0,0.0,0.0,63.49,21.48,3.6,20.74
13,1973,5.0,0.0,0.0,0.0,5418.0,0.0,0.0,0.0,0.0,0.0,51.05,5.94,4.75,25.56
14,1974,4.0,0.0,0.0,0.0,5599.0,0.0,0.0,0.0,0.0,0.0,42.86,-1.82,9.35,45.6
15,1975,3.0,0.0,0.0,0.0,6002.0,0.0,0.0,0.0,0.0,0.0,53.26,8.82,12.21,54.61
16,1976,3.0,0.0,0.0,0.0,6528.0,0.0,0.0,0.0,0.0,0.0,41.75,-2.5,13.1,55.46
17,1977,4.0,0.0,0.0,0.0,7245.0,0.0,0.0,0.0,0.0,0.0,52.76,7.72,14.4,57.2
18,1978,4.0,0.0,0.0,0.0,7975.0,0.0,0.0,0.0,0.0,0.0,46.24,1.64,14.95,55.24
19,1979,3.0,0.0,0.0,0.0,8845.0,0.0,0.0,0.0,0.0,0.0,55.87,10.34,25.1,82.51
20,1980,1.0,0.0,0.0,0.0,9626.0,0.0,0.0,0.0,0.0,0.0,37.37,-9.19,37.42,109.51
21,1981,0.0,0.0,0.0,0.0,10729.0,0.0,0.0,0.0,0.0,0.0,40.3,-5.28,35.75,94.83
22,1982,3.0,0.0,0.0,0.0,11420.0,0.0,0.0,0.0,0.0,0.0,48.87,4.78,31.83,79.5
23,1983,3.0,0.0,0.0,0.0,12323.0,0.0,0.0,0.0,0.0,0.0,63.03,15.57,29.08,70.34
24,1984,2.0,0.0,0.0,0.0,13801.0,0.0,0.0,0.0,0.0,0.0,50.67,7.33,28.75,66.67
25,1985,0.0,0.0,0.0,0.0,15222.0,0.0,0.0,0.0,0.0,0.0,42.32,-1.91,26.92,60.27
26,1986,0.0,0.0,0.0,0.0,16622.0,0.0,0.0,0.0,0.0,0.0,48.57,5.46,14.44,31.72
27,1987,0.0,0.0,0.0,0.0,17891.0,0.0,0.0,0.0,0.0,0.0,42.88,-4.82,17.75,37.62
28,1988,0.0,0.0,0.0,0.0,19738.0,0.0,0.0,0.0,0.0,0.0,42.97,-1.72,14.87,30.33
29,1989,5.0,0.0,0.0,0.0,21059.0,0.0,0.0,0.0,0.0,0.0,55.04,13.21,18.33,35.6
30,1990,10.0,0.0,0.0,0.0,21664.0,0.0,0.0,0.0,0.0,0.0,50.03,4.09,23.19,42.62
31,1991,10.0,0.0,0.0,0.0,21738.0,0.0,0.0,0.0,0.0,0.0,46.76,-1.53,20.2,35.73
32,1992,10.0,0.0,0.0,0.0,22665.0,0.0,0.0,0.0,0.0,0.0,48.17,5.3,19.25,33.04
33,1993,9.0,0.0,0.0,0.0,23566.0,0.0,0.0,0.0,0.0,0.0,43.79,-4.53,16.75,27.94
34,1994,9.0,0.0,0.0,0.0,24354.0,0.0,0.0,0.0,0.0,0.0,46.01,-2.33,15.66,25.44
35,1995,9.0,0.0,0.0,0.0,25550.0,0.0,0.0,0.0,0.0,0.0,40.2,-6.61,16.75,26.48
36,1996,10.0,0.0,0.0,0.0,26454.0,0.0,0.0,0.0,0.0,0.0,56.46,13.35,20.46,31.4
37,1997,8.0,0.0,0.0,0.0,28717.0,0.0,0.0,0.0,0.0,0.0,40.88,-6.14,18.64,27.98
38,1998,9.0,0.0,0.0,0.0,30783.0,0.0,0.0,0.0,0.0,0.0,56.42,10.4,11.91,17.6
39,1999,6.0,0.0,0.0,0.0,32383.0,0.0,0.0,0.0,0.0,0.0,45.99,-2.85,16.56,23.89
40,2000,5.0,0.0,0.0,0.0,34613.0,0.0,0.0,0.0,0.0,0.0,48.85,5.25,27.39,38.29
41,2001,3.0,0.0,0.0,0.0,36281.0,0.0,0.0,0.0,0.0,0.0,43.23,-3.48,23.0,31.3
42,2002,4.0,0.0,0.0,0.0,38349.0,0.0,0.0,0.0,0.0,0.0,47.44,-0.25,22.81,30.52
43,2003,6.0,0.0,0.0,0.0,40788.0,0.0,0.0,0.0,0.0,0.0,52.98,10.21,27.69,36.26
44,2004,5.0,0.0,0.0,0.0,43713.0,0.0,0.0,0.0,0.0,0.0,47.61,1.77,37.66,47.98
45,2005,7.0,0.0,0.0,0.0,45663.0,0.0,0.0,0.0,0.0,0.0,57.85,10.37,50.04,61.65
46,2006,6.0,0.0,0.0,0.0,48011.0,0.0,0.0,0.0,0.0,0.0,56.73,10.59,58.3,69.64
47,2007,4.0,0.0,0.0,0.0,48044.0,0.0,0.0,0.0,0.0,0.0,44.47,-4.54,64.2,74.44
48,2008,5.0,0.0,0.0,0.0,47343.0,0.0,0.0,0.0,0.0,0.0,56.73,11.63,91.48,102.0
49,2009,5.0,0.0,0.0,0.0,47709.0,0.0,0.0,0.0,0.0,0.0,54.02,10.93,53.48,59.93
50,2010,4.0,0.0,0.0,3.0,49351.0,0.0,0.0,0.0,0.0,0.0,53.37,4.27,71.21,78.65
51,2011,7.0,0.0,0.0,3.0,49716.0,0.0,0.0,0.0,0.0,0.0,57.57,12.02,87.04,93.21
52,2012,4.0,0.0,0.0,1.0,50997.0,0.0,0.0,0.0,0.0,0.0,41.13,-6.34,86.46,90.72
53,2013,4.0,0.0,2.0,3.0,52274.0,0.0,0.0,0.0,0.0,0.0,43.18,-3.87,91.17,94.25
54,2014,4.0,0.0,10.0,10.0,53898.0,0.0,0.0,0.0,0.0,0.0,47.29,1.1,85.6,87.05
55,2015,,,,,50802.263581857784,0.0,0.0,0.0,0.0,0.0,40.88,-8.64,41.85,42.53
56,2016,,,,,51838.44595320732,0.0,0.0,0.0,0.0,0.0,41.31,-7.63,46.123462737126886,45.34334281602651
57,2017,,,,,52882.67533343821,0.0,0.0,0.0,0.0,0.0,48.996454274197646,1.7966289941961975,50.27031775246161,47.865574195635816
58,2018,,,,,53926.92029355117,0.0,0.0,0.0,0.0,0.0,49.20275079902197,1.3549572785818782,53.639684141308464,49.56425183269465
59,2019,,,,,54971.16525366367,0.0,0.0,0.0,0.0,0.0,50.53030941208499,3.8660790703165873,56.231561903667796,51.26292946975343
60,2020,,,,,56015.412161261076,0.0,0.0,0.0,0.0,0.0,50.38241959939077,3.7431621575447735,58.8234396660269,52.96160710681224
