Year,HYTCP,WYTCP,SOEGP,NUETP,GDP
1960,8676.0,0.0,0.0,0.0,
1961,8749.0,0.0,0.0,0.0,
1962,9636.0,0.0,0.0,0.0,
1963,7722.0,0.0,0.0,0.0,9055.0
1964,9097.0,0.0,0.0,0.0,9758.0
1965,8750.0,0.0,0.0,0.0,10820.0
1966,7633.0,0.0,0.0,0.0,11980.0
1967,9628.0,0.0,0.0,0.0,12598.0
1968,7721.0,0.0,0.0,0.0,13974.0
1969,7477.0,0.0,0.0,0.0,15167.0
1970,8067.0,0.0,0.0,0.0,16100.0
1971,9420.0,0.0,0.0,0.0,17867.0
1972,11132.0,0.0,0.0,0.0,20326.0
1973,11452.0,0.0,0.0,0.0,23150.0
1974,11767.0,0.0,0.0,0.0,25106.0
1975,11806.0,0.0,0.0,0.0,26645.0
1976,9474.0,0.0,0.0,0.0,30549.0
1977,10396.0,0.0,0.0,0.0,33598.0
1978,8783.0,0.0,0.0,0.0,38182.0
1979,12306.0,0.0,0.0,0.0,42194.0
1980,8764.0,519.0,0.0,0.0,44972.0
1981,5915.0,4704.0,0.0,0.0,50265.0
1982,9769.0,10104.0,0.0,0.0,52045.0
1983,9952.0,14051.0,0.0,0.0,57073.0
1984,10181.0,12501.0,0.0,0.0,63983.0
1985,6539.0,9672.0,0.0,0.0,68426.0
1986,5326.0,-105.0,0.0,0.0,73288.0
1987,7566.0,-108.0,0.0,0.0,80715.0
1988,4591.0,3940.0,0.0,0.0,87356.0
1989,11853.0,15603.0,0.0,0.0,91579.0
1990,10015.0,14003.0,0.0,0.0,94087.0
1991,10873.0,16587.0,0.0,0.0,101208.0
1992,10011.0,15654.0,0.0,0.0,111660.0
1993,8954.0,3305.0,0.0,0.0,119568.0
1994,12028.0,11932.0,0.0,0.0,129895.0
1995,9629.0,15708.0,0.0,0.0,137061.0
1996,11467.0,22924.0,0.0,0.0,143163.0
1997,11038.0,24648.0,0.0,0.0,152687.0
1998,10806.0,28388.0,0.0,0.0,166282.0
1999,7802.0,27227.0,0.0,0.0,174940.0
2000,6396.0,25825.0,0.0,0.0,181216.0
2001,6947.0,28576.0,0.0,0.0,185896.0
2002,7974.0,27574.0,0.0,4.0,194846.0
2003,12004.0,24153.0,0.0,4.0,204167.0
2004,10408.0,28612.0,0.0,4.0,218126.0
2005,9310.0,27803.0,0.0,3.0,227505.0
2006,7749.0,24679.0,0.0,55.0,239017.0
2007,4940.0,28700.0,0.0,50.0,243001.0
2008,5646.0,27030.0,0.0,50.0,249052.0
2009,10212.0,26962.0,0.0,52.0,246541.0
2010,8138.0,27739.0,0.0,41.0,252478.0
2011,9576.0,26919.0,0.0,53.0,263175.0
2012,8296.0,25102.0,10.0,47.0,278298.0
2013,12443.0,28494.0,18.0,47.0,288114.0
2014,8901.0,27670.0,25.0,51.0,299158.0
2015,,,,,315857.0
