,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
0,1960,304.0,0.0,0.0,0.0,2580.5,114689.0246,0.0,0.0,51217.74165,218045.2,10.6,-13.28,2.91,23.72
1,1961,231.0,0.0,0.0,0.0,2711.600000000006,119410.83308,0.0,0.0,57374.10617000001,192084.4,13.3,-5.93,2.85,22.96
2,1962,393.0,0.0,0.0,0.0,2842.6999999999825,99458.87764,0.0,0.0,74386.14327999999,179968.2,11.18,-3.46,2.85,22.69
3,1963,352.0,0.0,0.0,0.0,2998.0,100917.0832,0.0,0.0,77390.56958,193923.0,12.76,-10.81,2.91,22.9
4,1964,765.0,0.0,0.0,0.0,3078.0,109249.6864,0.0,0.0,80454.20135,165735.0,12.83,-2.61,3.0,23.3
5,1965,913.0,0.0,0.0,0.0,3207.0,115545.43104,0.0,0.0,71865.39549,146728.4,18.02,25.59,3.01,23.0
6,1966,791.0,0.0,0.0,0.0,3409.0,107282.2662,0.0,0.0,69607.5601,139849.6,10.51,-6.39,3.1,23.01
7,1967,1074.0,0.0,0.0,0.0,3488.0,96635.051,0.0,0.0,49135.51567,139478.4,13.95,4.82,3.12,22.53
8,1968,1017.0,0.0,0.0,0.0,3724.0,99898.65392,0.0,0.0,46311.7162,136323.2,13.68,4.16,3.18,21.99
9,1969,1117.0,0.0,0.0,0.0,4036.0,107791.48084,0.0,0.0,46895.74296,135111.0,15.36,10.91,3.32,21.81
10,1970,741.0,0.0,0.0,0.0,4448.0,109550.58596,0.0,0.0,42929.98052,135546.0,13.3,-0.34,3.39,21.04
11,1971,984.0,0.0,0.0,0.0,4936.0,107073.95112,0.0,0.0,47428.56359,137054.0,13.66,3.82,3.6,21.42
12,1972,1223.0,0.0,0.0,0.0,5604.0,111147.66824,0.0,0.0,43823.25457,154106.0,12.73,-3.15,3.6,20.74
13,1973,1111.0,0.0,0.0,0.0,6472.0,134315.335,0.0,0.0,47256.667460000004,189404.8,13.92,13.03,4.75,25.56
14,1974,941.0,0.0,0.0,0.0,7348.0,142065.93138,0.0,0.0,55828.947570000004,228305.4,9.73,-12.57,9.35,45.6
15,1975,1074.0,0.0,0.0,0.0,8186.0,165908.12595,0.0,0.0,59420.367139999995,245345.8,13.67,8.99,12.21,54.61
16,1976,1130.0,0.0,0.0,0.0,9300.0,179079.51722,0.0,0.0,61884.3076,198963.2,9.18,-11.51,13.1,55.46
17,1977,757.0,0.0,0.0,0.0,10381.0,198554.55766,0.0,0.0,65896.07272000001,192055.4,10.89,-21.48,14.4,57.2
18,1978,734.0,0.0,0.0,0.0,11998.0,210600.13887,0.0,0.0,62182.12985,181934.4,17.1,12.39,14.95,55.24
19,1979,802.0,0.0,0.0,0.0,13709.0,280171.79791,0.0,0.0,64851.745279999996,160822.4,11.78,3.7,25.1,82.51
20,1980,821.0,0.0,0.0,0.0,15311.0,309778.12356,0.0,0.0,104187.66634,144872.4,17.33,17.54,37.42,109.51
21,1981,623.0,0.0,0.0,0.0,17320.0,319632.22794,0.0,0.0,108861.4203,149988.0,15.23,-5.09,35.75,94.83
22,1982,1024.0,0.0,0.0,0.0,18365.0,396545.12734,0.0,0.0,98054.66522000001,130152.0,17.64,21.26,31.83,79.5
23,1983,1394.0,0.0,0.0,0.0,19752.0,271784.902,0.0,0.0,75919.71376,171297.2,20.07,29.31,29.08,70.34
24,1984,1391.0,0.0,0.0,0.0,22147.0,285332.53381,0.0,0.0,88109.14846,201196.2,15.73,18.27,28.75,66.67
25,1985,1019.0,0.0,0.0,0.0,24083.0,301122.2322,0.0,0.0,96835.69132,236593.6,14.8,9.55,26.92,60.27
26,1986,1413.0,0.0,0.0,0.0,24282.0,331530.08401,0.0,0.0,104635.17261000001,227197.6,15.01,7.04,14.44,31.72
27,1987,856.0,0.0,0.0,0.0,25100.0,383551.65932,0.0,0.0,116386.87840999999,207576.2,14.79,-2.59,17.75,37.62
28,1988,593.0,0.0,0.0,0.0,27325.0,420402.97756,0.0,0.0,146704.55187999998,191492.8,11.18,-6.22,14.87,30.33
29,1989,562.0,0.0,0.0,0.0,28668.0,459837.67244,0.0,0.0,161963.17927,164807.0,9.04,-19.47,18.33,35.6
30,1990,508.0,0.0,0.0,0.0,31249.0,511405.9068,0.0,0.0,189348.27664,160103.2,12.15,-16.2,23.19,42.62
31,1991,627.0,0.0,0.0,0.0,33501.0,507978.69045,0.0,0.0,180438.40915999998,141908.6,13.51,-2.54,20.2,35.73
32,1992,602.0,0.0,0.0,0.0,35602.0,492997.0509,0.0,0.0,204651.50573,131776.0,13.0,-8.7,19.25,33.04
33,1993,860.0,0.0,0.0,0.0,38631.0,506837.07333,0.0,0.0,266161.44817,126561.8,15.64,13.9,16.75,27.94
