State,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
AR,1960,992.0,0.0,0.0,0.0,2776.0,9177.96818,0.0,0.0,57392.86465,174678.6,45.49,-1.3,2.91,23.72
AR,1961,1395.0,0.0,0.0,0.0,3116.199999999953,8863.8079,0.0,0.0,61632.3044,169626.8,55.71,9.64,2.85,22.96
AR,1962,1061.0,0.0,0.0,0.0,3456.4000000000237,5744.64512,0.0,0.0,68531.74419,160364.2,45.79,-2.95,2.85,22.69
AR,1963,493.0,0.0,0.0,0.0,3791.0,4959.24442,0.0,0.0,78766.01672,158954.8,32.8,-17.61,2.91,22.9
AR,1964,561.0,0.0,0.0,0.0,4148.0,4757.28424,0.0,0.0,78834.328,155074.6,45.9,-6.28,3.0,23.3
AR,1965,1080.0,0.0,0.0,0.0,4446.0,5071.44452,0.0,0.0,85731.69775,150394.0,43.94,-4.28,3.01,23.0
AR,1966,1587.0,0.0,0.0,0.0,4868.0,5295.84472,0.0,0.0,108857.13777999999,138179.2,46.0,-3.8,3.1,23.01
AR,1967,1228.0,0.0,0.0,0.0,5132.0,4241.16378,0.0,0.0,120602.53873,122235.0,47.68,1.42,3.12,22.53
AR,1968,3005.0,0.0,0.0,0.0,5704.0,4734.84422,0.0,0.0,162111.99459000002,112891.2,58.33,10.11,3.18,21.99
AR,1969,2883.0,0.0,0.0,0.0,6232.0,5116.32456,0.0,0.0,175184.2905,104684.2,46.36,-2.89,3.32,21.81
AR,1970,2160.0,0.0,0.0,0.0,6667.0,6013.92536,0.0,0.0,187701.81597,104603.0,49.57,2.12,3.39,21.04
AR,1971,1804.0,0.0,0.0,0.0,7440.0,6193.44552,0.0,0.0,177562.32389,105925.4,42.7,-5.73,3.6,21.42
AR,1972,1644.0,0.0,0.0,0.0,8494.0,9604.32856,0.0,0.0,169378.42270999998,107410.2,49.03,0.09,3.6,20.74
AR,1973,4252.0,0.0,0.0,0.0,9886.0,9092.6038,0.0,0.0,159338.13599,104492.8,70.01,20.26,4.75,25.56
AR,1974,4271.0,361.0,0.0,0.0,10865.0,10210.2091,0.0,0.0,125477.88459000002,95856.6,58.8,12.13,9.35,45.6
AR,1975,3433.0,4874.0,0.0,0.0,11942.0,10765.68992,0.0,0.0,117374.2268,93571.4,53.46,6.42,12.21,54.61
AR,1976,2022.0,3858.0,0.0,0.0,13704.0,11982.97068,0.0,0.0,110568.54,104962.6,41.03,-3.82,13.1,55.46
AR,1977,1791.0,5085.0,0.0,0.0,15182.0,12633.73126,0.0,0.0,107368.54966,117171.6,46.4,-5.35,14.4,57.2
AR,1978,2421.0,5220.0,0.0,0.0,17477.0,12616.12188,0.0,0.0,108285.19430999999,117908.2,49.27,-1.64,14.95,55.24
