State,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
CT,1960,424.0,0.0,0.0,0.0,6809.6999999999525,0.0,0.0,0.0,0.0,0.0,47.85,3.28,2.91,23.72
CT,1961,367.0,0.0,0.0,0.0,7779.4000000001415,0.0,0.0,0.0,0.0,0.0,43.78,-4.14,2.85,22.96
CT,1962,295.0,0.0,0.0,0.0,8749.100000000093,0.0,0.0,0.0,0.0,0.0,40.27,-6.08,2.85,22.69
CT,1963,278.0,0.0,0.0,0.0,9877.0,0.0,0.0,0.0,0.0,0.0,38.01,-9.1,2.91,22.9
CT,1964,269.0,0.0,0.0,0.0,10551.0,0.0,0.0,0.0,0.0,0.0,35.07,-15.52,3.0,23.3
CT,1965,187.0,0.0,0.0,0.0,11456.0,0.0,0.0,0.0,0.0,0.0,30.73,-18.6,3.01,23.0
CT,1966,253.0,0.0,0.0,0.0,12812.0,0.0,0.0,0.0,0.0,0.0,37.59,-9.86,3.1,23.01
CT,1967,394.0,524.0,0.0,0.0,13595.0,0.0,0.0,0.0,0.0,0.0,45.36,0.4,3.12,22.53
CT,1968,358.0,3004.0,0.0,0.0,14303.0,0.0,0.0,0.0,0.0,0.0,44.03,-5.96,3.18,21.99
CT,1969,425.0,3639.0,0.0,0.0,15627.0,0.0,0.0,0.0,0.0,0.0,49.14,3.56,3.32,21.81
CT,1970,329.0,3604.0,0.0,0.0,16347.0,0.0,0.0,0.0,0.0,0.0,39.03,-9.6,3.39,21.04
CT,1971,391.0,7767.0,0.0,0.0,17129.0,0.0,0.0,0.0,0.0,0.0,45.05,-1.5,3.6,21.42
CT,1972,538.0,7777.0,0.0,0.0,18799.0,0.0,0.0,0.0,0.0,0.0,62.58,18.36,3.6,20.74
CT,1973,447.0,4303.0,0.0,0.0,20808.0,0.0,0.0,0.0,0.0,0.0,53.92,6.59,4.75,25.56
CT,1974,428.0,7970.0,0.0,0.0,22502.0,0.0,0.0,0.0,0.0,0.0,47.34,0.86,9.35,45.6
CT,1975,493.0,8135.0,0.0,0.0,23976.0,0.0,0.0,0.0,0.0,0.0,56.35,10.81,12.21,54.61
CT,1976,383.0,12330.0,0.0,0.0,26233.0,0.0,0.0,0.0,0.0,0.0,46.86,0.93,13.1,55.46
CT,1977,431.0,13174.0,0.0,0.0,29598.0,0.0,0.0,0.0,0.0,0.0,54.44,6.95,14.4,57.2
CT,1978,359.0,13863.0,0.0,0.0,33231.0,0.0,0.0,0.0,0.0,0.0,46.77,0.56,14.95,55.24
CT,1979,461.0,12706.0,0.0,0.0,36855.0,0.0,0.0,0.0,0.0,0.0,56.93,8.48,25.1,82.51
CT,1980,256.0,11835.0,0.0,0.0,40770.0,0.0,0.0,0.0,0.0,0.0,40.33,-7.95,37.42,109.51
CT,1981,260.0,12673.0,0.0,0.0,45642.0,0.0,0.0,0.0,0.0,0.0,41.93,-4.01,35.75,94.83
CT,1982,371.0,13625.0,0.0,0.0,50196.0,0.0,0.0,0.0,0.0,0.0,47.69,1.63,31.83,79.5
CT,1983,378.0,11588.0,0.0,0.0,55528.0,0.0,0.0,0.0,0.0,0.0,63.01,14.18,29.08,70.34
CT,1984,377.0,14292.0,0.0,0.0,63618.0,0.0,0.0,0.0,0.0,0.0,51.45,5.88,28.75,66.67
CT,1985,264.0,12721.0,0.0,0.0,69231.0,0.0,0.0,0.0,0.0,0.0,42.42,-3.54,26.92,60.27
CT,1986,373.0,18667.0,0.0,0.0,75305.0,0.0,0.0,0.0,0.0,0.0,46.69,0.54,14.44,31.72
CT,1987,343.0,20540.0,0.0,0.0,82984.0,0.0,0.0,0.0,0.0,0.0,44.43,-4.93,17.75,37.62
CT,1988,330.0,22251.0,0.0,0.0,90707.0,0.0,0.0,0.0,0.0,0.0,42.94,-4.71,14.87,30.33
CT,1989,442.0,19563.0,0.0,0.0,95831.0,0.0,0.0,0.0,0.0,0.0,57.55,12.31,18.33,35.6
CT,1990,571.0,19776.0,0.0,0.0,100169.0,0.0,0.0,0.0,0.0,0.0,55.68,7.5,23.19,42.62
CT,1991,433.0,12243.0,0.0,0.0,101475.0,0.0,0.0,0.0,0.0,0.0,47.77,-2.26,20.2,35.73
CT,1992,424.0,16771.0,0.0,0.0,105759.0,0.0,0.0,0.0,0.0,0.0,48.79,5.16,19.25,33.04
CT,1993,415.0,21802.0,0.0,0.0,107680.0,0.0,0.0,0.0,0.0,0.0,45.75,-3.64,16.75,27.94
CT,1994,481.0,20160.0,0.0,0.0,113115.0,0.0,0.0,0.0,0.0,0.0,50.41,3.03,15.66,25.44
CT,1995,364.0,18749.0,0.0,0.0,123212.0,0.0,0.0,0.0,0.0,0.0,42.29,-7.32,16.75,26.48
CT,1996,626.0,6225.0,0.0,0.0,129111.0,0.0,0.0,0.0,0.0,0.0,60.3,15.0,20.46,31.4
CT,1997,447.0,-125.0,0.0,0.0,140280.0,0.0,0.0,0.0,0.0,0.0,42.68,-4.88,18.64,27.98
CT,1998,448.0,3243.0,0.0,0.0,147911.0,0.0,0.0,0.0,0.0,0.0,50.08,1.99,11.91,17.6
CT,1999,422.0,12675.0,0.0,0.0,154708.0,0.0,0.0,0.0,0.0,0.0,49.15,-1.91,16.56,23.89
CT,2000,526.0,16365.0,0.0,0.0,169004.0,0.0,0.0,0.0,0.0,0.0,48.74,3.83,27.39,38.29
CT,2001,286.0,15428.0,0.0,0.0,175290.0,0.0,0.0,0.0,0.0,0.0,39.54,-10.24,23.0,31.3
CT,2002,335.0,14918.0,0.0,0.0,178017.0,0.0,0.0,0.0,0.0,0.0,47.42,-1.55,22.81,30.52
CT,2003,564.0,16078.0,0.0,0.0,183533.0,0.0,0.0,0.0,0.0,0.0,56.12,10.26,27.69,36.26
CT,2004,463.0,16539.0,0.0,0.0,200407.0,0.0,0.0,0.0,0.0,0.0,48.61,0.97,37.66,47.98
CT,2005,478.0,15562.0,0.0,0.0,210170.0,0.0,0.0,0.0,0.0,0.0,54.68,4.39,50.04,61.65
CT,2006,544.0,16589.0,0.0,0.0,221420.0,0.0,0.0,0.0,0.0,0.0,57.01,8.76,58.3,69.64
CT,2007,363.0,16386.0,0.0,0.0,236640.0,0.0,0.0,0.0,0.0,0.0,45.54,-4.3,64.2,74.44
CT,2008,556.0,15433.0,0.0,0.0,238211.0,0.0,0.0,0.0,0.0,0.0,59.53,15.18,91.48,102.0
CT,2009,510.0,16657.0,0.0,0.0,233562.0,0.0,0.0,0.0,0.0,0.0,50.5,4.65,53.48,59.93
CT,2010,391.0,16750.0,0.0,0.0,234528.0,0.0,0.0,0.0,0.0,0.0,48.54,-3.31,71.21,78.65
CT,2011,567.0,15928.0,0.0,0.0,234233.0,0.0,0.0,0.0,0.0,0.0,63.69,14.97,87.04,93.21
CT,2012,312.0,17078.0,0.0,0.0,239462.0,0.0,0.0,0.0,0.0,0.0,39.39,-10.95,86.46,90.72
CT,2013,402.0,17080.0,0.0,0.0,240750.0,0.0,0.0,0.0,0.0,0.0,43.39,-4.38,91.17,94.25
CT,2014,434.0,15841.0,12.0,0.0,245160.0,0.0,0.0,0.0,0.0,0.0,45.01,-3.08,85.6,87.05
CT,2015,299.9989004255088,17349.679183576754,0.3034152725742354,0.0,243899.8238041736,0.0,0.0,0.0,0.0,0.0,37.08,-15.03,41.85,42.53
CT,2016,286.87977827016664,18466.94849759894,0.523059701719407,0.0,248778.342611732,0.0,0.0,0.0,0.0,0.0,36.6,-14.98,46.12346273712689,45.34334281602651
CT,2017,411.1757950056601,18696.83801790481,0.56853934976695,0.0,253878.90382387306,0.0,0.0,0.0,0.0,0.0,47.368450490286655,-2.6940919070846334,50.27031775246161,47.86557419563582
CT,2018,409.14855395355664,18747.482104351162,0.6945748721817426,0.0,258987.45711604692,0.0,0.0,0.0,0.0,0.0,46.84570378356796,-4.540299944768948,53.63968414130846,49.564251832694644
CT,2019,438.2660300079998,18750.182220538372,0.8418684397087768,0.0,264096.33587754326,0.0,0.0,0.0,0.0,0.0,47.59128551772103,-1.7909995201896152,56.231561903667796,51.26292946975343
CT,2020,480.2898255645261,18632.15897972667,0.9502227798775169,0.0,269205.2146390397,0.0,0.0,0.0,0.0,0.0,49.72368277221301,1.8960607409842536,58.8234396660269,52.96160710681224
