State,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
IA,1960,881.0,0.0,0.0,0.0,5635.1999999999525,22058.33316,0.0,0.0,0.0,0.0,33.81,6.56,2.91,23.72
IA,1961,897.0,0.0,0.0,0.0,6359.5999999998585,19146.13749,0.0,0.0,0.0,0.0,37.26,13.43,2.85,22.96
IA,1962,931.0,0.0,0.0,0.0,7084.0,23338.8731,0.0,0.0,0.0,0.0,31.05,3.41,2.85,22.69
IA,1963,758.0,0.0,0.0,0.0,7921.0,25053.14431,0.0,0.0,0.0,0.0,27.14,-10.8,2.91,22.9
IA,1964,690.0,0.0,0.0,0.0,8350.0,20096.215509999998,0.0,0.0,0.0,0.0,31.25,-4.2,3.0,23.3
IA,1965,928.0,0.0,0.0,0.0,9196.0,21541.986409999998,0.0,0.0,0.0,0.0,40.25,15.55,3.01,23.0
IA,1966,867.0,0.0,0.0,0.0,10202.0,21170.21675,0.0,0.0,0.0,0.0,25.32,-7.5,3.1,23.01
IA,1967,806.0,0.0,0.0,0.0,10617.0,18237.36721,0.0,0.0,0.0,0.0,30.13,-2.24,3.12,22.53
IA,1968,951.0,0.0,0.0,0.0,11273.0,18092.790119999998,0.0,0.0,0.0,0.0,32.8,4.51,3.18,21.99
IA,1969,866.0,0.0,0.0,0.0,12332.0,18650.44461,0.0,0.0,0.0,0.0,34.78,9.91,3.32,21.81
IA,1970,935.0,0.0,0.0,0.0,12957.0,20385.36969,0.0,0.0,0.0,0.0,33.52,4.38,3.39,21.04
IA,1971,913.0,0.0,0.0,0.0,13666.0,19393.983930000002,0.0,0.0,0.0,0.0,29.51,-1.89,3.6,21.42
IA,1972,993.0,0.0,0.0,0.0,15311.0,17576.443369999994,0.0,0.0,0.0,0.0,37.05,13.41,3.6,20.74
IA,1973,906.0,0.0,0.0,0.0,18502.0,11297.12922,0.0,0.0,0.0,0.0,42.92,18.71,4.75,25.56
IA,1974,891.0,1330.0,0.0,0.0,19341.0,11311.9343,0.0,0.0,0.0,0.0,31.98,2.53,9.35,45.6
IA,1975,879.0,2291.0,0.0,0.0,21993.0,11824.59942,0.0,0.0,0.0,0.0,30.07,-2.72,12.21,54.61
IA,1976,645.0,2479.0,0.0,0.0,24436.0,12358.8388,0.0,0.0,0.0,0.0,23.6,-14.78,13.1,55.46
IA,1977,780.0,2888.0,0.0,0.0,27011.0,9915.88986,0.0,0.0,0.0,0.0,36.59,-3.44,14.4,57.2
IA,1978,930.0,1209.0,0.0,0.0,30763.0,8823.5865,0.0,0.0,0.0,0.0,34.14,7.94,14.95,55.24
IA,1979,898.0,2889.0,0.0,0.0,33496.0,11718.92085,0.0,0.0,0.0,0.0,34.35,10.17,25.1,82.51
IA,1980,946.0,2563.0,0.0,0.0,34582.0,10283.95095,0.0,0.0,0.0,0.0,29.09,-2.17,37.42,109.51
IA,1981,982.0,2204.0,0.0,0.0,38272.0,14717.41446,5358.91858,833.3333299999997,0.0,0.0,31.99,4.29,35.75,94.83
IA,1982,918.0,2269.0,0.0,0.0,37289.0,11514.11536,6484.36887,1011.90476,0.0,0.0,41.44,21.01,31.83,79.5
IA,1983,920.0,2309.0,0.0,0.0,37481.0,7861.24185,7980.80078,1250.0,0.0,0.0,36.52,7.65,29.08,70.34
IA,1984,918.0,2700.0,0.0,0.0,41264.0,10334.53324,10225.02421,1607.14286,0.0,0.0,36.92,10.48,28.75,66.67
IA,1985,989.0,1927.0,0.0,0.0,42431.0,11820.1182,10188.80623,1607.14286,0.0,0.0,31.15,0.76,26.92,60.27
