State,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
IN,1960,100.0,0.0,0.0,0.0,11397.399999999907,346323.68516,0.0,0.0,344.052,69913.2,33.51,-7.72,2.91,23.72
IN,1961,107.0,0.0,0.0,0.0,12792.999999999534,336694.91491999995,0.0,0.0,384.292,66700.0,42.66,6.56,2.85,22.96
IN,1962,75.0,0.0,0.0,0.0,14188.59999999963,350135.07338,0.0,0.0,285.704,70046.6,35.52,-3.95,2.85,22.69
IN,1963,52.0,0.0,0.0,0.0,15636.0,336561.18200000003,0.0,0.0,287.716,69031.6,29.11,-16.65,2.91,22.9
IN,1964,45.0,0.0,0.0,0.0,16723.0,336003.9615,0.0,0.0,201.2,65441.4,36.22,-13.51,3.0,23.3
IN,1965,94.0,0.0,0.0,0.0,18518.0,346925.4833,0.0,0.0,240.43400000000003,66589.8,39.92,0.91,3.01,23.0
IN,1966,95.0,0.0,0.0,0.0,20049.0,386176.09531999996,0.0,0.0,216.29,61578.6,37.19,-3.37,3.1,23.01
IN,1967,469.0,0.0,0.0,0.0,20951.0,418405.72904,0.0,0.0,199.188,58469.8,38.88,0.34,3.12,22.53
IN,1968,524.0,0.0,0.0,0.0,22646.0,412031.12652,0.0,0.0,235.404,50413.6,41.67,3.16,3.18,21.99
IN,1969,591.0,0.0,0.0,0.0,24212.0,447693.23851999996,0.0,0.0,172.02599999999995,45477.8,40.89,6.57,3.32,21.81
IN,1970,495.0,0.0,0.0,0.0,24546.0,496215.99966000003,0.0,0.0,153.918,43424.6,38.33,0.09,3.39,21.04
IN,1971,431.0,0.0,0.0,0.0,26882.0,476891.59271999996,0.0,0.0,540.222,38616.4,37.11,-2.11,3.6,21.42
IN,1972,385.0,0.0,0.0,0.0,29954.0,578372.59018,0.0,0.0,357.13,35554.0,43.96,10.14,3.6,20.74
IN,1973,480.0,0.0,0.0,0.0,33972.0,550910.60945,0.0,0.0,275.448,30809.6,44.39,6.43,4.75,25.56
IN,1974,445.0,0.0,0.0,0.0,35606.0,514486.68426,0.0,0.0,175.472,28530.2,42.1,5.67,9.35,45.6
IN,1975,444.0,0.0,0.0,0.0,37677.0,542752.01332,0.0,0.0,342.54,26865.6,44.7,8.76,12.21,54.61
IN,1976,479.0,0.0,0.0,0.0,43775.0,548266.20254,0.0,0.0,190.08,26854.0,32.62,-4.95,13.1,55.46
IN,1977,374.0,0.0,0.0,0.0,47901.0,601875.93235,0.0,0.0,181.17,30821.2,42.36,4.41,14.4,57.2
IN,1978,361.0,0.0,0.0,0.0,53729.0,522198.44081999996,0.0,0.0,161.2233,27196.2,39.3,2.28,14.95,55.24
IN,1979,438.0,0.0,0.0,0.0,57917.0,597455.5644,0.0,0.0,469.35418,27347.0,46.9,15.32,25.1,82.51
IN,1980,474.0,0.0,0.0,0.0,58870.0,670980.19788,0.0,0.0,595.0783700000002,28872.4,36.0,-0.65,37.42,109.51
IN,1981,509.0,0.0,0.0,0.0,64724.0,638523.90648,0.0,0.0,361.43995,27381.8,41.21,6.21,35.75,94.83
IN,1982,428.0,0.0,0.0,0.0,64982.0,694736.85276,0.0,0.0,256.76658,32265.4,44.88,8.21,31.83,79.5
IN,1983,418.0,0.0,0.0,0.0,69335.0,697958.1804,0.0,0.0,135.81,30861.8,40.7,-1.88,29.08,70.34
IN,1984,436.0,0.0,0.0,0.0,78859.0,821386.06025,0.0,0.0,396.758,32050.8,40.6,0.77,28.75,66.67
IN,1985,426.0,0.0,0.0,0.0,82011.0,734611.46996,8864.796190000001,1398.29864,369.936,29974.4,45.46,7.65,26.92,60.27
IN,1986,506.0,0.0,0.0,0.0,86437.0,729418.86936,9369.53325,1483.20861,368.285,27602.2,39.67,3.46,14.44,31.72
IN,1987,507.0,0.0,0.0,0.0,91650.0,759526.3814399998,10242.23885,1627.1612300000006,218.953,21680.4,34.87,-8.2,17.75,37.62
IN,1988,441.0,0.0,0.0,0.0,99492.0,696993.69022,10273.8262,1638.06117,418.18,21257.0,34.25,-11.62,14.87,30.33
IN,1989,450.0,0.0,0.0,0.0,107199.0,747396.71444,9682.26384,1549.2904800000001,422.656,19203.8,43.42,11.03,18.33,35.6
IN,1990,441.0,0.0,0.0,0.0,110860.0,797305.24011,8109.78168,1302.18121,406.182,17400.0,53.54,21.83,23.19,42.62
IN,1991,399.0,0.0,0.0,0.0,114637.0,700941.20364,9481.35116,1527.91956,235.248,17481.2,36.31,-10.49,20.2,35.73
IN,1992,562.0,0.0,0.0,0.0,124714.0,679061.54856,8437.362079999999,1364.64741,175.91400000000004,17492.8,40.33,8.16,19.25,33.04
IN,1993,448.0,0.0,0.0,0.0,132108.0,654657.41565,9177.36866,1489.52791,194.496,16013.8,48.59,17.36,16.75,27.94
IN,1994,407.0,0.0,0.0,0.0,143335.0,690818.8731600001,10187.63545,1659.5700199999999,108.391,14453.6,35.57,-6.13,15.66,25.44
IN,1995,467.0,0.0,0.0,0.0,150404.0,578143.4121,9729.69192,1590.55701,251.69148,16112.4,38.26,-4.55,16.75,26.48
IN,1996,448.0,0.0,0.0,0.0,158350.0,657833.4489,3969.63942,651.23032,363.5283,14633.4,47.67,14.64,20.46,31.4
IN,1997,562.0,0.0,0.0,0.0,167366.0,785240.49604,6974.91337,1148.31537,532.11154,14094.0,39.8,3.09,18.64,27.98
IN,1998,479.0,0.0,0.0,0.0,186520.0,812968.7012199998,8171.785890000001,1350.15496,625.58924,12806.4,44.89,4.98,11.91,17.6
IN,1999,407.0,0.0,0.0,0.0,195099.0,756640.49628,7536.9484,1247.08347,870.13143,11391.2,35.04,-12.91,16.56,23.89
IN,2000,588.0,0.0,0.0,0.0,205487.0,621168.6474,9000.33668,1491.15389,921.475,12168.4,43.4,7.19,27.39,38.29
IN,2001,571.0,0.0,0.0,0.0,206558.0,813161.46366,9815.72727,1628.3609800000006,1089.20115,11727.6,43.96,8.99,23.0,31.3
IN,2002,411.0,0.0,0.0,0.0,214497.0,789152.83976,13304.53296,2210.00388,1319.59296,11379.6,42.21,-1.4,22.81,30.52
IN,2003,424.0,0.0,0.0,0.0,225295.0,792236.14264,15544.313999999995,2593.4507399999998,1591.77236,10817.0,46.4,14.02,27.69,36.26
IN,2004,444.0,0.0,0.0,0.0,238563.0,786209.4781399998,14062.9217,2356.69571,3432.05801,10179.0,43.41,7.25,37.66,47.98
IN,2005,438.0,0.0,0.0,0.0,245197.0,768995.47578,13461.5064,2265.58322,3191.00549,10016.6,40.88,-1.0,50.04,61.65
IN,2006,490.0,0.0,0.0,0.0,256434.0,783366.87233,13520.94472,2285.76579,2970.63869,10039.8,51.04,18.13,58.3,69.64
IN,2007,450.0,0.0,0.0,0.0,270245.0,783017.11,37316.31635,6336.80708,3688.91959,10016.6,41.79,-4.19,64.2,74.44
