State,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
NC,1960,4998.0,0.0,0.0,0.0,8999.200000000186,0.0,0.0,0.0,0.0,0.0,50.26,5.07,2.91,23.72
NC,1961,4721.0,0.0,0.0,0.0,10150.799999999814,0.0,0.0,0.0,0.0,0.0,51.27,5.89,2.85,22.96
NC,1962,5491.0,0.0,0.0,0.0,11302.399999999907,0.0,0.0,0.0,0.0,0.0,53.01,7.94,2.85,22.69
NC,1963,4363.0,0.0,0.0,0.0,12639.0,0.0,0.0,0.0,0.0,0.0,43.59,-4.48,2.91,22.9
NC,1964,5989.0,0.0,0.0,0.0,13482.0,0.0,0.0,0.0,0.0,0.0,57.3,10.12,3.0,23.3
NC,1965,5385.0,0.0,0.0,0.0,14544.0,0.0,0.0,0.0,0.0,0.0,44.17,-3.89,3.01,23.0
NC,1966,4379.0,0.0,0.0,0.0,15966.0,0.0,0.0,0.0,0.0,0.0,47.98,2.35,3.1,23.01
NC,1967,5036.0,0.0,0.0,0.0,17155.0,0.0,0.0,0.0,0.0,0.0,47.61,3.16,3.12,22.53
NC,1968,4722.0,0.0,0.0,0.0,18962.0,0.0,0.0,0.0,0.0,0.0,41.67,-7.71,3.18,21.99
NC,1969,4955.0,0.0,0.0,0.0,20882.0,0.0,0.0,0.0,0.0,0.0,50.43,6.46,3.32,21.81
NC,1970,4374.0,0.0,0.0,0.0,22840.0,0.0,0.0,0.0,0.0,0.0,43.81,-7.2,3.39,21.04
NC,1971,5917.0,0.0,0.0,0.0,25035.0,0.0,0.0,0.0,0.0,0.0,56.41,10.43,3.6,21.42
NC,1972,6438.0,0.0,0.0,0.0,28005.0,0.0,0.0,0.0,0.0,0.0,53.39,9.16,3.6,20.74
NC,1973,7113.0,0.0,0.0,0.0,31755.0,0.0,0.0,0.0,0.0,0.0,52.29,3.42,4.75,25.56
NC,1974,6890.0,0.0,0.0,0.0,33607.0,0.0,0.0,0.0,0.0,0.0,52.28,6.47,9.35,45.6
NC,1975,7055.0,1405.0,0.0,0.0,35998.0,0.0,0.0,0.0,0.0,0.0,57.54,10.84,12.21,54.61
NC,1976,5652.0,2511.0,0.0,0.0,40454.0,0.0,0.0,0.0,0.0,0.0,45.95,-1.51,13.1,55.46
NC,1977,5287.0,5664.0,0.0,0.0,43822.0,0.0,0.0,0.0,0.0,0.0,48.81,-2.9,14.4,57.2
NC,1978,5482.0,9917.0,0.0,0.0,49867.0,0.0,0.0,0.0,0.0,0.0,47.85,-0.42,14.95,55.24
NC,1979,7917.0,6809.0,0.0,0.0,54515.0,0.0,0.0,0.0,0.0,0.0,58.73,14.84,25.1,82.51
NC,1980,5486.0,5775.0,0.0,0.0,58791.0,0.0,0.0,0.0,0.0,0.0,44.31,-6.95,37.42,109.51
NC,1981,2930.0,6246.0,0.0,0.0,65869.0,0.0,0.0,0.0,0.0,0.0,40.76,-8.52,35.75,94.83
NC,1982,5408.0,9126.0,0.0,0.0,68971.0,0.0,0.0,0.0,0.0,0.0,52.17,6.13,31.83,79.5
NC,1983,6142.0,12363.0,0.0,0.0,77543.0,0.0,0.0,0.0,0.0,0.0,52.87,3.69,29.08,70.34
NC,1984,6369.0,20232.0,0.0,0.0,88151.0,0.0,0.0,0.0,0.0,0.0,50.95,3.65,28.75,66.67
NC,1985,4094.0,19303.0,0.0,0.0,96535.0,0.0,0.0,0.0,0.0,0.0,47.0,-4.05,26.92,60.27
