State,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
ND,1960,1060.0,0.0,0.0,0.0,1374.5,33073.68725,0.0,0.0,24950.12954,127553.6,14.78,-7.55,2.91,23.72
ND,1961,1407.0,0.0,0.0,0.0,1450.0,35706.48374,0.0,0.0,25740.266059999998,137181.6,13.09,-14.5,2.85,22.96
ND,1962,1293.0,0.0,0.0,0.0,1525.5,35798.17317,0.0,0.0,32213.75089,146049.8,21.21,11.5,2.85,22.69
ND,1963,1483.0,0.0,0.0,0.0,1624.0,31423.277510000004,0.0,0.0,42001.45504,145174.0,17.42,-1.92,2.91,22.9
ND,1964,1878.0,0.0,0.0,0.0,1591.0,34540.71813,0.0,0.0,44437.17574,149239.8,19.49,2.0,3.0,23.3
ND,1965,2497.0,0.0,0.0,0.0,1825.0,35785.07468,0.0,0.0,45656.3167,152830.0,20.91,15.35,3.01,23.0
ND,1966,1929.0,0.0,0.0,0.0,1846.0,46407.95007,0.0,0.0,59657.22859,157330.8,16.7,9.0,3.1,23.01
ND,1967,2771.0,0.0,0.0,0.0,1874.0,54437.32444,0.0,0.0,51816.05201,146827.0,14.43,0.2,3.12,22.53
ND,1968,2499.0,0.0,0.0,0.0,1958.0,58772.92463,0.0,0.0,52534.474369999996,145232.0,18.93,4.51,3.18,21.99
ND,1969,2939.0,0.0,0.0,0.0,2178.0,61615.29696,0.0,0.0,43011.85653000001,131677.4,16.9,4.86,3.32,21.81
ND,1970,2815.0,0.0,0.0,0.0,2294.0,73862.38511,0.0,0.0,44679.21108,127588.4,19.06,8.99,3.39,21.04
ND,1971,3235.0,0.0,0.0,0.0,2632.0,79573.32675,0.0,0.0,42321.54877,125587.4,19.84,9.27,3.6,21.42
ND,1972,3095.0,0.0,0.0,0.0,3078.0,86869.18568,0.0,0.0,40103.94125,119619.2,17.59,11.19,3.6,20.74
