State,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
NE,1960,959.0,0.0,0.0,0.0,3193.9000000000237,0.0,0.0,0.0,17799.24646,138185.0,22.85,9.35,2.91,23.72
NE,1961,928.0,0.0,0.0,0.0,3519.2000000000708,0.0,0.0,0.0,18365.02406,141340.2,22.31,2.97,2.85,22.96
NE,1962,975.0,0.0,0.0,0.0,3844.5,0.0,0.0,0.0,17358.2899,144385.2,26.45,13.39,2.85,22.69
NE,1963,1014.0,75.0,0.0,0.0,4262.0,0.0,0.0,0.0,15224.666769999998,126706.8,21.21,-4.33,2.91,22.9
NE,1964,1003.0,91.0,0.0,0.0,4400.0,0.0,0.0,0.0,13012.88467,110855.4,19.8,-9.33,3.0,23.3
NE,1965,1116.0,-5.0,0.0,0.0,4749.0,0.0,0.0,0.0,12505.434659999999,99852.8,28.8,12.08,3.01,23.0
NE,1966,1162.0,0.0,0.0,0.0,5205.0,0.0,0.0,0.0,11894.16155,80330.0,19.15,1.17,3.1,23.01
NE,1967,1163.0,0.0,0.0,0.0,5486.0,0.0,0.0,0.0,9860.861859999999,77563.4,22.2,-0.09,3.12,22.53
NE,1968,1254.0,0.0,0.0,0.0,5823.0,0.0,0.0,0.0,9482.8991,76461.4,22.56,-0.53,3.18,21.99
NE,1969,1238.0,0.0,0.0,0.0,6537.0,0.0,0.0,0.0,8153.03012,70214.8,22.11,3.64,3.32,21.81
NE,1970,1371.0,0.0,0.0,0.0,6907.0,0.0,0.0,0.0,6988.8114799999985,66415.8,19.3,-4.14,3.39,21.04
NE,1971,1359.0,0.0,0.0,0.0,7660.0,0.0,0.0,0.0,4616.45905,58359.6,23.66,7.35,3.6,21.42
NE,1972,1372.0,0.0,0.0,0.0,8487.0,0.0,0.0,0.0,4493.2066399999985,50489.0,23.39,4.73,3.6,20.74
