State,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
NJ,1960,45.0,0.0,0.0,0.0,17249.5,0.0,0.0,0.0,0.0,0.0,46.22,3.19,2.91,23.72
NJ,1961,19.0,0.0,0.0,0.0,19192.400000000373,0.0,0.0,0.0,0.0,0.0,44.89,0.12,2.85,22.96
NJ,1962,23.0,0.0,0.0,0.0,21135.30000000028,0.0,0.0,0.0,0.0,0.0,42.07,-2.25,2.85,22.69
NJ,1963,16.0,0.0,0.0,0.0,23388.0,0.0,0.0,0.0,0.0,0.0,34.53,-14.12,2.91,22.9
NJ,1964,19.0,0.0,0.0,0.0,24774.0,0.0,0.0,0.0,0.0,0.0,36.44,-12.97,3.0,23.3
NJ,1965,-31.0,0.0,0.0,0.0,26655.0,0.0,0.0,0.0,0.0,0.0,29.26,-20.67,3.01,23.0
NJ,1966,-131.0,0.0,0.0,0.0,29027.0,0.0,0.0,0.0,0.0,0.0,40.24,-6.43,3.1,23.01
NJ,1967,-202.0,0.0,0.0,0.0,30976.0,0.0,0.0,0.0,0.0,0.0,45.53,3.31,3.12,22.53
NJ,1968,-342.0,0.0,0.0,0.0,33657.0,0.0,0.0,0.0,0.0,0.0,39.86,-7.72,3.18,21.99
NJ,1969,-379.0,107.0,0.0,0.0,35852.0,0.0,0.0,0.0,0.0,0.0,46.35,2.64,3.32,21.81
NJ,1970,-403.0,3454.0,0.0,0.0,38492.0,0.0,0.0,0.0,0.0,0.0,40.28,-6.21,3.39,21.04
NJ,1971,-309.0,3825.0,0.0,0.0,41307.0,0.0,0.0,0.0,0.0,0.0,51.38,6.81,3.6,21.42
NJ,1972,-217.0,4356.0,0.0,0.0,45388.0,0.0,0.0,0.0,0.0,0.0,56.96,15.45,3.6,20.74
NJ,1973,-333.0,3585.0,0.0,0.0,49301.0,0.0,0.0,0.0,0.0,0.0,51.28,5.35,4.75,25.56
NJ,1974,-282.0,3673.0,0.0,0.0,52987.0,0.0,0.0,0.0,0.0,0.0,44.01,0.01,9.35,45.6
NJ,1975,-272.0,3146.0,0.0,0.0,56052.0,0.0,0.0,0.0,0.0,0.0,57.65,15.4,12.21,54.61
NJ,1976,-245.0,3855.0,0.0,0.0,60496.0,0.0,0.0,0.0,0.0,0.0,38.68,-6.43,13.1,55.46
NJ,1977,-167.0,6959.0,0.0,0.0,65839.0,0.0,0.0,0.0,0.0,0.0,48.54,0.98,14.4,57.2
NJ,1978,-173.0,8169.0,0.0,0.0,72918.0,0.0,0.0,0.0,0.0,0.0,47.63,3.61,14.95,55.24
NJ,1979,-283.0,6611.0,0.0,0.0,81051.0,0.0,0.0,0.0,0.0,0.0,56.49,14.39,25.1,82.51
NJ,1980,-282.0,7627.0,0.0,0.0,88334.0,0.0,0.0,0.0,0.0,0.0,38.21,-9.42,37.42,109.51
NJ,1981,-231.0,11675.0,0.0,0.0,98755.0,0.0,0.0,0.0,0.0,0.0,38.88,-6.15,35.75,94.83
NJ,1982,-222.0,14039.0,0.0,0.0,105759.0,0.0,0.0,0.0,0.0,0.0,39.96,-4.93,31.83,79.5
NJ,1983,-228.0,6328.0,0.0,0.0,117962.0,0.0,0.0,0.0,0.0,0.0,58.52,12.41,29.08,70.34
NJ,1984,-246.0,5610.0,0.0,0.0,133572.0,0.0,0.0,0.0,0.0,0.0,49.16,4.2,28.75,66.67
NJ,1985,-244.0,17770.0,0.0,0.0,145929.0,0.0,0.0,0.0,0.0,0.0,39.45,-6.61,26.92,60.27
NJ,1986,-286.0,14770.0,0.0,0.0,158836.0,0.0,0.0,0.0,0.0,0.0,45.69,-2.39,14.44,31.72
NJ,1987,-309.0,22697.0,0.0,0.0,174629.0,0.0,0.0,0.0,0.0,0.0,44.74,-0.76,17.75,37.62
NJ,1988,-219.0,23890.0,0.0,0.0,194709.0,0.0,0.0,0.0,0.0,0.0,40.02,-7.52,14.87,30.33
NJ,1989,-244.0,23032.0,0.0,0.0,205075.0,0.0,0.0,0.0,0.0,0.0,54.53,12.41,18.33,35.6
NJ,1990,31.0,23770.0,0.0,0.0,214357.0,0.0,0.0,0.0,0.0,0.0,48.96,2.44,23.19,42.62
NJ,1991,22.0,24807.0,0.0,0.0,221915.0,0.0,0.0,0.0,0.0,0.0,42.41,-8.26,20.2,35.73
NJ,1992,22.0,21595.0,0.0,0.0,230774.0,0.0,0.0,0.0,0.0,0.0,41.69,0.08,19.25,33.04
NJ,1993,19.0,24932.0,0.0,0.0,240389.0,0.0,0.0,0.0,0.0,0.0,44.7,-2.48,16.75,27.94
NJ,1994,15.0,22129.0,0.0,0.0,251573.0,0.0,0.0,0.0,0.0,0.0,47.31,1.99,15.66,25.44
NJ,1995,11.0,16806.0,0.0,0.0,263468.0,0.0,0.0,0.0,0.0,0.0,39.71,-7.98,16.75,26.48
NJ,1996,19.0,11028.0,0.0,0.0,278191.0,0.0,0.0,0.0,0.0,0.0,59.17,18.31,20.46,31.4
