State,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
NV,1960,1967.0,0.0,0.0,0.0,1504.6000000000058,0.0,0.0,0.0,0.0,156.6,8.8,-11.09,2.91,23.72
NV,1961,1748.0,0.0,0.0,0.0,1610.1999999999825,0.0,0.0,0.0,0.0,893.2,8.17,-9.12,2.85,22.96
NV,1962,1972.0,0.0,0.0,0.0,1715.7999999999884,0.0,0.0,0.0,0.0,817.8,8.89,-2.45,2.85,22.69
NV,1963,1804.0,0.0,0.0,0.0,1819.0,0.0,0.0,0.0,0.0,684.4,11.93,-0.65,2.91,22.9
NV,1964,1617.0,0.0,0.0,0.0,1933.0,0.0,0.0,0.0,0.0,1479.0,9.78,-1.69,3.0,23.3
NV,1965,1595.0,0.0,0.0,0.0,2032.0,0.0,0.0,0.0,0.0,1212.2,12.22,12.35,3.01,23.0
NV,1966,1801.0,0.0,0.0,0.0,2131.0,0.0,0.0,0.0,0.0,1780.6,6.77,-13.01,3.1,23.01
NV,1967,1732.0,0.0,0.0,0.0,2248.0,0.0,0.0,0.0,0.0,1618.2,11.17,9.67,3.12,22.53
NV,1968,1750.0,0.0,0.0,0.0,2549.0,0.0,0.0,0.0,0.0,1571.8,9.92,-7.74,3.18,21.99
NV,1969,1701.0,0.0,0.0,0.0,2947.0,0.0,0.0,0.0,0.0,1293.4,12.53,15.12,3.32,21.81
NV,1970,1646.0,0.0,0.0,0.0,3262.0,0.0,0.0,0.0,0.0,864.2,10.85,1.05,3.39,21.04
NV,1971,1678.0,0.0,0.0,0.0,3611.0,0.0,0.0,0.0,0.0,655.4,11.07,7.45,3.6,21.42
NV,1972,1563.0,0.0,0.0,0.0,3990.0,0.0,0.0,0.0,0.0,580.0,8.77,-9.05,3.6,20.74
NV,1973,1669.0,0.0,0.0,0.0,4530.0,0.0,0.0,0.0,0.0,556.8,10.73,8.27,4.75,25.56
NV,1974,1600.0,0.0,0.0,0.0,4966.0,0.0,0.0,0.0,0.0,748.2,7.97,-10.24,9.35,45.6
NV,1975,1690.0,0.0,0.0,0.0,5529.0,0.0,0.0,0.0,0.0,667.0,10.62,8.14,12.21,54.61
NV,1976,1555.0,0.0,0.0,0.0,6263.0,0.0,0.0,0.0,0.0,829.4,9.9,-4.96,13.1,55.46
NV,1977,1617.0,0.0,0.0,0.0,7416.0,0.0,0.0,0.0,0.0,3833.8,9.89,-13.32,14.4,57.2
NV,1978,1666.0,0.0,0.0,0.0,8932.0,0.0,0.0,0.0,0.0,6704.8,13.83,17.65,14.95,55.24
NV,1979,1716.0,0.0,0.0,0.0,10295.0,0.0,0.0,0.0,0.0,7163.0,9.82,2.52,25.1,82.51
NV,1980,2372.0,0.0,0.0,0.0,11633.0,0.0,0.0,0.0,0.0,5104.0,12.98,14.25,37.42,109.51
NV,1981,1729.0,0.0,0.0,0.0,13203.0,0.0,0.0,0.0,0.0,4060.0,10.71,-11.51,35.75,94.83
NV,1982,1420.0,0.0,0.0,0.0,13885.0,0.0,0.0,0.0,0.0,3555.4,13.64,16.04,31.83,79.5
NV,1983,4094.0,0.0,0.0,0.0,15060.0,0.0,0.0,0.0,0.0,4698.0,17.8,34.86,29.08,70.34
NV,1984,5613.0,0.0,0.0,0.0,16514.0,0.0,0.0,0.0,0.0,11060.6,12.12,17.8,28.75,66.67
NV,1985,4344.0,0.0,0.0,0.0,17945.0,0.0,0.0,0.0,0.0,17626.2,8.74,-3.39,26.92,60.27
NV,1986,4584.0,0.0,0.0,0.0,19731.0,0.0,0.0,0.0,0.0,16860.6,9.1,-6.14,14.44,31.72
NV,1987,2526.0,0.0,0.0,0.0,21951.0,0.0,0.0,0.0,0.0,18049.6,12.07,-4.71,17.75,37.62
NV,1988,2091.0,0.0,0.0,0.0,24987.0,0.0,0.0,0.0,0.0,18739.8,9.38,-3.76,14.87,30.33
NV,1989,1859.0,0.0,0.0,0.0,27847.0,0.0,0.0,0.0,0.0,18652.8,7.55,-13.5,18.33,35.6
NV,1990,1735.0,0.0,0.0,0.0,30980.0,0.0,0.0,0.0,0.0,23263.8,9.16,-14.45,23.19,42.62
NV,1991,2365.0,0.0,0.0,0.0,32786.0,0.0,0.0,0.0,54.85493,19795.4,10.07,-5.62,20.2,35.73
NV,1992,1986.0,0.0,0.0,0.0,36052.0,0.0,0.0,0.0,30.45883,21581.8,9.72,-13.13,19.25,33.04
NV,1993,1972.0,0.0,0.0,0.0,40039.0,0.0,0.0,0.0,21.58165,10904.0,10.79,9.25,16.75,27.94
NV,1994,1876.0,0.0,0.0,0.0,45173.0,0.0,0.0,0.0,16.433729999999994,9848.4,9.53,-11.6,15.66,25.44
NV,1995,1942.0,0.0,0.0,0.0,49249.0,0.0,0.0,0.0,13.93517,7783.6,13.76,24.19,16.75,26.48
