State,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
NY,1960,12087.0,0.0,0.0,0.0,54086.699999999255,0.0,0.0,0.0,5094.79,10515.4,36.77,-4.98,2.91,23.72
NY,1961,18158.0,0.0,0.0,0.0,59476.0,0.0,0.0,0.0,5862.5819999999985,9616.4,38.36,-3.03,2.85,22.96
NY,1962,20899.0,61.0,0.0,0.0,64865.299999998875,0.0,0.0,0.0,4351.502,9216.2,36.14,-6.33,2.85,22.69
NY,1963,19357.0,591.0,0.0,0.0,70640.0,0.0,0.0,0.0,4045.202,9738.2,32.9,-13.57,2.91,22.9
NY,1964,18205.0,382.0,0.0,0.0,75542.0,0.0,0.0,0.0,3190.625,10869.2,31.56,-19.76,3.0,23.3
NY,1965,19576.0,727.0,0.0,0.0,80347.0,0.0,0.0,0.0,3410.14,9465.6,33.56,-11.22,3.01,23.0
NY,1966,22070.0,798.0,0.0,0.0,86559.0,0.0,0.0,0.0,2755.679,10063.0,35.31,-7.65,3.1,23.01
NY,1967,23442.0,1153.0,0.0,0.0,92078.0,0.0,0.0,0.0,3917.577,11437.6,39.56,2.16,3.12,22.53
NY,1968,25022.0,1074.0,0.0,0.0,99817.0,0.0,0.0,0.0,4729.272,8885.6,40.55,-2.48,3.18,21.99
NY,1969,26624.0,1272.0,0.0,0.0,107031.0,0.0,0.0,0.0,4963.081,7284.8,39.75,-1.1,3.32,21.81
NY,1970,25051.0,4273.0,0.0,0.0,112349.0,0.0,0.0,0.0,3428.518,6925.2,38.97,-2.45,3.39,21.04
NY,1971,25430.0,6521.0,0.0,0.0,119145.0,0.0,0.0,0.0,2248.242,6530.8,39.29,0.06,3.6,21.42
NY,1972,27794.0,6465.0,0.0,0.0,127221.0,0.0,0.0,0.0,3756.259,5904.4,50.44,19.79,3.6,20.74
NY,1973,29364.0,7227.0,0.0,0.0,136396.0,0.0,0.0,0.0,4675.17,5608.6,44.28,2.27,4.75,25.56
NY,1974,28813.0,9272.0,0.0,0.0,145419.0,0.0,0.0,0.0,5104.77,5196.8,42.27,7.01,9.35,45.6
NY,1975,28323.0,13111.0,0.0,0.0,155256.0,0.0,0.0,0.0,7742.42,5075.0,45.96,11.09,12.21,54.61
NY,1976,28845.0,15659.0,0.0,0.0,163284.0,0.0,0.0,0.0,9364.29,4970.6,47.8,16.52,13.1,55.46
NY,1977,25678.0,20590.0,0.0,0.0,179890.0,0.0,0.0,0.0,10799.502,4779.2,50.06,15.68,14.4,57.2
NY,1978,26074.0,21701.0,0.0,0.0,200063.0,0.0,0.0,0.0,14065.41,4941.6,38.41,-1.15,14.95,55.24
NY,1979,26483.0,18507.0,0.0,0.0,217725.0,0.0,0.0,0.0,15740.25,4959.0,43.97,5.66,25.1,82.51
NY,1980,26474.0,19276.0,0.0,0.0,235746.0,0.0,0.0,0.0,16034.075,4779.2,36.27,-6.82,37.42,109.51
NY,1981,25891.0,17444.0,0.0,0.0,261840.0,0.0,0.0,0.0,16395.48,4877.8,40.15,1.78,35.75,94.83
NY,1982,25563.0,14438.0,0.0,0.0,282227.0,0.0,0.0,0.0,16242.171,4837.2,37.32,-4.82,31.83,79.5
NY,1983,26395.0,16376.0,0.0,0.0,305288.0,0.0,0.0,0.0,18317.572,4819.8,45.6,5.44,29.08,70.34
NY,1984,26819.0,21187.0,0.0,0.0,339427.0,0.0,0.0,0.0,25880.4,4872.0,42.59,4.0,28.75,66.67
NY,1985,27189.0,24092.0,0.0,0.0,364281.0,0.0,0.0,0.0,32476.269,6211.8,38.93,-1.74,26.92,60.27
NY,1986,29713.0,22084.0,0.0,0.0,390104.0,0.0,0.0,0.0,30832.956,4947.4,44.68,10.1,14.44,31.72
NY,1987,27779.0,22926.0,0.0,0.0,418306.0,0.0,0.0,0.0,26446.28,4118.0,39.54,-1.58,17.75,37.62
NY,1988,24134.0,24175.0,0.0,0.0,456557.0,0.0,0.0,0.0,24135.195,3265.4,35.74,-8.02,14.87,30.33
NY,1989,24818.0,22847.0,0.0,0.0,473252.0,0.0,0.0,0.0,21025.557,2888.4,42.8,4.91,18.33,35.6
NY,1990,28188.0,23623.0,0.0,0.0,493192.0,0.0,0.0,0.0,25773.69,2407.0,50.02,14.88,23.19,42.62
NY,1991,27172.0,28448.0,0.0,0.0,497336.0,0.0,0.0,0.0,23414.756,2476.6,37.07,-10.94,20.2,35.73
NY,1992,28057.0,24155.0,0.0,0.0,519704.0,0.0,0.0,0.0,24189.732000000004,2343.2,42.69,9.69,19.25,33.04
NY,1993,29443.0,26889.0,0.0,0.0,537504.0,0.0,0.0,0.0,21797.30494,1943.0,41.37,1.35,16.75,27.94
NY,1994,27791.0,29231.0,0.0,0.0,555322.0,0.0,0.0,0.0,21038.15261,1734.2,42.11,5.55,15.66,25.44
NY,1995,25993.0,26336.0,0.0,0.0,582656.0,0.0,0.0,0.0,18914.79394,1763.2,37.1,-9.4,16.75,26.48
NY,1996,28951.0,35226.0,0.0,0.0,620153.0,0.0,0.0,0.0,18602.68199,1792.2,50.83,19.62,20.46,31.4
NY,1997,30618.0,29570.0,0.0,0.0,664679.0,0.0,0.0,0.0,16608.996759999998,1600.8,39.01,0.49,18.64,27.98
NY,1998,29316.0,31314.0,0.0,0.0,741272.0,0.0,0.0,0.0,17167.01712,1258.6,41.4,-0.47,11.91,17.6
NY,1999,24752.0,37019.0,0.0,0.0,790079.0,0.0,0.0,0.0,16557.424430000006,1194.8,38.77,-6.46,16.56,23.89
NY,2000,24910.0,31508.0,0.0,10.0,833306.0,0.0,0.0,0.0,18253.77144,1218.0,46.24,12.74,27.39,38.29
NY,2001,23084.0,40395.0,0.0,21.0,876598.0,0.0,0.0,0.0,28592.81374,962.8,34.14,-14.48,23.0,31.3
NY,2002,25048.0,39617.0,0.0,82.0,890612.0,0.0,0.0,0.0,37662.95419,957.0,43.56,2.52,22.81,30.52
NY,2003,24269.0,40679.0,0.0,41.0,905593.0,0.0,0.0,0.0,37113.1098,835.2,48.02,13.95,27.69,36.26
NY,2004,23990.0,40640.0,0.0,116.0,958357.0,0.0,0.0,0.0,47247.13994,986.0,45.17,9.38,37.66,47.98
NY,2005,25783.0,42443.0,0.0,103.0,1023433.0,0.0,0.0,0.0,56559.41492999999,1142.6,46.85,5.49,50.04,61.65
NY,2006,27345.0,42224.0,0.0,655.0,1077891.0,0.0,0.0,0.0,57155.56673,1850.2,48.89,13.6,58.3,69.64
NY,2007,25253.0,42453.0,0.0,833.0,1114698.0,0.0,587.84367,99.82368000000001,56260.73702000001,2204.0,44.47,3.24,64.2,74.44
NY,2008,26723.0,43209.0,0.0,1251.0,1113446.0,0.0,12100.92896,2063.82863,51376.72,2238.8,47.73,14.49,91.48,102.0
NY,2009,27615.0,43485.0,0.0,2266.0,1148407.0,0.0,6930.557040000002,1189.4089999999999,45790.82900000001,1966.2,42.37,5.46,53.48,59.93
NY,2010,25472.0,41870.0,0.0,2596.0,1204688.0,0.0,4711.711664503462,811.334019198699,46727.746110488544,119.47535774059358,43.92,2.03,71.21,78.65
NY,2011,27997.0,42695.0,6.0,2828.0,1229743.0,0.0,3549.93504306164,612.2047034010103,47678.23154075537,0.0,55.71,23.99,87.04,93.21
NY,2012,24652.0,40775.0,53.0,2992.0,1301041.0,0.0,2955.326327383024,509.7071709629253,48641.246988288935,0.0,39.56,-6.85,86.46,90.72
NY,2013,24973.0,44756.0,67.0,3539.0,1334930.0,0.0,2665.4965809319256,459.03450557803626,49615.00245062256,0.0,43.99,6.8,91.17,94.25
NY,2014,26087.0,43039.0,71.0,3968.0,1382933.0,0.0,2538.787972940634,436.97348554542987,50598.60292652284,0.0,43.22,6.36,85.6,87.05
