State,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
OK,1960,705.0,0.0,0.0,0.0,4645.199999999953,33923.11626,0.0,0.0,902031.89651,1118895.4,36.27,8.32,2.91,23.72
OK,1961,1002.0,0.0,0.0,0.0,5124.800000000047,26086.92696,0.0,0.0,976919.06244,1119869.8,37.78,13.83,2.85,22.96
OK,1962,731.0,0.0,0.0,0.0,5604.400000000023,26491.37544,0.0,0.0,1160791.0154799998,1175845.6,32.13,0.74,2.85,22.69
OK,1963,191.0,0.0,0.0,0.0,6151.0,25480.254240000002,0.0,0.0,1350294.47115,1171379.6,21.61,-20.39,2.91,22.9
OK,1964,306.0,0.0,0.0,0.0,6544.0,25985.81484,0.0,0.0,1448246.06562,1174639.2,32.78,-5.97,3.0,23.3
OK,1965,825.0,0.0,0.0,0.0,6966.0,24620.801219999998,0.0,0.0,1445625.10783,1179957.8,29.84,-4.11,3.01,23.0
OK,1966,512.0,0.0,0.0,0.0,7468.0,21309.37929,0.0,0.0,1478707.17628,1304066.2,24.92,-13.31,3.1,23.01
OK,1967,726.0,0.0,0.0,0.0,8087.0,20803.81869,0.0,0.0,1546257.84909,1338344.2,32.73,-6.51,3.12,22.53
OK,1968,1526.0,0.0,0.0,0.0,8836.0,27527.77467,0.0,0.0,1522107.82969,1297013.4,39.1,11.91,3.18,21.99
OK,1969,1886.0,0.0,0.0,0.0,9622.0,46461.01914,0.0,0.0,1667470.8543,1303428.2,33.63,3.04,3.32,21.81
OK,1970,1406.0,0.0,0.0,0.0,10369.0,61349.77881,0.0,0.0,1745418.90496,1296729.2,29.16,-6.14,3.39,21.04
OK,1971,1383.0,0.0,0.0,0.0,11278.0,56471.11902000001,0.0,0.0,1838793.58986,1237215.4,34.31,2.8,3.6,21.42
OK,1972,1447.0,0.0,0.0,0.0,12738.0,66329.55072,0.0,0.0,1966628.35599,1204271.4,29.48,-2.72,3.6,20.74
OK,1973,3761.0,0.0,0.0,0.0,14483.0,51615.74703,0.0,0.0,1920043.69752,1108983.2,46.75,23.07,4.75,25.56
OK,1974,3590.0,0.0,0.0,0.0,16204.0,56268.20664,0.0,0.0,1799917.7536099998,1031153.0,39.58,10.95,9.35,45.6
OK,1975,2945.0,0.0,0.0,0.0,18163.0,68620.78216,0.0,0.0,1731205.47455,946113.4,35.6,8.37,12.21,54.61
