State,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
PA,1960,1826.0,230.0,0.0,0.0,25273.700000000186,2169831.30304,0.0,0.0,117869.04652,34852.2,39.77,-1.2,2.91,23.72
PA,1961,1489.0,305.0,0.0,0.0,28340.799999999814,2060352.8442,0.0,0.0,103901.0141,32729.4,40.86,-0.92,2.85,22.96
PA,1962,1519.0,320.0,0.0,0.0,31407.900000000373,2112248.45076,0.0,0.0,93168.15222,30751.6,37.5,-6.48,2.85,22.69
PA,1963,1280.0,355.0,0.0,0.0,34533.0,2308096.8624,0.0,0.0,95862.23091,29481.4,31.93,-16.57,2.91,22.9
PA,1964,1281.0,25.0,0.0,0.0,37375.0,2413787.2662,0.0,0.0,85008.32171,29655.4,36.71,-12.53,3.0,23.3
PA,1965,1329.0,313.0,0.0,0.0,40541.0,2453588.57522,0.0,0.0,87382.71134,28547.6,33.87,-13.42,3.01,23.0
PA,1966,1443.0,525.0,0.0,0.0,44082.0,2432385.16544,0.0,0.0,94058.9363,25154.6,35.89,-10.68,3.1,23.01
PA,1967,1914.0,603.0,0.0,0.0,46515.0,2361801.26964,0.0,0.0,93078.14267999999,25444.6,42.12,4.52,3.12,22.53
PA,1968,1182.0,468.0,0.0,0.0,49957.0,2257714.31466,0.0,0.0,91030.68426000001,24128.0,38.07,-9.17,3.18,21.99
PA,1969,916.0,415.0,0.0,0.0,54486.0,2303516.608,0.0,0.0,81871.43746,25798.4,37.96,-4.03,3.32,21.81
PA,1970,1366.0,465.0,0.0,0.0,56670.0,2357967.365,0.0,0.0,79499.11702,23739.4,43.89,4.25,3.39,21.04
PA,1971,779.0,445.0,0.0,0.0,60293.0,2127366.96484,0.0,0.0,79063.54029,22028.4,40.78,-0.53,3.6,21.42
PA,1972,1533.0,288.0,0.0,0.0,65390.0,2164589.5167,0.0,0.0,76511.82254,19957.8,52.64,16.89,3.6,20.74
PA,1973,1372.0,361.0,0.0,0.0,71852.0,2096942.23812,0.0,0.0,81453.43708999999,19035.6,45.66,4.3,4.75,25.56
PA,1974,1393.0,6998.0,0.0,0.0,78201.0,2150183.40407,0.0,0.0,84750.74932999999,20172.4,43.45,5.79,9.35,45.6
PA,1975,1576.0,15869.0,0.0,0.0,84120.0,2246057.4718,0.0,0.0,86899.29076,18931.2,50.23,14.17,12.21,54.61
PA,1976,1416.0,16425.0,0.0,0.0,90743.0,2321250.26805,0.0,0.0,91715.60268,17510.2,41.69,3.57,13.1,55.46
PA,1977,1205.0,17821.0,0.0,0.0,99024.0,2270585.27,0.0,0.0,93712.56152999999,15747.0,46.69,7.15,14.4,57.2
PA,1978,760.0,22329.0,0.0,0.0,110054.0,2172466.0311,0.0,0.0,99960.31206,16744.6,43.1,4.16,14.95,55.24
PA,1979,1222.0,18796.0,0.0,0.0,120527.0,2390769.1509,0.0,0.0,98381.22807000001,16669.2,48.31,10.87,25.1,82.51
PA,1980,734.0,12091.0,0.0,0.0,127181.0,2370498.7375,0.0,0.0,99657.22538999999,15375.8,36.87,-6.28,37.42,109.51
PA,1981,660.0,14276.0,0.0,0.0,138573.0,2138781.55886,0.0,0.0,125200.12002,21628.2,40.21,0.15,35.75,94.83
PA,1982,1829.0,16472.0,0.0,0.0,142077.0,2029338.19158,0.0,0.0,124571.75860999999,24835.6,38.34,-5.63,31.83,79.5
PA,1983,1170.0,14718.0,0.0,0.0,152042.0,1785151.42344,0.0,0.0,121895.77788,24835.6,46.72,4.28,29.08,70.34
PA,1984,1447.0,21564.0,0.0,0.0,167390.0,1983207.8494400003,0.0,0.0,172100.51256,24847.2,46.11,9.08,28.75,66.67
PA,1985,972.0,26232.0,0.0,0.0,176873.0,1832982.6632,0.0,0.0,155591.2135,28135.8,41.54,-1.05,26.92,60.27
PA,1986,1453.0,39820.0,0.0,0.0,187386.0,1842451.96384,0.0,0.0,166035.04085,21941.4,43.25,3.77,14.44,31.72
PA,1987,1132.0,34982.0,0.0,0.0,202910.0,1807237.2798,0.0,0.0,169739.59986,19151.6,40.67,-1.73,17.75,37.62
PA,1988,705.0,37862.0,0.0,0.0,220582.0,1825287.3617,0.0,0.0,173577.25105,16390.8,35.9,-11.24,14.87,30.33
PA,1989,1440.0,39166.0,0.0,0.0,233162.0,1822907.32128,0.0,0.0,199303.42674,15648.4,44.28,4.53,18.33,35.6
PA,1990,2869.0,57787.0,0.0,0.0,245281.0,1831440.37808,0.0,0.0,184704.95352,15317.8,49.7,11.75,23.19,42.62
PA,1991,1920.0,57476.0,0.0,0.0,255163.0,1701623.55887,0.0,0.0,158520.61301,14679.8,33.36,-23.53,20.2,35.73
PA,1992,2578.0,60133.0,0.0,0.0,269849.0,1812815.16152,0.0,0.0,144686.40785,12394.6,41.61,5.04,19.25,33.04
PA,1993,2376.0,59331.0,0.0,0.0,281704.0,1553124.753,0.0,0.0,137874.55764,11808.8,45.8,5.46,16.75,27.94
PA,1994,2750.0,67207.0,0.0,0.0,296602.0,1621470.5189200004,0.0,0.0,125678.06555,14604.4,48.19,11.94,15.66,25.44
PA,1995,2030.0,66462.0,0.0,0.0,312989.0,1602243.2340799996,0.0,0.0,115831.01904000001,11246.2,37.51,-9.21,16.75,26.48
PA,1996,3012.0,68672.0,0.0,0.0,325001.0,1766790.9448,0.0,0.0,140535.5566,9813.6,56.31,24.0,20.46,31.4
PA,1997,2249.0,67655.0,0.0,0.0,342662.0,1982914.26964,0.0,0.0,83940.33036,7661.8,38.8,-3.0,18.64,27.98
PA,1998,2381.0,61149.0,0.0,0.0,373744.0,2133532.0152,0.0,0.0,136136.91090999998,11484.0,40.41,-8.61,11.91,17.6
PA,1999,1947.0,71127.0,0.0,0.0,390617.0,1994709.1309,0.0,0.0,182382.63372,8531.8,41.12,-4.97,16.56,23.89
PA,2000,2290.0,73771.0,0.0,10.0,408556.0,1946486.60973,0.0,0.0,156171.30855,8700.0,41.38,0.27,27.39,38.29
PA,2001,1650.0,73731.0,0.0,11.0,426020.0,1929614.90784,0.0,0.0,139061.15698,9396.0,34.36,-14.33,23.0,31.3
PA,2002,2211.0,76089.0,0.0,58.0,437895.0,1734216.37025,0.0,0.0,164610.43031,12951.4,43.55,-1.09,22.81,30.52
