State,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
TN,1960,8676.0,0.0,0.0,0.0,6188.1999999999525,148915.2867,0.0,0.0,64.38600000000001,116.0,44.44,-4.17,2.91,23.72
TN,1961,8749.0,0.0,0.0,0.0,7118.999999999767,147157.4334,0.0,0.0,72.562,98.6,55.01,6.25,2.85,22.96
TN,1962,9636.0,0.0,0.0,0.0,8049.799999999815,156047.14865999998,0.0,0.0,76.65,81.2,54.51,1.9,2.85,22.69
TN,1963,7722.0,0.0,0.0,0.0,9055.0,153711.71499,0.0,0.0,91.98,92.8,42.35,-8.16,2.91,22.9
TN,1964,9097.0,0.0,0.0,0.0,9758.0,150422.0181,0.0,0.0,78.694,58.0,57.53,6.39,3.0,23.3
TN,1965,8750.0,0.0,0.0,0.0,10820.0,147282.99435,0.0,0.0,86.87,63.8,46.05,-5.48,3.01,23.0
TN,1966,7633.0,0.0,0.0,0.0,11980.0,158432.80671,0.0,0.0,0.0,40.6,48.79,-0.5,3.1,23.01
TN,1967,9628.0,0.0,0.0,0.0,12598.0,171566.48208,0.0,0.0,59.276,40.6,53.46,7.91,3.12,22.53
TN,1968,7721.0,0.0,0.0,0.0,13974.0,204614.12412,0.0,0.0,49.056,34.8,44.44,-7.95,3.18,21.99
TN,1969,7477.0,0.0,0.0,0.0,15167.0,202956.71958,0.0,0.0,58.254,185.6,50.05,-1.5,3.32,21.81
TN,1970,8067.0,0.0,0.0,0.0,16100.0,206849.10903,0.0,0.0,65.408,1792.2,49.84,1.15,3.39,21.04
TN,1971,9420.0,0.0,0.0,0.0,17867.0,232815.11349000002,0.0,0.0,90.958,2308.4,50.44,1.82,3.6,21.42
TN,1972,11132.0,0.0,0.0,0.0,20326.0,282763.2594,0.0,0.0,25.55,1148.4,62.26,14.47,3.6,20.74
TN,1973,11452.0,0.0,0.0,0.0,23150.0,197037.29241,0.0,0.0,20.44,1165.8,65.33,13.81,4.75,25.56
TN,1974,11767.0,0.0,0.0,0.0,25106.0,174791.55703,0.0,0.0,17.34,4460.2,61.69,13.49,9.35,45.6
TN,1975,11806.0,0.0,0.0,0.0,26645.0,189767.27857999998,0.0,0.0,27.837,3955.6,62.39,12.53,12.21,54.61
TN,1976,9474.0,0.0,0.0,0.0,30549.0,221456.64045,0.0,0.0,48.363,3468.4,47.49,0.51,13.1,55.46
TN,1977,10396.0,0.0,0.0,0.0,33598.0,221425.24250999998,0.0,0.0,271.153,4756.0,56.18,5.1,14.4,57.2
TN,1978,8783.0,0.0,0.0,0.0,38182.0,236698.11792,0.0,0.0,481.104,3439.4,49.89,-2.86,14.95,55.24
TN,1979,12306.0,0.0,0.0,0.0,42194.0,209549.33439,0.0,0.0,971.6766,3561.2,66.08,20.29,25.1,82.51
TN,1980,8764.0,519.0,0.0,0.0,44972.0,239029.65899999999,0.0,0.0,1260.856,4309.4,44.78,-9.8,37.42,109.51
TN,1981,5915.0,4704.0,0.0,0.0,50265.0,258106.1688,0.0,0.0,1746.504,5324.4,46.51,-0.78,35.75,94.83
TN,1982,9769.0,10104.0,0.0,0.0,52045.0,183943.48,480.6835,75.01207,3047.4240000000004,6565.6,57.74,6.53,31.83,79.5
TN,1983,9952.0,14051.0,0.0,0.0,57073.0,165982.8688,3612.21665,565.76664,4040.85,6124.8,54.98,2.46,29.08,70.34
TN,1984,10181.0,12501.0,0.0,0.0,63983.0,183261.43984,5117.81938,804.4056099999997,5142.528,5336.0,56.06,6.47,28.75,66.67
TN,1985,6539.0,9672.0,0.0,0.0,68426.0,185152.01262,5487.30884,865.5468599999997,4845.324000000001,4558.8,43.18,-6.51,26.92,60.27
TN,1986,5326.0,-105.0,0.0,0.0,73288.0,171634.58399999994,5799.74108,918.1061300000001,3574.848,3735.2,45.15,-9.44,14.44,31.72
TN,1987,7566.0,-108.0,0.0,0.0,80715.0,160941.7744,6339.94585,1007.2128,2793.624000000001,3561.2,43.03,-12.57,17.75,37.62
TN,1988,4591.0,3940.0,0.0,0.0,87356.0,163480.3569,6359.49842,1013.9598599999999,2165.1,3485.8,46.37,-6.71,14.87,30.33
TN,1989,11853.0,15603.0,0.0,0.0,91579.0,162632.6424,5993.32132,959.0108,1960.8,3085.6,65.53,19.45,18.33,35.6
TN,1990,10015.0,14003.0,0.0,0.0,94087.0,156330.08479000002,5019.95486,806.05017,2139.345,2934.8,60.64,6.32,23.19,42.62
TN,1991,10873.0,16587.0,0.0,0.0,101208.0,108022.4145,5868.95637,945.78221,1917.248,2813.0,60.4,6.07,20.2,35.73
TN,1992,10011.0,15654.0,0.0,0.0,111660.0,88067.7622,5222.727129999998,844.7167400000003,1824.87,2905.8,49.64,4.13,19.25,33.04
TN,1993,8954.0,3305.0,0.0,0.0,119568.0,77468.60385,5680.7912,922.0177800000001,1718.1010399999998,2430.2,48.25,-4.81,16.75,27.94
TN,1994,12028.0,11932.0,0.0,0.0,129895.0,76206.58425,5426.9762,884.0566699999997,2053.68,2418.6,61.9,14.11,15.66,25.44
TN,1995,9629.0,15708.0,0.0,0.0,137061.0,82105.25481,5319.393929999998,869.5855300000003,1876.42206,2221.4,52.15,2.67,16.75,26.48
TN,1996,11467.0,22924.0,0.0,0.0,143163.0,91364.96064,2224.33767,364.90873999999997,1744.08,2209.8,60.07,13.66,20.46,31.4
TN,1997,11038.0,24648.0,0.0,0.0,152687.0,82707.438,4000.65893,658.64877,1556.81103,2128.6,56.5,8.09,18.64,27.98
TN,1998,10806.0,28388.0,0.0,0.0,166282.0,67036.36352,4792.39059,791.8061,1462.6,1664.6,57.57,4.22,11.91,17.6
TN,1999,7802.0,27227.0,0.0,0.0,174940.0,75918.56156,4514.51522,746.98366,1263.21,1995.2,46.05,-9.27,16.56,23.89
TN,2000,6396.0,25825.0,0.0,0.0,181216.0,68026.53785,5500.81304,911.3613300000001,1192.55104,2006.8,45.02,-8.77,27.39,38.29
TN,2001,6947.0,28576.0,0.0,0.0,185896.0,84823.52724,6115.70094,1014.5523099999999,2073.99793,2035.8,54.0,4.69,23.0,31.3
TN,2002,7974.0,27574.0,0.0,4.0,194846.0,81657.91524,8443.255790000001,1402.50155,2115.59897,1595.0,59.22,5.93,22.81,30.52
TN,2003,12004.0,24153.0,0.0,4.0,204167.0,65616.96496,10039.78811,1675.0624,1862.01556,1803.8,61.76,14.94,27.69,36.26
TN,2004,10408.0,28612.0,0.0,4.0,218126.0,73353.58888,9237.40935,1548.02561,2169.3,2093.8,61.25,12.7,37.66,47.98
TN,2005,9310.0,27803.0,0.0,3.0,227505.0,82082.59142000001,8842.36205,1488.17722,2276.99897,1879.2,44.69,-7.94,50.04,61.65
TN,2006,7749.0,24679.0,0.0,55.0,239017.0,71956.50036,8881.40487,1501.4343900000001,2763.76115,1113.6,48.87,-3.04,58.3,69.64
TN,2007,4940.0,28700.0,0.0,50.0,243001.0,67714.156,9452.52626,1605.16474,4095.51565,1647.2,37.72,-21.13,64.2,74.44
