Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
0,1960,34349.0,0.0,0.0,0.0,7037.399999999907,3713.6731200000004,0.0,0.0,0.0,5.8,42.38,0.13,2.91,23.72
1,1961,37360.0,0.0,0.0,0.0,8222.80000000028,3111.01564,0.0,0.0,0.0,0.0,48.75,5.43,2.85,22.96
2,1962,39553.0,0.0,0.0,0.0,9408.200000000186,3827.6894,0.0,0.0,0.0,0.0,40.23,-0.71,2.85,22.69
3,1963,43117.0,0.0,0.0,0.0,11171.0,3094.7276,0.0,0.0,0.0,0.0,39.34,-3.35,2.91,22.9
4,1964,47036.0,0.0,0.0,0.0,11392.0,1107.58672,0.0,0.0,0.0,0.0,45.11,6.09,3.0,23.3
5,1965,49295.0,0.0,0.0,0.0,12330.0,895.8422,0.0,0.0,0.0,0.0,36.53,-8.67,3.01,23.0
6,1966,52821.0,989.0,0.0,0.0,14270.0,960.9943599999999,0.0,0.0,0.0,0.0,41.66,-2.74,3.1,23.01
7,1967,58899.0,2015.0,0.0,0.0,15659.0,960.9943599999999,0.0,0.0,0.0,0.0,42.83,-4.42,3.12,22.53
8,1968,64336.0,3903.0,0.0,0.0,17014.0,2899.27112,0.0,0.0,0.0,0.0,49.96,10.12,3.18,21.99
9,1969,67541.0,3667.0,0.0,0.0,18091.0,944.7063199999999,0.0,0.0,0.0,0.0,37.24,-6.95,3.32,21.81
10,1970,69525.0,2614.0,0.0,0.0,18112.0,602.65748,0.0,0.0,0.0,0.0,42.24,-4.34,3.39,21.04
11,1971,71589.0,2553.0,0.0,0.0,18761.0,18470.63736,0.0,0.0,0.0,0.0,48.87,9.64,3.6,21.42
12,1972,75883.0,2919.0,0.0,0.0,20483.0,42902.69736000001,0.0,0.0,0.0,0.0,49.95,11.6,3.6,20.74
13,1973,69016.0,4432.0,0.0,0.0,23342.0,52974.0,0.0,0.0,0.0,0.0,41.42,-4.63,4.75,25.56
14,1974,82491.0,3889.0,0.0,0.0,26240.0,63390.6,0.0,0.0,0.0,0.0,47.3,4.63,9.35,45.6
15,1975,83708.0,3308.0,0.0,0.0,29282.0,60636.6,0.0,0.0,0.0,0.0,50.93,10.82,12.21,54.61
16,1976,94457.0,2405.0,0.0,0.0,32735.0,66565.8,0.0,0.0,0.0,0.0,33.18,-7.35,13.1,55.46
17,1977,66617.0,4315.0,0.0,0.0,36826.0,81923.4,0.0,0.0,0.0,0.0,41.56,0.12,14.4,57.2
18,1978,88906.0,4140.0,0.0,0.0,42668.0,76269.6,0.0,0.0,0.0,0.0,35.99,-3.08,14.95,55.24
19,1979,79511.0,3613.0,0.0,0.0,48713.0,82166.4,0.0,0.0,0.0,0.0,38.21,-6.98,25.1,82.51
20,1980,83111.0,2041.0,0.0,0.0,52682.0,83268.0,0.0,0.0,0.0,0.0,44.74,4.14,37.42,109.51
21,1981,93701.0,2042.0,0.0,0.0,58918.0,75087.0,87.95543,13.677420000000001,0.0,0.0,43.8,6.59,35.75,94.83
22,1982,87705.0,3631.0,0.0,0.0,62933.0,67456.8,293.39871,45.78573,0.0,0.0,47.39,5.16,31.83,79.5
23,1983,85564.0,3494.0,0.0,0.0,67949.0,63034.2,551.20453,86.3329,0.0,0.0,51.84,12.22,29.08,70.34
24,1984,83431.0,5313.0,0.0,0.0,74170.0,62726.4,658.1234599999998,103.44214000000001,0.0,0.0,46.97,8.9,28.75,66.67
25,1985,77053.0,8038.0,0.0,0.0,77341.0,71895.6,705.63778,111.30457,0.0,0.0,29.99,-12.88,26.92,60.27
26,1986,78960.0,8439.0,0.0,0.0,84015.0,74536.2,745.81485,118.06341,0.0,0.0,41.63,-3.08,14.44,31.72
27,1987,69827.0,5528.0,0.0,0.0,90325.0,72073.8,815.28221,129.52203,0.0,0.0,34.39,-13.14,17.75,37.62
