Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,992.0,0.0,0.0,0.0,2776.0,9177.96818,0.0,0.0,57392.86465,174678.6,45.49,-1.3,2.91,23.72,-1.198489412583977,1.5163869638439154,0.0,0.0,-0.33985778892753105,2.099183666170949,-0.6592149778276698,-0.23930391077577023,-1.0274010036085814,-0.9421815392587725
1,1961,1395.0,0.0,0.0,0.0,3116.199999999953,8863.8079,0.0,0.0,61632.3044,169626.8,55.71,9.64,2.85,22.96,-1.189795392808804,1.4402247052260349,0.0,0.0,-0.3388966794413708,1.9947785569815848,0.6468103775843322,1.0568045839495188,-1.0297867179239248,-0.9730657979212983
2,1962,1061.0,0.0,0.0,0.0,3456.4000000000237,5744.64512,0.0,0.0,68531.74419,160364.2,45.79,-2.95,2.85,22.69,-1.1811013730336284,0.6840422803770793,0.0,0.0,-0.337332530067303,1.8033492121188825,-0.6208776386277093,-0.4347864533988714,-1.0297867179239248,-0.9840378371829851
3,1963,493.0,0.0,0.0,0.0,3791.0,4959.24442,0.0,0.0,78766.01672,158954.8,32.8,-17.61,2.91,22.9,-1.1725504646950835,0.4936366338323782,0.0,0.0,-0.3350123516964388,1.7742212654678884,-2.2808844259860175,-2.1716192260380613,-1.0274010036085814,-0.97550402886834
4,1964,561.0,0.0,0.0,0.0,4148.0,4757.28424,0.0,0.0,78834.328,155074.6,45.9,-6.28,3.0,23.3,-1.1634271106100245,0.4446751818637408,0.0,0.0,-0.3349968650701175,1.694029511107746,-0.6068206142543904,-0.8293057666927666,-1.0238224321355667,-0.959249155888063
5,1965,1080.0,0.0,0.0,0.0,4446.0,5071.44452,0.0,0.0,85731.69775,150394.0,43.94,-4.28,3.01,23.0,-1.1558115377323002,0.5208374404816212,0.0,0.0,-0.3334331849880312,1.5972959598840757,-0.8572912303608019,-0.5923572301799166,-1.0234248130830095,-0.9714403106232706
6,1966,1587.0,0.0,0.0,0.0,4868.0,5295.84472,0.0,0.0,108857.13778,138179.2,46.0,-3.8,3.1,23.01,-1.1450270687578046,0.5752390537801072,0.0,0.0,-0.32819049229863445,1.3448537555754647,-0.5940415011877366,-0.5354895814168326,-1.0198462416099945,-0.9710339387987637
7,1967,1228.0,0.0,0.0,0.0,5132.0,4241.16378,0.0,0.0,120602.53873,122235.0,47.68,1.42,3.12,22.53,-1.138280386745324,0.3195514712772229,0.0,0.0,-0.3255277309581058,1.0153363673302733,-0.37935240166795536,0.08294609888170565,-1.01905100350488,-0.9905397863750959
8,1968,3005.0,0.0,0.0,0.0,5704.0,4734.84422,0.0,0.0,162111.99459000002,112891.2,58.33,10.11,3.18,21.99,-1.1236625757182825,0.4392350205338922,0.0,0.0,-0.31611725831430976,0.822228869162575,0.9816231399306573,1.1124874900300386,-1.016665289189537,-1.0124838648984698
9,1969,2883.0,0.0,0.0,0.0,6232.0,5116.32456,0.0,0.0,175184.2905,104684.2,46.36,-2.89,3.32,21.81,-1.1101692116933213,0.5317177631413185,0.0,0.0,-0.31315368096779955,0.6526155172648138,-0.5480366941477834,-0.42767799730348594,-1.0110986224537357,-1.0197985577395943
