Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,17445.0,0.0,0.0,0.0,51435.59999999963,0.0,0.0,0.0,589695.14506,1771041.6,21.77,-4.36,2.91,23.72,-1.1397174649833561,-0.4512634834539758,-0.6402384178966802,-0.6367475405046912,0.9275652285644689,-0.3268006880584674,-0.06465454797258695,-0.24907626630232882,-1.0274010036085814,-0.9421815392587725
1,1961,15368.0,5.0,0.0,0.0,56899.40000000037,0.0,0.0,0.0,633797.94059,1737732.2,16.53,-6.81,2.85,22.96,-1.1326870938629903,-0.4512634834539758,-0.6402384178966802,-0.6367475405046912,1.1735444963004968,-0.4416780918223079,-0.9174563439767377,-0.4710442540930607,-1.0297867179239248,-0.9730657979212983
2,1962,22835.0,7.0,0.0,0.0,62363.199999999255,0.0,0.0,0.0,642889.45626,1720222.0,22.1,-0.68,2.85,22.69,-1.1256567227426266,-0.4512634834539758,-0.6402384178966802,-0.6367475405046912,1.2242515850517306,-0.5020672406927644,-0.010947564636447363,0.08432871127721968,-1.0297867179239248,-0.9840378371829851
3,1963,25334.0,193.0,0.0,0.0,67809.0,0.0,0.0,0.0,736625.8427899998,1745266.4,24.74,9.9,2.91,22.9,-1.1186495125505826,-0.4512634834539758,-0.6402384178966802,-0.6367475405046912,1.7470576213082405,-0.4156941552927541,0.4187083020526664,1.0428680218184216,-1.0274010036085814,-0.97550402886834
4,1964,22098.0,367.0,0.0,0.0,73513.0,0.0,0.0,0.0,756639.93889,1740052.2,22.27,2.69,3.0,23.3,-1.111310071708941,-0.4512634834539758,-0.6402384178966802,-0.6367475405046912,1.8586843933510182,-0.4336768796500049,0.01671966920338166,0.38964794346283876,-1.0238224321355667,-0.959249155888063
5,1965,30523.0,270.0,0.0,0.0,78253.0,0.0,0.0,0.0,752461.64738,1835282.4,21.98,4.63,3.01,23.0,-1.1052110272507745,-0.4512634834539758,-0.6402384178966802,-0.6367475405046912,1.8353803584555806,-0.10524712300739865,-0.03047737675867999,0.5654103501216224,-1.0234248130830095,-0.9714403106232706
6,1966,26236.0,163.0,0.0,0.0,84627.0,0.0,0.0,0.0,785759.22382,2002711.0,18.72,-9.29,3.1,23.01,-1.0970094851882526,-0.4512634834539758,-0.6402384178966802,-0.6367475405046912,2.021094514931766,0.4721803564372767,-0.5610372727459956,-0.6957302172444955,-1.0198462416099945,-0.9710339387987637
7,1967,35277.0,563.0,0.0,0.0,89571.0,0.0,0.0,0.0,776043.30026,2083470.2,23.75,7.1,3.12,22.53,-1.0906479502091018,-0.4512634834539758,-0.6402384178966802,-0.6367475405046912,1.9669048488585048,0.7507025521551431,0.2575873520442488,0.7891903214861563,-1.01905100350488,-0.9905397863750959
8,1968,27175.0,1505.0,0.0,0.0,98721.0,0.0,0.0,0.0,814570.86253,2177876.8,20.37,-4.32,3.18,21.99,-1.0788744783120081,-0.4512634834539758,-0.6402384178966802,-0.6367475405046912,2.181788768141633,1.0762918784765816,-0.2925023560652988,-0.24545229915472502,-1.016665289189537,-1.0124838648984698
9,1969,40418.0,2458.0,0.0,0.0,106629.0,0.0,0.0,0.0,772179.49155,2176687.8,30.6,9.41,3.32,21.81,-1.068699110469143,-0.4512634834539758,-0.6402384178966802,-0.6367475405046912,1.945354812727317,1.0721912572382761,1.372414127355019,0.9984744242602751,-1.0110986224537357,-1.0197985577395943
