Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,278.0,0.0,0.0,0.0,9674.299999999814,0.0,0.0,0.0,40.93046,2140.2,63.16,12.5,2.91,23.72,-1.1096792036092673,0.0,0.0,0.0,-0.546482482289467,-0.5456460573320858,1.715411322237766,1.6781035795095927,-1.0274010036085814,-0.9421815392587725
1,1961,263.0,0.0,0.0,0.0,11277.799999999814,0.0,0.0,0.0,39.56611,2169.2,44.39,-9.78,2.85,22.96,-1.1043873645542088,0.0,0.0,0.0,-0.5465394781266827,-0.5453183617530896,-1.5837123614402073,-0.8869398742839496,-1.0297867179239248,-0.9730657979212983
2,1962,237.0,0.0,0.0,0.0,12881.299999999814,0.0,0.0,0.0,39.56611,2430.2,48.65,-5.51,2.85,22.69,-1.0990955254991503,0.0,0.0,0.0,-0.5465394781266827,-0.5423691015421239,-0.8349501402112162,-0.3953449215147205,-1.0297867179239248,-0.9840378371829851
3,1963,265.0,0.0,0.0,0.0,14684.0,0.0,0.0,0.0,47.7522,2691.2,51.03,-3.41,2.91,22.9,-1.093146290535287,0.0,0.0,0.0,-0.5461975035211395,-0.5394198413311584,-0.41662758468891536,-0.15357691195608325,-1.0274010036085814,-0.97550402886834
4,1964,290.0,0.0,0.0,0.0,16025.0,0.0,0.0,0.0,54.57395,3596.0,63.44,12.99,3.0,23.3,-1.0887207487998125,0.0,0.0,0.0,-0.5459125243350611,-0.5291957392664774,1.7646257405345074,1.7345161150732746,-1.0238224321355667,-0.959249155888063
5,1965,298.0,0.0,0.0,0.0,17445.0,0.0,0.0,0.0,145.98531,8491.2,54.69,2.43,3.01,23.0,-1.0840344928233965,0.0,0.0,0.0,-0.5420938070013682,-0.47388072553192206,0.22667516876134428,0.5187684098641271,-1.0234248130830095,-0.9714403106232706
6,1966,290.0,0.0,0.0,0.0,19182.0,0.0,0.0,0.0,289.24192,10434.2,57.6,8.71,3.1,23.01,-1.0783020797029494,0.0,0.0,0.0,-0.5361092499422337,-0.451925121739178,0.7381535874881912,1.2417698860680522,-1.0198462416099945,-0.9710339387987637
7,1967,286.0,0.0,0.0,0.0,21123.0,0.0,0.0,0.0,167.81489,9094.4,47.69,-6.94,3.12,22.53,-1.071896429808426,0.0,0.0,0.0,-0.5411818744414191,-0.46706465748880155,-1.0036852886571863,-0.5599774232617927,-1.01905100350488,-0.9905397863750959
8,1968,242.0,0.0,0.0,0.0,23793.0,0.0,0.0,0.0,147.34966,8549.2,52.27,3.17,3.18,21.99,-1.0630849485006577,0.0,0.0,0.0,-0.5420368111641526,-0.4732253343739297,-0.1986780179462039,0.6039628513276469,-1.016665289189537,-1.0124838648984698
9,1969,274.0,0.0,0.0,0.0,27427.0,0.0,0.0,0.0,68.21743000000001,10039.8,60.41,10.57,3.32,21.81,-1.0510920934173509,0.0,0.0,0.0,-0.545342566798406,-0.4563817816135261,1.2320554282519147,1.4559072659628451,-1.0110986224537357,-1.0197985577395943
