Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,2306.0,0.0,0.0,0.0,6851.299999999815,100.448,0.0,0.0,0.0,0.0,46.92,-3.21,2.91,23.72,-1.1183295656085404,-0.13275904354220658,-0.16848195951411865,-0.16815909618908342,0.0,0.0,-0.4710971626147974,-0.30479440023503035,-1.0274010036085814,-0.9421815392587725
1,1961,2289.0,0.0,0.0,0.0,7985.399999999441,100.448,0.0,0.0,0.0,0.0,54.12,7.53,2.85,22.96,-1.1116857021228015,-0.13275904354220658,-0.16848195951411865,-0.16815909618908342,0.0,0.0,0.5918419098303501,0.7595817985109721,-1.0297867179239248,-0.9730657979212983
2,1962,2561.0,0.0,0.0,0.0,9119.499999999534,0.0,0.0,0.0,0.0,0.0,49.27,-3.59,2.85,22.69,-1.10504183863706,-0.23170269234934848,-0.16848195951411865,-0.16815909618908342,0.0,0.0,-0.12416565980283908,-0.34245389330053133,-1.0297867179239248,-0.9840378371829851
3,1963,2935.0,0.0,0.0,0.0,10318.0,0.0,0.0,0.0,0.0,0.0,50.39,4.03,2.91,22.9,-1.098020702592916,-0.23170269234934848,-0.16848195951411865,-0.16815909618908342,0.0,0.0,0.04118041813307248,0.41271804659188377,-1.0274010036085814,-0.97550402886834
4,1964,4310.0,0.0,0.0,0.0,11253.0,0.0,0.0,0.0,0.0,0.0,70.46,25.66,3.0,23.3,-1.0925432205726642,-0.23170269234934848,-0.16848195951411865,-0.16815909618908342,0.0,0.0,3.004123082573922,2.5563360334518497,-1.0238224321355667,-0.959249155888063
5,1965,3234.0,0.0,0.0,0.0,12519.0,0.0,0.0,0.0,0.0,0.0,48.39,-0.64,3.01,23.0,-1.0851266513345474,-0.23170269234934848,-0.16848195951411865,-0.16815909618908342,0.0,0.0,-0.2540804353239131,-0.05009730239729976,-1.0234248130830095,-0.9714403106232706
6,1966,3341.0,0.0,0.0,0.0,13808.0,0.0,0.0,0.0,0.0,0.0,55.87,10.8,3.1,23.01,-1.0775753418970022,-0.23170269234934848,-0.16848195951411865,-0.16815909618908342,0.0,0.0,0.8501951566052126,1.0836516467325206,-1.0198462416099945,-0.9710339387987637
7,1967,3704.0,0.0,0.0,0.0,14711.0,0.0,0.0,0.0,0.0,0.0,49.32,5.67,3.12,22.53,-1.0722853245020423,-0.23170269234934848,-0.16848195951411865,-0.16815909618908342,0.0,0.0,-0.11678413846641486,0.5752484903482565,-1.01905100350488,-0.9905397863750959
8,1968,3148.0,0.0,0.0,0.0,16424.0,0.0,0.0,0.0,0.0,0.0,42.04,-6.46,3.18,21.99,-1.0622501087793774,-0.23170269234934848,-0.16848195951411865,-0.16815909618908342,0.0,0.0,-1.1915336450498426,-0.6268821698741838,-1.016665289189537,-1.0124838648984698
9,1969,3116.0,0.0,0.0,0.0,18082.0,0.0,0.0,0.0,0.0,0.0,49.54,4.68,3.32,21.81,-1.0525370978814332,-0.23170269234934848,-0.16848195951411865,-0.16815909618908342,0.0,0.0,-0.08430544458614661,0.47713560051971443,-1.0110986224537357,-1.0197985577395943
