Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,881.0,0.0,0.0,0.0,5635.1999999999525,22058.33316,0.0,0.0,0.0,0.0,33.81,6.56,2.91,23.72,-1.2294029450244688,1.6360075788099513,-0.38387860266152035,-0.37877704075045593,0.0,0.0,-0.0641498650922132,0.22083766838402857,-1.0274010036085814,-0.9421815392587725
1,1961,897.0,0.0,0.0,0.0,6359.599999999859,19146.13749,0.0,0.0,0.0,0.0,37.26,13.43,2.85,22.96,-1.2155965211807844,1.3311328061487924,-0.38387860266152035,-0.37877704075045593,0.0,0.0,0.5865705403503758,0.9033767044091737,-1.0297867179239248,-0.9730657979212983
2,1962,931.0,0.0,0.0,0.0,7084.0,23338.8731,0.0,0.0,0.0,0.0,31.05,3.41,2.85,22.69,-1.2017900973370959,1.7700659894836526,-0.38387860266152035,-0.37877704075045593,0.0,0.0,-0.5847261894462854,-0.09211691145282831,-1.0297867179239248,-0.9840378371829851
3,1963,758.0,0.0,0.0,0.0,7921.0,25053.14431,0.0,0.0,0.0,0.0,27.14,-10.8,2.91,22.9,-1.1858376169986569,1.9495312811919945,-0.38387860266152035,-0.37877704075045593,0.0,0.0,-1.3222093156145538,-1.5038897938279832,-1.0274010036085814,-0.97550402886834
4,1964,690.0,0.0,0.0,0.0,8350.0,20096.215509999998,0.0,0.0,0.0,0.0,31.25,-4.2,3.0,23.3,-1.177661256108346,1.4305954979389575,-0.38387860266152035,-0.37877704075045593,0.0,0.0,-0.5470032673916426,-0.8481754360745686,-1.0238224321355667,-0.959249155888063
5,1965,928.0,0.0,0.0,0.0,9196.0,21541.986409999998,0.0,0.0,0.0,0.0,40.25,15.55,3.01,23.0,-1.1615372437232572,1.5819517680544264,-0.38387860266152035,-0.37877704075045593,0.0,0.0,1.1505282250672875,1.114000104172392,-1.0234248130830095,-0.9714403106232706
6,1966,867.0,0.0,0.0,0.0,10202.0,21170.21675,0.0,0.0,0.0,0.0,25.32,-7.5,3.1,23.01,-1.1423637727310594,1.543031584310449,-0.38387860266152035,-0.37877704075045593,0.0,0.0,-1.6654879063118042,-1.1760326149512756,-1.0198462416099945,-0.9710339387987637
7,1967,806.0,0.0,0.0,0.0,10617.0,18237.36721,0.0,0.0,0.0,0.0,30.13,-2.24,3.12,22.53,-1.1344542394688704,1.2359945792190687,-0.38387860266152035,-0.37877704075045593,0.0,0.0,-0.7582516308976429,-0.6534481419538575,-1.01905100350488,-0.9905397863750959
8,1968,951.0,0.0,0.0,0.0,11273.0,18092.790119999998,0.0,0.0,0.0,0.0,32.8,4.51,3.18,21.99,-1.1219514591797235,1.2208589522075215,-0.38387860266152035,-0.37877704075045593,0.0,0.0,-0.25465062146816075,0.017168814839407406,-1.016665289189537,-1.0124838648984698
9,1969,866.0,0.0,0.0,0.0,12332.0,18650.44461,0.0,0.0,0.0,0.0,34.78,9.91,3.32,21.81,-1.1017678550239207,1.2792392278234883,-0.38387860266152035,-0.37877704075045593,0.0,0.0,0.1188063068728046,0.5536623802740194,-1.0110986224537357,-1.0197985577395943
