Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,100.0,0.0,0.0,0.0,11397.399999999907,346323.68516,0.0,0.0,344.052,69913.2,33.51,-7.72,2.91,23.72,-1.2141203443750053,-1.8488078849044483,-0.3748237678382762,-0.36795582438951635,-0.5622960628883158,2.1193901253836622,-1.6008778217822146,-1.2646856597172196,-1.0274010036085814,-0.9421815392587725
1,1961,107.0,0.0,0.0,0.0,12792.999999999534,336694.91491999995,0.0,0.0,384.292,66700.0,42.66,6.56,2.85,22.96,-1.200959128802923,-1.9033442176119608,-0.3748237678382762,-0.36795582438951635,-0.550438855506923,1.9750353799762945,0.1935789955403456,0.3600440761778938,-1.0297867179239248,-0.9730657979212983
2,1962,75.0,0.0,0.0,0.0,14188.59999999963,350135.07338,0.0,0.0,285.704,70046.6,35.52,-3.95,2.85,22.69,-1.1877979132308367,-1.8272205865410578,-0.3748237678382762,-0.36795582438951635,-0.5794890135913355,2.125383192431261,-1.2066856684687333,-0.8357479073135377,-1.0297867179239248,-0.9840378371829851
3,1963,52.0,0.0,0.0,0.0,15636.0,336561.18200000003,0.0,0.0,287.716,69031.6,29.11,-16.65,2.91,22.9,-1.1741481973960406,-1.9041016666773425,-0.3748237678382762,-0.36795582438951635,-0.5788961532222658,2.079783769243013,-2.463786018090331,-2.2807106276124127,-1.0274010036085814,-0.97550402886834
4,1964,45.0,0.0,0.0,0.0,16723.0,336003.9615,0.0,0.0,201.2,65441.4,36.22,-13.51,3.0,23.3,-1.163897236284793,-1.9072577044497683,-0.3748237678382762,-0.36795582438951635,-0.6043891490922605,1.918492095222867,-1.0694048190560792,-1.9234521282629273,-1.0238224321355667,-0.959249155888063
5,1965,94.0,0.0,0.0,0.0,18518.0,346925.4833,0.0,0.0,240.43400000000003,66589.8,39.92,0.91,3.01,23.0,-1.1469694762160818,-1.8453993641102286,-0.3748237678382762,-0.36795582438951635,-0.5928283718954025,1.9700845854587135,-0.3437774721606169,-0.28279366946688134,-1.0234248130830095,-0.9714403106232706
6,1966,95.0,0.0,0.0,0.0,20049.0,386176.09531999996,0.0,0.0,216.29,61578.6,37.19,-3.37,3.1,23.01,-1.1325313699959163,-1.6230880634205778,-0.3748237678382762,-0.36795582438951635,-0.5999426963242381,1.7449537189750206,-0.8791727848699717,-0.7697574838668174,-1.0198462416099945,-0.9710339387987637
7,1967,469.0,0.0,0.0,0.0,20951.0,418405.72904,0.0,0.0,199.188,58469.8,38.88,0.34,3.12,22.53,-1.1240250526800513,-1.4405428386634875,-0.3748237678382762,-0.36795582438951635,-0.6049820094613301,1.60528919995273,-0.5477375912879897,-0.3476463269921065,-1.01905100350488,-0.9905397863750959
8,1968,524.0,0.0,0.0,0.0,22646.0,412031.12652,0.0,0.0,235.404,50413.6,41.67,3.16,3.18,21.99,-1.1080403433115467,-1.4766479107800352,-0.3748237678382762,-0.36795582438951635,-0.5943105228180765,1.2433600639042932,-0.0005753486289796163,-0.026796337130466443,-1.016665289189537,-1.0124838648984698
9,1969,591.0,0.0,0.0,0.0,24212.0,447693.23851999996,0.0,0.0,172.02599999999995,45477.8,40.89,6.57,3.32,21.81,-1.0932721693463088,-1.2746614933448044,-0.3748237678382762,-0.36795582438951635,-0.6129856244437704,1.0216165831431563,-0.1535454379745096,0.3611818420993891,-1.0110986224537357,-1.0197985577395943
10,1970,495.0,0.0,0.0,0.0,24546.0,496215.99966000003,0.0,0.0,153.918,43424.6,38.33,0.09,3.39,21.04,-1.0901223800076183,-0.9998337241219927,-0.3748237678382762,-0.36795582438951635,-0.618321367765397,0.9293754642366431,-0.6556011158265052,-0.37609047502948595,-1.0083152890858353,-1.0510891882266271
11,1971,431.0,0.0,0.0,0.0,26882.0,476891.59271999996,0.0,0.0,540.222,38616.4,37.11,-2.11,3.6,21.42,-1.0680927156507882,-1.1092851140697089,-0.3748237678382762,-0.36795582438951635,-0.5044921769040257,0.7133644823906001,-0.8948620248028463,-0.6263989777584249,-0.9999652889821338,-1.035647058895364
12,1972,385.0,0.0,0.0,0.0,29954.0,578372.59018,0.0,0.0,357.13,35554.0,43.96,10.14,3.6,20.74,-1.0391221981404366,-0.5345075149555791,-0.3748237678382762,-0.36795582438951635,-0.5584424704893631,0.5757845084283434,0.4485291444495627,0.7673642760731675,-0.9999652889821338,-1.0632803429618347
13,1973,480.0,0.0,0.0,0.0,33972.0,550910.60945,0.0,0.0,275.448,30809.6,44.39,6.43,4.75,25.56,-1.001230421006129,-0.6900492591834045,-0.3748237678382762,-0.36795582438951635,-0.5825110692300921,0.36263977603984726,0.5328588090887649,0.3452531191984565,-0.9542390979380544,-0.8674091235494992
14,1974,445.0,0.0,0.0,0.0,35606.0,514486.68426,0.0,0.0,175.472,28530.2,42.1,5.67,9.35,45.6,-0.9858209725647505,-0.8963505056731514,-0.3748237678382762,-0.36795582438951635,-0.6119702184637434,0.26023649996566767,0.08375431601022262,0.25878290916482305,-0.7713343337617363,-0.05303998723763094
15,1975,444.0,0.0,0.0,0.0,37677.0,542752.01332,0.0,0.0,342.54,26865.6,44.7,8.76,12.21,54.61,-0.9662903925634685,-0.7362586817661061,-0.3748237678382762,-0.36795582438951635,-0.5627415921517519,0.18545344593694096,0.5936546138286554,0.6103525789068329,-0.6576152847303735,0.3131010266431041
16,1976,479.0,0.0,0.0,0.0,43775.0,548266.20254,0.0,0.0,190.08,26854.0,32.62,-4.95,13.1,55.46,-0.9087831608648603,-0.7050268992623733,-0.3748237678382762,-0.36795582438951635,-0.607665792881552,0.1849323096719325,-1.7754206160354475,-0.9495244994630554,-0.6222271890527815,0.34764263172619236
17,1977,374.0,0.0,0.0,0.0,47901.0,601875.93235,0.0,0.0,181.17,30821.2,42.36,4.41,14.4,57.2,-0.8698728889743294,-0.40138707938876017,-0.3748237678382762,-0.36795582438951635,-0.6102912331839428,0.3631609123048559,0.13474434579206548,0.11542440305643073,-0.5705367122203439,0.4183513291903966
18,1978,361.0,0.0,0.0,0.0,53729.0,522198.44081999996,0.0,0.0,161.2233,27196.2,39.3,2.28,14.95,55.24,-0.8149118941662794,-0.8526719349904328,-0.3748237678382762,-0.36795582438951635,-0.6161687719134267,0.20030582948968467,-0.46536908164039786,-0.12691973822204208,-0.5486676643296972,0.33870245158704015
19,1979,438.0,0.0,0.0,0.0,57917.0,597455.5644,0.0,0.0,469.35418,27347.0,46.9,15.32,25.1,82.51,-0.7754169308416202,-0.42642357430992506,-0.3748237678382762,-0.36795582438951635,-0.5253742454529128,0.20708060093479577,1.025108711982713,1.3567270234076694,-0.14508432598412588,1.4468784170174116
20,1980,474.0,0.0,0.0,0.0,58870.0,670980.19788,0.0,0.0,595.0783700000002,28872.4,36.0,-0.65,37.42,109.51,-0.7664296576686498,-0.009987853681162704,-0.3748237678382762,-0.36795582438951635,-0.48832807761773295,0.27561001978341987,-1.1125502288714848,-0.46028515322012903,0.34478234676636055,2.5440823431860964
21,1981,509.0,0.0,0.0,0.0,64724.0,638523.90648,0.0,0.0,361.43995,27381.8,41.21,6.21,35.75,94.83,-0.7112234696785461,-0.19381684348187603,-0.3748237678382762,-0.36795582438951635,-0.557172491091912,0.2086440097298214,-0.09078847824301015,0.32022226892556266,0.2783799649893059,1.947528504809937
22,1982,428.0,0.0,0.0,0.0,64982.0,694736.85276,0.0,0.0,256.76658,32265.4,44.88,8.21,31.83,79.5,-0.7087903988720127,0.12456731819021741,-0.3748237678382762,-0.36795582438951635,-0.5880157777569037,0.42804237729842015,0.6289554036776238,0.5477754532245983,0.12251329638687834,1.3245604978408285
23,1983,418.0,0.0,0.0,0.0,69335.0,697958.1804,0.0,0.0,135.81,30861.8,40.7,-1.88,29.08,70.34,-0.6677394018920123,0.14281257605348335,-0.3748237678382762,-0.36795582438951635,-0.6236571110870239,0.36498488923238576,-0.1908073828150869,-0.6002303615640359,0.013168056933644765,0.9523239065924898
24,1984,436.0,0.0,0.0,0.0,78859.0,821386.06025,0.0,0.0,396.758,32050.8,40.6,0.77,28.75,66.67,-0.5779232532043205,0.8418949877325125,-0.3748237678382762,-0.36795582438951635,-0.5467655963812659,0.4184013563957619,-0.21041893273118076,-0.29872239236781384,4.6628199256804146e-05,0.80318544699845
25,1985,426.0,0.0,0.0,0.0,82011.0,734611.46996,8864.796190000001,1398.29864,369.936,29974.4,45.46,7.65,26.92,60.27,-0.5481982951338035,0.3504129179917445,-0.3496976624784361,-0.34680374356647087,-0.5546690262118752,0.32511796495923195,0.7427023931909661,0.4840605616208683,-0.07271765841871311,0.543107479314021
26,1986,506.0,0.0,0.0,0.0,86437.0,729418.86936,9369.53325,1483.20861,368.285,27602.2,39.67,3.46,14.44,31.72,-0.5064588711426522,0.32100257930047377,-0.34826705129722446,-0.3455193094000167,-0.5551555135226773,0.21854559876498386,-0.39280634695085076,0.007336640514388858,-0.568946236010115,-0.6170840796532363
27,1987,507.0,0.0,0.0,0.0,91650.0,759526.3814399998,10242.23885,1627.1612300000006,218.953,21680.4,34.87,-8.2,17.75,37.62,-0.4572976381408738,0.49152833231608584,-0.34579348141657024,-0.34334173633670517,-0.5991580108556336,-0.04749446452187981,-1.3341607429233424,-1.3192984239489878,-0.43733432961367746,-0.37732470319415345
28,1988,441.0,0.0,0.0,0.0,99492.0,696993.69022,10273.8262,1638.06117,418.18,21257.0,34.25,-11.62,14.87,30.33,-0.38334360223065966,0.13734980603835767,-0.3457039512043547,-0.34317685280950216,-0.5404533424914995,-0.06651593819469187,-1.455752352403122,-1.7084143691003386,-0.5518486167501548,-0.6735697632596982
29,1989,450.0,0.0,0.0,0.0,107199.0,747396.71444,9682.26384,1549.2904800000001,422.656,19203.8,43.42,11.03,18.33,35.6,-0.3106626847657246,0.4228271857880198,-0.347380657342398,-0.34451968813515016,-0.5391344344338674,-0.15875705710120488,0.34262677490265764,0.8686254430862381,-0.4142724245653592,-0.45941181174455115
30,1990,441.0,0.0,0.0,0.0,110860.0,797305.24011,8109.78168,1302.18121,406.182,17400.0,53.54,21.83,23.19,42.62,-0.27613759863115517,0.7055037782331773,-0.35183765235748915,-0.34825771311897175,-0.5439886997022836,-0.23979374631003406,2.327315626411325,2.0974126383010296,-0.22102956502255355,-0.17413879094069332
31,1991,399.0,0.0,0.0,0.0,114637.0,700941.20364,9481.35116,1527.91956,235.248,17481.2,36.31,-10.49,20.2,35.73,-0.24051857368434582,0.1597081030871497,-0.34795011805617077,-0.34484296630633027,-0.5943564901230343,-0.23614579245497416,-1.0517544241315941,-1.5798468199713835,-0.3399176617371603,-0.45412897802596136
