Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,982.0,34.0,0.0,0.0,12763.799999999814,0.0,0.0,0.0,0.0,0.0,46.95,4.57,2.91,23.72,-1.1784213030230077,0.0,0.0,0.0,0.0,0.0,-0.004799282705113135,0.36224058670777365,-1.0274010036085814,-0.9421815392587725
1,1961,814.0,854.0,0.0,0.0,14257.0,0.0,0.0,0.0,0.0,0.0,43.66,-1.88,2.85,22.96,-1.1686933943662396,0.0,0.0,0.0,0.0,0.0,-0.5020800177760362,-0.4094770856163758,-1.0297867179239248,-0.9730657979212983
2,1962,791.0,689.0,0.0,0.0,15750.199999999719,0.0,0.0,0.0,0.0,0.0,43.51,-0.38,2.85,22.69,-1.1589654857094744,0.0,0.0,0.0,0.0,0.0,-0.5247523917154397,-0.23000785949448066,-1.0297867179239248,-0.9840378371829851
3,1963,708.0,941.0,0.0,0.0,17415.0,0.0,0.0,0.0,0.0,0.0,37.7,-10.48,2.91,22.9,-1.1481196363043122,0.0,0.0,0.0,0.0,0.0,-1.402929008968344,-1.4384339820485752,-1.0274010036085814,-0.97550402886834
4,1964,670.0,1189.0,0.0,0.0,18625.0,0.0,0.0,0.0,0.0,0.0,34.65,-15.67,3.0,23.3,-1.1402367207707682,0.0,0.0,0.0,0.0,0.0,-1.8639339457362207,-2.0593975044303328,-1.0238224321355667,-0.959249155888063
5,1965,664.0,966.0,0.0,0.0,19997.0,0.0,0.0,0.0,0.0,0.0,29.36,-20.3,3.01,23.0,-1.1312984066286007,0.0,0.0,0.0,0.0,0.0,-2.6635129999991927,-2.6133591823932494,-1.0234248130830095,-0.9714403106232706
6,1966,803.0,1082.0,0.0,0.0,21837.0,0.0,0.0,0.0,0.0,0.0,37.64,-8.38,3.1,23.01,-1.119311163172633,0.0,0.0,0.0,0.0,0.0,-1.4119979585441058,-1.187177065477922,-1.0198462416099945,-0.9710339387987637
7,1967,799.0,1273.0,0.0,0.0,23275.0,0.0,0.0,0.0,0.0,0.0,46.5,3.96,3.12,22.53,-1.109942871819545,0.0,0.0,0.0,0.0,0.0,-0.07281640452332479,0.28925643475153623,-1.01905100350488,-0.9905397863750959
8,1968,783.0,1218.0,0.0,0.0,25226.0,0.0,0.0,0.0,0.0,0.0,43.93,-4.78,3.18,21.99,-1.0972324848724835,0.0,0.0,0.0,0.0,0.0,-0.46126974468510895,-0.7564509227853733,-1.016665289189537,-1.0124838648984698
9,1969,881.0,1143.0,0.0,0.0,27476.0,0.0,0.0,0.0,0.0,0.0,49.32,4.63,3.32,21.81,-1.0825741708638272,0.0,0.0,0.0,0.0,0.0,0.3534242255374656,0.36941935575264945,-1.0110986224537357,-1.0197985577395943
10,1970,753.0,1209.0,0.0,0.0,29052.0,0.0,0.0,0.0,0.0,0.0,41.54,-5.27,3.39,21.04,-1.0723068362515418,0.0,0.0,0.0,0.0,0.0,-0.8225162361196087,-0.815077536651859,-1.0083152890858353,-1.0510891882266271
11,1971,706.0,1435.0,0.0,0.0,30989.0,0.0,0.0,0.0,0.0,0.0,40.54,-6.4,3.6,21.42,-1.059687656591645,0.0,0.0,0.0,0.0,0.0,-0.9736653957156337,-0.9502776869970202,-0.9999652889821338,-1.035647058895364
12,1972,859.0,1499.0,0.0,0.0,33807.0,0.0,0.0,0.0,0.0,0.0,59.49,19.2,3.6,20.74,-1.0413289326465813,0.0,0.0,0.0,0.0,0.0,1.8906111786290396,2.1126637721499915,-0.9999652889821338,-1.0632803429618347
13,1973,560.0,5120.0,0.0,0.0,36912.0,0.0,0.0,0.0,0.0,0.0,52.0,7.6,4.75,25.56,-1.0211004593146358,0.0,0.0,0.0,0.0,0.0,0.7585039732548124,0.7247684234740019,-0.9542390979380544,-0.8674091235494992
14,1974,428.0,2885.0,0.0,0.0,39313.0,0.0,0.0,0.0,0.0,0.0,44.73,0.57,9.35,45.6,-1.005458409565843,0.0,0.0,0.0,0.0,0.0,-0.34035041700828944,-0.116344016283947,-0.7713343337617363,-0.05303998723763094
15,1975,417.0,3781.0,0.0,0.0,41910.0,0.0,0.0,0.0,0.0,0.0,55.76,12.96,12.21,54.61,-0.9885394577967405,0.0,0.0,0.0,0.0,0.0,1.326824813335866,1.3660717914829077,-0.6576152847303735,0.3131010266431041
16,1976,490.0,3664.0,0.0,0.0,45498.0,0.0,0.0,0.0,0.0,0.0,42.44,-2.14,13.1,55.46,-0.9651643330576032,0.0,0.0,0.0,0.0,0.0,-0.6864819924831864,-0.44058508481083775,-0.6222271890527815,0.34764263172619236
17,1977,422.0,3675.0,0.0,0.0,50719.0,0.0,0.0,0.0,0.0,0.0,54.09,10.11,14.4,57.2,-0.9311505297512945,0.0,0.0,0.0,0.0,0.0,1.0744057168105052,1.0250802618513066,-0.5705367122203439,0.4183513291903966
18,1978,214.0,5570.0,0.0,0.0,56883.0,0.0,0.0,0.0,0.0,0.0,42.2,-2.54,14.95,55.24,-0.8909932641738023,0.0,0.0,0.0,0.0,0.0,-0.7227577907862317,-0.48844354511000976,-0.5486676643296972,0.33870245158704015
19,1979,438.0,6077.0,0.0,0.0,62965.0,0.0,0.0,0.0,0.0,0.0,54.45,9.53,25.1,82.51,-0.8513702127068478,0.0,0.0,0.0,0.0,0.0,1.128819414265074,0.9556854944175072,-0.14508432598412588,1.4468784170174116
20,1980,158.0,3232.0,0.0,0.0,69684.0,0.0,0.0,0.0,0.0,0.0,35.53,-12.2,37.42,109.51,-0.807597229673887,0.0,0.0,0.0,0.0,0.0,-1.7309226852917183,-1.6442253613350148,0.34478234676636055,2.5440823431860964
