Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,1358.0,0.0,0.0,0.0,7061.399999999907,18933.308680000002,0.0,0.0,4154.43,0.0,43.7,3.95,2.91,23.72,-1.1434963958872626,-1.909055443426597,0.0,0.0,4.424855265263477,0.0,0.036844747787785695,0.47735784504707685,-1.0274010036085814,-0.9421815392587725
1,1961,1139.0,0.0,0.0,0.0,8112.199999999721,19161.115869999998,0.0,0.0,3656.716,0.0,43.05,0.69,2.85,22.96,-1.1345247343380453,-1.9014650860218913,0.0,0.0,3.865981569592845,0.0,-0.07160388923967977,0.11418648962301135,-1.0297867179239248,-0.9730657979212983
2,1962,1148.0,0.0,0.0,0.0,9162.999999999767,20781.07811,0.0,0.0,2526.384,0.0,39.25,-4.84,2.85,22.69,-1.1255530727888259,-1.8474892111439833,0.0,0.0,2.596753012279257,0.0,-0.7056113057079334,-0.5018679875227194,-1.0297867179239248,-0.9840378371829851
3,1963,971.0,0.0,0.0,0.0,10261.0,29412.43942,0.0,0.0,1668.9260000000006,0.0,36.27,-9.4,2.91,22.9,-1.1161784207322551,-1.559899002810131,0.0,0.0,1.6339295406824206,0.0,-1.2028065954646163,-1.009862276091351,-1.0274010036085814,-0.97550402886834
4,1964,1112.0,0.0,0.0,0.0,11171.0,28754.329760000004,0.0,0.0,1411.382,0.0,36.9,-10.98,3.0,23.3,-1.1084089003575033,-1.5818267019792804,0.0,0.0,1.3447382238261594,0.0,-1.0976948395764592,-1.1858778409901312,-1.0238224321355667,-0.959249155888063
5,1965,1141.0,0.0,0.0,0.0,12263.0,30627.4111,0.0,0.0,416.976,0.0,31.3,-17.63,3.01,23.0,-1.099085475907801,-1.5194170966517,0.0,0.0,0.22813841707559687,0.0,-2.032021558582307,-1.9267028451527188,-1.0234248130830095,-0.9714403106232706
6,1966,1322.0,0.0,0.0,0.0,13563.0,30931.154019999998,0.0,0.0,711.312,0.0,37.53,-6.01,3.1,23.01,-1.087986161086727,-1.509296620112092,0.0,0.0,0.5586427791970378,0.0,-0.9925830836883008,-0.6322086273528288,-1.0198462416099945,-0.9710339387987637
7,1967,1923.0,0.0,0.0,0.0,14319.0,33032.04255,0.0,0.0,634.6619999999998,0.0,41.48,1.94,3.12,22.53,-1.0815314826215485,-1.4392966573798054,0.0,0.0,0.47257393489457894,0.0,-0.333549058675248,0.2534393099543248,-1.01905100350488,-0.9905397863750959
8,1968,1609.0,0.0,0.0,0.0,15852.0,36626.33377,0.0,0.0,883.008,0.0,36.48,-9.51,3.18,21.99,-1.0684428290671588,-1.3195376849944473,0.0,0.0,0.7514369904345449,0.0,-1.167769343501898,-1.0221165242805064,-1.016665289189537,-1.0124838648984698
9,1969,1359.0,0.0,0.0,0.0,17385.0,34626.69288,0.0,0.0,999.516,0.0,40.81,-1.61,3.32,21.81,-1.055354175512769,-1.3861641555468647,0.0,0.0,0.8822616337742819,0.0,-0.44533457684201816,-0.14203869978660544,-1.0110986224537357,-1.0197985577395943
10,1970,1907.0,0.0,0.0,0.0,18720.0,40878.73465,0.0,0.0,830.8860000000003,0.0,40.59,-3.28,3.39,21.04,-1.043956032984974,-1.1778510134399394,0.0,0.0,0.6929101763088734,0.0,-0.4820402693743906,-0.32808046774924016,-1.0083152890858353,-1.0510891882266271
11,1971,1773.0,0.0,0.0,0.0,20501.0,41612.78004,0.0,0.0,218.708,0.0,49.83,9.99,3.6,21.42,-1.0287499716801023,-1.1533931951358873,0.0,0.0,0.005507006479904077,0.0,1.059598816985258,1.1502274728879835,-0.9999652889821338,-1.035647058895364
12,1972,2282.0,0.0,0.0,0.0,22644.0,41511.5324,0.0,0.0,249.368,0.0,55.91,18.63,3.6,20.74,-1.0104531780942856,-1.1567666873157567,0.0,0.0,0.039934544200887497,0.0,2.0740106833344645,2.112742967018022,-0.9999652889821338,-1.0632803429618347
13,1973,2165.0,0.0,0.0,0.0,25112.0,40493.63931000001,0.0,0.0,303.96,0.0,44.22,-1.48,4.75,25.56,-0.9893815558032003,-1.1906820889889007,0.0,0.0,0.10123487490095033,0.0,0.12360365740975665,-0.1275564064721488,-0.9542390979380544,-0.8674091235494992
