Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,2844.0,0.0,0.0,0.0,1864.7000000000119,0.0,0.0,0.0,0.0,0.0,43.96,2.09,2.91,23.72,-1.2188178734352486,0.0,0.0,0.0,0.0,0.0,-0.05129121907056296,-0.01722569244530767,-1.0274010036085814,-0.9421815392587725
1,1961,2604.0,0.0,0.0,0.0,2051.200000000012,0.0,0.0,0.0,0.0,0.0,42.89,0.23,2.85,22.96,-1.2093213597791432,0.0,0.0,0.0,0.0,0.0,-0.22885987741678185,-0.22754530079848675,-1.0297867179239248,-0.9730657979212983
2,1962,2527.0,0.0,0.0,0.0,2237.700000000012,0.0,0.0,0.0,0.0,0.0,42.99,4.1,2.85,22.69,-1.199824846123038,0.0,0.0,0.0,0.0,0.0,-0.21226467570218174,0.21005517464603102,-1.0297867179239248,-0.9840378371829851
3,1963,2850.0,0.0,0.0,0.0,2420.0,0.0,0.0,0.0,0.0,0.0,42.46,-0.36,2.91,22.9,-1.1905421949728618,0.0,0.0,0.0,0.0,0.0,-0.30021924478956136,-0.2942595851685812,-1.0274010036085814,-0.97550402886834
4,1964,2472.0,0.0,0.0,0.0,2604.0,0.0,0.0,0.0,0.0,0.0,35.33,-10.22,3.0,23.3,-1.1811729804274282,0.0,0.0,0.0,0.0,0.0,-1.4834571270405341,-1.4091796595569392,-1.0238224321355667,-0.959249155888063
5,1965,2069.0,0.0,0.0,0.0,2807.0,0.0,0.0,0.0,0.0,0.0,31.94,-16.69,3.01,23.0,-1.17083629264089,0.0,0.0,0.0,0.0,0.0,-2.04603446516547,-2.1407752864628904,-1.0234248130830095,-0.9714403106232706
6,1966,2420.0,0.0,0.0,0.0,3001.0,0.0,0.0,0.0,0.0,0.0,38.04,-5.36,3.1,23.01,-1.1609578816527697,0.0,0.0,0.0,0.0,0.0,-1.0337271605748768,-0.8596348764405681,-1.0198462416099945,-0.9710339387987637
7,1967,2560.0,0.0,0.0,0.0,3154.0,0.0,0.0,0.0,0.0,0.0,41.37,1.0,3.12,22.53,-1.1531671760796647,0.0,0.0,0.0,0.0,0.0,-0.48110694347870075,-0.14047750594260078,-1.01905100350488,-0.9905397863750959
8,1968,2611.0,0.0,0.0,0.0,3406.0,0.0,0.0,0.0,0.0,0.0,37.6,-9.73,3.18,21.99,-1.1403354257239622,0.0,0.0,0.0,0.0,0.0,-1.106746048119116,-1.3537728810122847,-1.016665289189537,-1.0124838648984698
9,1969,2764.0,0.0,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,0.0,49.66,12.74,3.32,21.81,-1.1256196485303192,0.0,0.0,0.0,0.0,0.0,0.8946352786616302,1.1870236779640244,-1.0110986224537357,-1.0197985577395943
10,1970,2853.0,0.0,0.0,0.0,3959.0,0.0,0.0,0.0,0.0,0.0,40.78,-3.51,3.39,21.04,-1.1121768624433925,0.0,0.0,0.0,0.0,0.0,-0.5790186335948395,-0.6504460186699328,-1.0083152890858353,-1.0510891882266271
11,1971,2463.0,0.0,0.0,0.0,4207.0,0.0,0.0,0.0,0.0,0.0,37.62,-8.03,3.6,21.42,-1.0995487906647647,0.0,0.0,0.0,0.0,0.0,-1.1034270077761967,-1.1615452819798089,-0.9999652889821338,-1.035647058895364
12,1972,2655.0,54.0,0.0,0.0,4625.0,0.0,0.0,0.0,0.0,0.0,48.62,12.78,3.6,20.74,-1.0782643793604645,0.0,0.0,0.0,0.0,0.0,0.7220451808297915,1.1915466802942003,-0.9999652889821338,-1.0632803429618347
13,1973,3095.0,3351.0,0.0,0.0,5203.0,0.0,0.0,0.0,0.0,0.0,53.42,16.27,4.75,25.56,-1.0488328249731784,0.0,0.0,0.0,0.0,0.0,1.5186148631305871,1.5861786336020471,-0.9542390979380544,-0.8674091235494992
14,1974,2911.0,3574.0,0.0,0.0,5603.0,0.0,0.0,0.0,0.0,0.0,42.94,4.44,9.35,45.6,-1.0284649672657142,0.0,0.0,0.0,0.0,0.0,-0.22056227655948238,0.2485006944525262,-0.7713343337617363,-0.05303998723763094
15,1975,2664.0,4502.0,0.0,0.0,5996.0,0.0,0.0,0.0,0.0,0.0,41.39,-3.15,12.21,54.61,-1.0084535470681304,0.0,0.0,0.0,0.0,0.0,-0.47778790313578023,-0.6097389976983498,-0.6576152847303735,0.3131010266431041
16,1976,3094.0,5929.0,0.0,0.0,6968.0,0.0,0.0,0.0,0.0,0.0,51.04,14.48,13.1,55.46,-0.958959652838992,0.0,0.0,0.0,0.0,0.0,1.1236490623231092,1.3837742793266758,-0.6222271890527815,0.34764263172619236
17,1977,3035.0,5143.0,0.0,0.0,7647.0,0.0,0.0,0.0,0.0,0.0,48.89,9.47,14.4,57.2,-0.9243852143805713,0.0,0.0,0.0,0.0,0.0,0.7668522254592117,0.817268237472145,-0.5705367122203439,0.4183513291903966
18,1978,2827.0,5354.0,0.0,0.0,8449.0,0.0,0.0,0.0,0.0,0.0,35.99,-10.53,14.95,55.24,-0.8835476596771052,0.0,0.0,0.0,0.0,0.0,-1.3739287957241741,-1.4442329276158024,-0.5486676643296972,0.33870245158704015
19,1979,2789.0,4497.0,0.0,0.0,9335.0,0.0,0.0,0.0,0.0,0.0,50.38,9.24,25.1,82.51,-0.8384328548550717,0.0,0.0,0.0,0.0,0.0,1.0141207310067504,0.7912609740736336,-0.14508432598412588,1.4468784170174116
20,1980,2417.0,4404.0,0.0,0.0,10263.0,0.0,0.0,0.0,0.0,0.0,37.39,-6.79,37.42,109.51,-0.7911794249737544,0.0,0.0,0.0,0.0,0.0,-1.141595971719776,-1.0213322097443562,0.34478234676636055,2.5440823431860964
21,1981,2854.0,5212.0,0.0,0.0,11255.0,0.0,0.0,0.0,0.0,0.0,48.38,10.1,35.75,94.83,-0.7406671378592428,0.0,0.0,0.0,0.0,0.0,0.6822166967147526,0.8885055241724152,0.2783799649893059,1.947528504809937
