State,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
MO,1960,726.0,0.0,0.0,0.0,10251.100000000091,61026.8873,0.0,0.0,75.525,435.0,34.92,-4.13,2.91,23.72
MO,1961,1240.0,0.0,0.0,0.0,11336.000000000466,62040.48266,0.0,0.0,90.63,417.6,47.82,14.78,2.85,22.96
MO,1962,881.0,0.0,0.0,0.0,12420.90000000037,61153.58672000001,0.0,0.0,92.644,319.0,34.96,-5.41,2.85,22.69
MO,1963,377.0,0.0,0.0,0.0,13613.0,67045.10975,0.0,0.0,100.7,307.4,28.99,-17.6,2.91,22.9
MO,1964,319.0,0.0,0.0,0.0,14454.0,68692.20221,0.0,0.0,108.756,377.0,37.56,-7.73,3.0,23.3
MO,1965,802.0,0.0,0.0,0.0,15625.0,75259.45547999999,0.0,0.0,84.588,423.4,43.42,6.86,3.01,23.0
MO,1966,596.0,0.0,0.0,0.0,16843.0,75639.55374,0.0,0.0,0.0,562.6,34.65,-5.09,3.1,23.01
MO,1967,641.0,0.0,0.0,0.0,17843.0,78046.84272,0.0,0.0,121.847,435.0,42.74,7.03,3.12,22.53
MO,1968,1334.0,0.0,0.0,0.0,19711.0,67678.60685,0.0,0.0,14.098,377.0,41.17,4.04,3.18,21.99
MO,1969,1435.0,0.0,0.0,0.0,21095.0,69705.79757000001,0.0,0.0,126.882,388.6,43.62,9.24,3.32,21.81
MO,1970,927.0,0.0,0.0,0.0,22230.0,93905.38679,0.0,0.0,87.609,382.8,43.8,6.62,3.39,21.04
MO,1971,703.0,0.0,0.0,0.0,24245.0,85226.47652000001,0.0,0.0,22.154,382.8,33.88,-8.49,3.6,21.42
MO,1972,612.0,0.0,0.0,0.0,26414.0,96101.51007,0.0,0.0,9.063,348.0,38.5,-0.69,3.6,20.74
MO,1973,2008.0,0.0,0.0,0.0,29275.0,90590.6472,0.0,0.0,32.835,348.0,57.14,22.38,4.75,25.56
MO,1974,1713.0,0.0,0.0,0.0,30468.0,89431.42647,0.0,0.0,33.165,324.8,42.66,5.48,9.35,45.6
MO,1975,1280.0,0.0,0.0,0.0,33001.0,107200.14267999999,0.0,0.0,30.18,330.6,41.83,3.4,12.21,54.61
MO,1976,740.0,0.0,0.0,0.0,37211.0,116535.32775,0.0,0.0,29.087,353.8,28.56,-12.09,13.1,55.46
MO,1977,454.0,0.0,0.0,0.0,41150.0,124884.17742,0.0,0.0,20.04,348.0,44.31,2.66,14.4,57.2
MO,1978,1017.0,0.0,0.0,0.0,46176.0,111454.28635,0.0,0.0,0.0,313.2,40.35,1.89,14.95,55.24
MO,1979,1100.0,0.0,0.0,0.0,50601.0,127371.633,0.0,0.0,0.0,527.8,40.33,4.4,25.1,82.51
MO,1980,558.0,0.0,0.0,0.0,52420.0,108670.71262,0.0,0.0,0.0,754.0,28.84,-17.86,37.42,109.51
MO,1981,669.0,0.0,0.0,0.0,57763.0,98846.70016000001,0.0,0.0,0.0,1310.8,44.21,4.22,35.75,94.83
MO,1982,1656.0,0.0,0.0,0.0,60699.0,109485.37264000002,0.0,0.0,0.0,1171.6,50.81,18.26,31.83,79.5
MO,1983,1716.0,0.0,0.0,0.0,65538.0,101739.6639,0.0,0.0,0.0,1560.2,41.18,-0.02,29.08,70.34
MO,1984,1587.0,920.0,0.0,0.0,74539.0,137915.74215,0.0,0.0,4.0680000000000005,1653.0,46.3,10.13,28.75,66.67
MO,1985,2993.0,8030.0,0.0,0.0,77912.0,113903.32895999998,0.0,0.0,4.0680000000000005,1409.4,51.76,16.8,26.92,60.27
MO,1986,1996.0,7170.0,0.0,0.0,83330.0,96699.69989,0.0,0.0,4.044,638.0,42.43,3.32,14.44,31.72
MO,1987,1447.0,6284.0,0.0,0.0,88912.0,88550.26924,0.0,0.0,4.044,632.2,40.29,-1.08,17.75,37.62
MO,1988,1511.0,8935.0,0.0,0.0,95760.0,88034.98032999998,0.0,0.0,4.024,910.6,34.21,-9.15,14.87,30.33
MO,1989,1094.0,8344.0,0.0,0.0,101412.0,70848.8208,0.0,0.0,4.032,771.4,33.32,-3.93,18.33,35.6
MO,1990,2192.0,7998.0,0.0,0.0,103566.0,55957.39471,0.0,0.0,7.077000000000001,846.8,50.45,12.66,23.19,42.62
MO,1991,1119.0,9979.0,0.0,0.0,109162.0,48499.5456,0.0,0.0,15.12996,864.2,39.12,-4.0,20.2,35.73
MO,1992,1481.0,8084.0,0.0,0.0,115288.0,61053.734039999996,0.0,0.0,27.04598,829.4,41.75,6.21,19.25,33.04
MO,1993,3184.0,8381.0,0.0,0.0,118906.0,14137.83527,0.0,0.0,13.63432,783.0,56.61,24.51,16.75,27.94
MO,1994,1916.0,10006.0,0.0,0.0,130567.0,19037.683999999997,0.0,0.0,8.12647,713.4,42.08,2.65,15.66,25.44
MO,1995,1919.0,8242.0,0.0,0.0,140060.0,12531.80648,0.0,0.0,16.59435,696.0,42.05,3.23,16.75,26.48
MO,1996,1314.0,8890.0,0.0,0.0,148257.0,15710.8658,0.0,0.0,24.96462,667.0,43.68,8.5,20.46,31.4
MO,1997,1593.0,8955.0,0.0,0.0,158308.0,8754.7523,0.0,0.0,4.95506,661.2,39.81,2.44,18.64,27.98
MO,1998,2347.0,8517.0,0.0,0.0,170692.0,8253.214320000001,0.0,0.0,0.0,539.4,49.87,13.07,11.91,17.6
MO,1999,1853.0,8587.0,0.0,0.0,178605.0,8621.03256,0.0,0.0,0.0,533.6,36.85,-7.35,16.56,23.89
MO,2000,600.0,9992.0,0.0,0.0,188736.0,9475.11276,1394.29252,231.00298999999998,0.0,545.2,35.7,-8.41,27.39,38.29
MO,2001,1104.0,8384.0,0.0,0.0,192227.0,8022.170999999998,3501.32276,580.8451299999998,0.0,527.8,43.61,6.28,23.0,31.3
