Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,0.0,0.0,0.0,0.0,3344.5,0.0,0.0,0.0,179775.7687,299703.4,48.6,-5.21,2.91,23.72,-1.2332978075176717,-0.6813153740441577,-0.1405291158714028,-0.14040879378998689,1.6848793528803772,1.1142885954433541,-1.0456432784262004,-0.7779650655746637,-1.0274010036085814,-0.9421815392587725
1,1961,0.0,0.0,0.0,0.0,3669.3999999999073,0.0,0.0,0.0,179843.51893,317190.4,73.48,19.48,2.85,22.96,-1.224237417290664,-0.6813153740441577,-0.1405291158714028,-0.14040879378998689,1.6868052052718587,1.2719248883211718,1.9142677593618271,2.0637999576118493,-1.0297867179239248,-0.9730657979212983
2,1962,0.0,0.0,0.0,0.0,3994.2999999999297,0.0,0.0,0.0,177475.38765999995,323135.4,47.54,-9.92,2.85,22.69,-1.215177027063653,-0.6813153740441577,-0.1405291158714028,-0.14040879378998689,1.6194892526961777,1.3255159994985393,-1.17174881299434,-1.3200757686612767,-1.0297867179239248,-0.9840378371829851
3,1963,0.0,0.0,0.0,0.0,4425.0,0.0,0.0,0.0,184287.93432,339990.2,41.01,-14.62,2.91,22.9,-1.2031662235217202,-0.6813153740441577,-0.1405291158714028,-0.14040879378998689,1.8131411307376213,1.4774533351877392,-1.9486064929282556,-1.8610354936097016,-1.0274010036085814,-0.97550402886834
4,1964,0.0,0.0,0.0,0.0,4524.0,0.0,0.0,0.0,189089.86249,329306.6,62.9,4.95,3.0,23.3,-1.2004054397960384,-0.6813153740441577,-0.1405291158714028,-0.14040879378998689,1.9496396319222877,1.3811461871011916,0.6555917633892651,0.39142872282448465,-1.0238224321355667,-0.959249155888063
5,1965,0.0,0.0,0.0,0.0,4925.0,0.0,0.0,0.0,173883.58291,325861.4,44.57,-12.49,3.01,23.0,-1.189222871371812,-0.6813153740441577,-0.1405291158714028,-0.14040879378998689,1.5173894403778774,1.3500894846237712,-1.5250822447560135,-1.6158771501756282,-1.0234248130830095,-0.9714403106232706
6,1966,0.0,0.0,0.0,0.0,5319.0,0.0,0.0,0.0,163280.15004,320316.6,53.59,-1.91,3.1,23.01,-1.1782355098776844,-0.6813153740441577,-0.1405291158714028,-0.14040879378998689,1.2159787064128118,1.300105970198831,-0.45199552607241167,-0.39814227997257806,-1.0198462416099945,-0.9710339387987637
7,1967,0.0,0.0,0.0,0.0,5652.0,0.0,0.0,0.0,145399.29966,331452.6,52.06,0.28,3.12,22.53,-1.1689492373458457,-0.6813153740441577,-0.1405291158714028,-0.14040879378998689,0.7077017829832645,1.4004912711359487,-0.6340157787981225,-0.14607806770937584,-1.01905100350488,-0.9905397863750959
8,1968,0.0,0.0,0.0,0.0,6267.0,0.0,0.0,0.0,140765.18360999998,340506.4,54.71,0.52,3.18,21.99,-1.1517989142014586,-0.6813153740441577,-0.1405291158714028,-0.14040879378998689,0.5759734703665415,1.482106612158262,-0.3187519423777741,-0.11845459239286053,-1.016665289189537,-1.0124838648984698
9,1969,0.0,0.0,0.0,0.0,6801.0,0.0,0.0,0.0,136786.68137,372841.4,50.91,-4.95,3.32,21.81,-1.1369074141053568,-0.6813153740441577,-0.1405291158714028,-0.14040879378998689,0.46288148450290567,1.7735899729522366,-0.7708283870560103,-0.7480396339817721,-1.0110986224537357,-1.0197985577395943
