Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,5801.0,0.0,0.0,0.0,1626.8999999999942,5586.82464,0.0,0.0,38716.26094,175392.0,13.69,-11.32,2.91,23.72,-1.17630798389526,-1.830818922153946,-0.7286254465982934,-0.7328342069983284,-1.0108918787657317,0.5229966145818012,-2.157482979211548,-1.0623358962778202,-1.0274010036085814,-0.9421815392587725
1,1961,6498.0,0.0,0.0,0.0,1737.0,6622.08288,0.0,0.0,39275.83823,179254.8,16.95,-13.52,2.85,22.96,-1.1682109017305322,-1.8271685771226434,-0.7286254465982934,-0.7328342069983284,-0.9905666555768985,0.6032972761896843,-0.7945465869408571,-1.264791756313647,-1.0297867179239248,-0.9730657979212983
2,1962,6410.0,0.0,0.0,0.0,1847.0999999999767,6818.4249599999985,0.0,0.0,34704.21918,183558.4,20.26,6.74,2.85,22.69,-1.160113819565807,-1.826476270306362,-0.7286254465982934,-0.7328342069983284,-1.1566191012105866,0.6927613766597287,0.5892937377266246,0.5996426638344687,-1.0297867179239248,-0.9840378371829851
3,1963,6011.0,0.0,0.0,0.0,1974.0,6122.30304,0.0,0.0,34786.47588,179046.0,18.6,1.66,2.91,22.9,-1.1507812153268961,-1.8289308126549961,-0.7286254465982934,-0.7328342069983284,-1.1536313355950862,0.5989566998865558,-0.10471681784679476,0.13215367793355912,-1.0274010036085814,-0.97550402886834
4,1964,6820.0,0.0,0.0,0.0,2024.0,6175.85088,0.0,0.0,29181.43457,177752.6,22.09,9.18,3.0,23.3,-1.1471040662965932,-1.8287420017051015,-0.7286254465982934,-0.7328342069983284,-1.3572202189258948,0.5720692411199523,1.3543776634491285,0.8241846176923859,-1.0238224321355667,-0.959249155888063
5,1965,8389.0,0.0,0.0,0.0,2178.0,6497.13792,0.0,0.0,32560.9107,190112.4,20.51,17.51,3.01,23.0,-1.1357784472832602,-1.8276091360057316,-0.7286254465982934,-0.7328342069983284,-1.2344693356590197,0.8290072439523836,0.6938133997105734,1.5907561241007673,-1.0234248130830095,-0.9714403106232706
6,1966,7940.0,0.0,0.0,0.0,2349.0,7478.84832,0.0,0.0,35549.95712,205204.0,16.61,-0.86,3.1,23.01,-1.123202597599624,-1.8241476019243241,-0.7286254465982934,-0.7328342069983284,-1.1258998195368004,1.1427344534174173,-0.9366933272390273,-0.09975030719838818,-1.0198462416099945,-0.9710339387987637
7,1967,8705.0,0.0,0.0,0.0,2362.0,6622.08288,0.0,0.0,29966.92817,202762.2,20.74,9.79,3.12,22.53,-1.1222465388517453,-1.8271685771226434,-0.7286254465982934,-0.7328342069983284,-1.3286891598234067,1.0919738249836055,0.7899714887358049,0.8803201061568652,-1.01905100350488,-0.9905397863750959
8,1968,8925.0,0.0,0.0,0.0,2531.0,9263.77632,0.0,0.0,22374.98197,281068.0,20.08,11.16,3.18,21.99,-1.1098177751293212,-1.8178539035944923,-0.7286254465982934,-0.7328342069983284,-1.6044473146130944,2.7198105102208916,0.5140395810981803,1.0063948917246304,-1.016665289189537,-1.0124838648984698
9,1969,9449.0,0.0,0.0,0.0,2761.0,18384.7584,0.0,0.0,47765.6569,254933.2,17.74,5.76,3.32,21.81,-1.0929028895899275,-1.7856931051290517,-0.7286254465982934,-0.7328342069983284,-0.6821955647835731,2.1765150429459337,-0.46426445507157954,0.5094577807276003,-1.0110986224537357,-1.0197985577395943
