Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,4998.0,0.0,0.0,0.0,8999.200000000186,0.0,0.0,0.0,0.0,0.0,50.26,5.07,2.91,23.72,-1.1203655857117103,0.0,0.0,0.0,0.0,0.0,0.14564523428900789,0.6178585375918664,-1.0274010036085814,-0.9421815392587725
1,1961,4721.0,0.0,0.0,0.0,10150.799999999814,0.0,0.0,0.0,0.0,0.0,51.27,5.89,2.85,22.96,-1.1132839574526676,0.0,0.0,0.0,0.0,0.0,0.3289771637360032,0.7158928282371034,-1.0297867179239248,-0.9730657979212983
2,1962,5491.0,0.0,0.0,0.0,11302.399999999907,0.0,0.0,0.0,0.0,0.0,53.01,7.94,2.85,22.69,-1.1062023291936223,0.0,0.0,0.0,0.0,0.0,0.6448163293179531,0.9609785548501966,-1.0297867179239248,-0.9840378371829851
3,1963,4363.0,0.0,0.0,0.0,12639.0,0.0,0.0,0.0,0.0,0.0,43.59,-4.48,2.91,22.9,-1.0979830652729554,0.0,0.0,0.0,0.0,0.0,-1.0650715671084692,-0.5238822863862013,-1.0274010036085814,-0.97550402886834
4,1964,5989.0,0.0,0.0,0.0,13482.0,0.0,0.0,0.0,0.0,0.0,57.3,10.12,3.0,23.3,-1.0927991362851344,0.0,0.0,0.0,0.0,0.0,1.4235232375631075,1.2216063031509492,-1.0238224321355667,-0.959249155888063
5,1965,5385.0,0.0,0.0,0.0,14544.0,0.0,0.0,0.0,0.0,0.0,44.17,-3.89,3.01,23.0,-1.0862684926492316,0.0,0.0,0.0,0.0,0.0,-0.9597918452478192,-0.4533454187268232,-1.0234248130830095,-0.9714403106232706
6,1966,4379.0,0.0,0.0,0.0,15966.0,0.0,0.0,0.0,0.0,0.0,47.98,2.35,3.1,23.01,-1.077524071509633,0.0,0.0,0.0,0.0,0.0,-0.2682129826804451,0.2926716222808356,-1.0198462416099945,-0.9710339387987637
7,1967,5036.0,0.0,0.0,0.0,17155.0,0.0,0.0,0.0,0.0,0.0,47.61,3.16,3.12,22.53,-1.070212456365482,0.0,0.0,0.0,0.0,0.0,-0.33537418455706636,0.3895103727962529,-1.01905100350488,-0.9905397863750959
8,1968,4722.0,0.0,0.0,0.0,18962.0,0.0,0.0,0.0,0.0,0.0,41.67,-7.71,3.18,21.99,-1.0591005231733197,0.0,0.0,0.0,0.0,0.0,-1.4135837498195876,-0.9100417483180503,-1.016665289189537,-1.0124838648984698
9,1969,4955.0,0.0,0.0,0.0,20882.0,0.0,0.0,0.0,0.0,0.0,50.43,6.46,3.32,21.81,-1.0472937098202753,0.0,0.0,0.0,0.0,0.0,0.17650308379988844,0.7840386156368415,-1.0110986224537357,-1.0197985577395943
10,1970,4374.0,0.0,0.0,0.0,22840.0,0.0,0.0,0.0,0.0,0.0,43.81,-7.2,3.39,21.04,-1.0352532199529518,0.0,0.0,0.0,0.0,0.0,-1.0251378795061539,-0.849069201697232,-1.0083152890858353,-1.0510891882266271
11,1971,5917.0,0.0,0.0,0.0,25035.0,0.0,0.0,0.0,0.0,0.0,56.41,10.43,3.6,21.42,-1.0217553265623618,0.0,0.0,0.0,0.0,0.0,1.2619733195355578,1.2586680471753682,-0.9999652889821338,-1.035647058895364
12,1972,6438.0,0.0,0.0,0.0,28005.0,0.0,0.0,0.0,0.0,0.0,53.39,9.16,3.6,20.74,-1.003491662156871,0.0,0.0,0.0,0.0,0.0,0.7137926988128623,1.1068344506882326,-0.9999652889821338,-1.0632803429618347
13,1973,7113.0,0.0,0.0,0.0,31755.0,0.0,0.0,0.0,0.0,0.0,52.29,3.42,4.75,25.56,-0.9804314798267061,0.0,0.0,0.0,0.0,0.0,0.514124260801284,0.42059441617157195,-0.9542390979380544,-0.8674091235494992
14,1974,6890.0,0.0,0.0,0.0,33607.0,0.0,0.0,0.0,0.0,0.0,52.28,6.47,9.35,45.6,-0.9690428244465819,0.0,0.0,0.0,0.0,0.0,0.5123090931829973,0.7852341557666616,-0.7713343337617363,-0.05303998723763094
15,1975,7055.0,1405.0,0.0,0.0,35998.0,0.0,0.0,0.0,0.0,0.0,57.54,10.84,12.21,54.61,-0.9543396521928686,0.0,0.0,0.0,0.0,0.0,1.4670872604019978,1.3076851924979869,-0.6576152847303735,0.3131010266431041
16,1976,5652.0,2511.0,0.0,0.0,40454.0,0.0,0.0,0.0,0.0,0.0,45.95,-1.51,13.1,55.46,-0.9269380062026779,0.0,0.0,0.0,0.0,0.0,-0.63669200919272,-0.16880686782967128,-0.6222271890527815,0.34764263172619236
17,1977,5287.0,5664.0,0.0,0.0,43822.0,0.0,0.0,0.0,0.0,0.0,48.81,-2.9,14.4,57.2,-0.9062268877792122,0.0,0.0,0.0,0.0,0.0,-0.11755407036261702,-0.33498694587464656,-0.5705367122203439,0.4183513291903966
18,1978,5482.0,9917.0,0.0,0.0,49867.0,0.0,0.0,0.0,0.0,0.0,47.85,-0.42,14.95,55.24,-0.8690538738629862,0.0,0.0,0.0,0.0,0.0,-0.29181016171817625,-0.038492993679294984,-0.5486676643296972,0.33870245158704015
19,1979,7917.0,6809.0,0.0,0.0,54515.0,0.0,0.0,0.0,0.0,0.0,58.73,14.84,25.1,82.51,-0.8404715465374909,0.0,0.0,0.0,0.0,0.0,1.683092206978159,1.7859012444259732,-0.14508432598412588,1.4468784170174116
20,1980,5486.0,5775.0,0.0,0.0,58791.0,0.0,0.0,0.0,0.0,0.0,44.31,-6.95,37.42,109.51,-0.814176789299148,0.0,0.0,0.0,0.0,0.0,-0.9343794985918001,-0.8191806984517328,0.34478234676636055,2.5440823431860964
21,1981,2930.0,6246.0,0.0,0.0,65869.0,0.0,0.0,0.0,0.0,0.0,40.76,-8.52,35.75,94.83,-0.7706514638237059,0.0,0.0,0.0,0.0,0.0,-1.578764003083712,-1.0068804988334674,0.2783799649893059,1.947528504809937
22,1982,5408.0,9126.0,0.0,0.0,68971.0,0.0,0.0,0.0,0.0,0.0,52.17,6.13,31.83,79.5,-0.7515760810001934,0.0,0.0,0.0,0.0,0.0,0.4923422493818396,0.7445857913527827,0.12251329638687834,1.3245604978408285
23,1983,6142.0,12363.0,0.0,0.0,77543.0,0.0,0.0,0.0,0.0,0.0,52.87,3.69,29.08,70.34,-0.6988635788844134,0.0,0.0,0.0,0.0,0.0,0.619403982661934,0.45287399967671105,0.013168056933644765,0.9523239065924898
24,1984,6369.0,20232.0,0.0,0.0,88151.0,0.0,0.0,0.0,0.0,0.0,50.95,3.65,28.75,66.67,-0.6336309351088425,0.0,0.0,0.0,0.0,0.0,0.27089179995081686,0.44809183915743117,4.6628199256804146e-05,0.80318544699845
25,1985,4094.0,19303.0,0.0,0.0,96535.0,0.0,0.0,0.0,0.0,0.0,47.0,-4.05,26.92,60.27,-0.5820745168005481,0.0,0.0,0.0,0.0,0.0,-0.44609940927257774,-0.4724740608039426,-0.07271765841871311,0.543107479314021
26,1986,2521.0,20286.0,0.0,0.0,104785.0,0.0,0.0,0.0,0.0,0.0,38.9,-18.63,14.44,31.72,-0.531342115674185,0.0,0.0,0.0,0.0,0.0,-1.9163851800851077,-2.215571570081453,-0.568946236010115,-0.6170840796532363
27,1987,5101.0,28600.0,0.0,0.0,113262.0,0.0,0.0,0.0,0.0,0.0,47.99,-4.45,17.75,37.62,-0.4792138048441026,0.0,0.0,0.0,0.0,0.0,-0.2663978150621571,-0.5202956659967414,-0.43733432961367746,-0.37732470319415345
28,1988,2893.0,29146.0,0.0,0.0,124303.0,0.0,0.0,0.0,0.0,0.0,39.91,-9.43,14.87,30.33,-0.41131847868214194,0.0,0.0,0.0,0.0,0.0,-1.7330532506381136,-1.1156746506470843,-0.5518486167501548,-0.6735697632596982
29,1989,6996.0,29212.0,0.0,0.0,133866.0,0.0,0.0,0.0,0.0,0.0,60.57,17.08,18.33,35.6,-0.3525119390492437,0.0,0.0,0.0,0.0,0.0,2.017083048742981,2.053702233505645,-0.4142724245653592,-0.45941181174455115
30,1990,6819.0,25905.0,0.0,0.0,139658.0,0.0,0.0,0.0,0.0,0.0,48.6,-6.03,23.19,42.62,-0.3168947187675594,0.0,0.0,0.0,0.0,0.0,-0.1556725903466457,-0.709191006508296,-0.22102956502255355,-0.17413879094069332
31,1991,5850.0,30312.0,0.0,0.0,146367.0,0.0,0.0,0.0,0.0,0.0,47.87,-4.64,20.2,35.73,-0.2756385152334055,0.0,0.0,0.0,0.0,0.0,-0.2881798264816028,-0.5430109284633207,-0.3399176617371603,-0.45412897802596136
32,1992,5768.0,22754.0,0.0,0.0,159337.0,0.0,0.0,0.0,0.0,0.0,52.6,7.61,19.25,33.04,-0.19588103128080794,0.0,0.0,0.0,0.0,0.0,0.5703944569681837,0.9215257305661377,-0.37769147173009554,-0.5634429988183228
33,1993,4987.0,23759.0,0.0,0.0,168006.0,0.0,0.0,0.0,0.0,0.0,46.14,-8.86,16.75,27.94,-0.14257203911542105,0.0,0.0,0.0,0.0,0.0,-0.602203824445266,-1.047528863247346,-0.4770962348693988,-0.770692629316852
34,1994,7192.0,32346.0,0.0,0.0,181288.0,0.0,0.0,0.0,0.0,0.0,50.11,2.16,15.66,25.44,-0.06089594799295379,0.0,0.0,0.0,0.0,0.0,0.11841772001470204,0.26995635981425625,-0.520436711598135,-0.8722855854435821
35,1995,5521.0,35910.0,0.0,0.0,193467.0,0.0,0.0,0.0,0.0,0.0,54.35,6.14,16.75,26.48,0.013997374833467592,0.0,0.0,0.0,0.0,0.0,0.8880487901684216,0.7457813314826026,-0.4770962348693988,-0.8300229156948624
