Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,1060.0,0.0,0.0,0.0,1374.5,33073.68725,0.0,0.0,24950.12954,127553.6,14.78,-7.55,2.91,23.72,-1.0186340182951203,-1.6802922749113678,-0.3176322790486118,-0.3132528007749888,-2.006702583690241,-0.9443085183497797,-1.209013780358695,-1.1056416885268248,-1.0274010036085814,-0.9421815392587725
1,1961,1407.0,0.0,0.0,0.0,1450.0,35706.483739999996,0.0,0.0,25740.26606,137181.6,13.09,-14.5,2.85,22.96,-1.0133506287098655,-1.6623674151885035,-0.3176322790486118,-0.3132528007749888,-1.9638735262125355,-0.8662804918389517,-1.8122140577501882,-1.7152568874598912,-1.0297867179239248,-0.9730657979212983
2,1962,1293.0,0.0,0.0,0.0,1525.5,35798.17317,0.0,0.0,32213.75089,146049.8,21.21,11.5,2.85,22.69,-1.0080672391246104,-1.6617431663424336,-0.3176322790486118,-0.3132528007749888,-1.612980678144807,-0.7944100987455448,1.0860026596574615,0.5653179574695651,-1.0297867179239248,-0.9840378371829851
3,1963,1483.0,0.0,0.0,0.0,1624.0,31423.277510000004,0.0,0.0,42001.45504,145174.0,17.42,-1.92,2.91,22.9,-1.0011743401292776,-1.6915287541406263,-0.3176322790486118,-0.3132528007749888,-1.0824417990975184,-0.8015078288679152,-0.26673642396014796,-0.611809520182485,-1.0274010036085814,-0.97550402886834
4,1964,1878.0,0.0,0.0,0.0,1591.0,34540.71813,0.0,0.0,44437.17574,149239.8,19.49,2.0,3.0,23.3,-1.003483636239389,-1.6703042933742496,-0.3176322790486118,-0.3132528007749888,-0.9504144605055284,-0.7685574393594271,0.47209468503416535,-0.2679690051008131,-1.0238224321355667,-0.959249155888063
5,1965,2497.0,0.0,0.0,0.0,1825.0,35785.07468,0.0,0.0,45656.3167,152830.0,20.91,15.35,3.01,23.0,-0.9871086274585987,-1.661832344749015,-0.3176322790486118,-0.3132528007749888,-0.8843313762186951,-0.7394614463412328,0.9789256873394445,0.9030184633533499,-1.0234248130830095,-0.9714403106232706
6,1966,1929.0,0.0,0.0,0.0,1846.0,46407.95007,0.0,0.0,59657.22859,157330.8,16.7,9.0,3.1,23.01,-0.9856390753885278,-1.5895086570114874,-0.3176322790486118,-0.3132528007749888,-0.12541713178268493,-0.7029856941891832,-0.5237211575233887,0.34603191468788663,-1.0198462416099945,-0.9710339387987637
7,1967,2771.0,0.0,0.0,0.0,1874.0,54437.32444,0.0,0.0,51816.05201,146827.0,14.43,0.2,3.12,22.53,-0.9836796726284331,-1.5348422937770796,-0.3176322790486118,-0.3132528007749888,-0.5504452047005869,-0.7881114508223814,-1.3339369147297142,-0.4258549559036216,-1.01905100350488,-0.9905397863750959
8,1968,2499.0,0.0,0.0,0.0,1958.0,58772.924629999994,0.0,0.0,52534.47437,145232.0,18.93,4.51,3.18,21.99,-0.9778014643481494,-1.5053242411986312,-0.3176322790486118,-0.3132528007749888,-0.511503386709806,-0.8010377805154403,0.2722176700405349,-0.047805818148007946,-1.016665289189537,-1.0124838648984698
9,1969,2939.0,0.0,0.0,0.0,2178.0,61615.29696,0.0,0.0,43011.85653000001,131677.4,16.9,4.86,3.32,21.81,-0.9624061569474063,-1.485972526970464,-0.3176322790486118,-0.3132528007749888,-1.0276733604854547,-0.9108880804888168,-0.45233650931137787,-0.017105772158572913,-1.0110986224537357,-1.0197985577395943
10,1970,2815.0,0.0,0.0,0.0,2294.0,73862.38511,0.0,0.0,44679.21108,127588.4,19.06,8.99,3.39,21.04,-0.9542886312270145,-1.4025907168168406,-0.3176322790486118,-0.3132528007749888,-0.9372950245269255,-0.9440264893382948,0.31861769137834167,0.3451547705167599,-1.0083152890858353,-1.0510891882266271
11,1971,3235.0,0.0,0.0,0.0,2632.0,79573.32675,0.0,0.0,42321.54877,125587.4,19.84,9.27,3.6,21.42,-0.9306358407658728,-1.3637089315473436,-0.3176322790486118,-0.3132528007749888,-1.06509123699412,-0.9602431574986777,0.5970178194051853,0.36971480730830786,-0.9999652889821338,-1.035647058895364
12,1972,3095.0,0.0,0.0,0.0,3078.0,86869.18568,0.0,0.0,40103.94125,119619.2,17.59,11.19,3.6,20.74,-0.8994253539443663,-1.3140365590814953,-0.3176322790486118,-0.3132528007749888,-1.1852958314318907,-1.0086111329683414,-0.20605947297993923,0.5381264881646369,-0.9999652889821338,-1.0632803429618347
13,1973,2382.0,0.0,0.0,0.0,4404.0,93710.06922,0.0,0.0,34344.3429,117363.0,16.8,-1.83,4.75,25.56,-0.8066336375198873,-1.2674617940737554,-0.3176322790486118,-0.3132528007749888,-1.4974927272045948,-1.0268960138796137,-0.4880288334173826,-0.6039152226423445,-0.9542390979380544,-0.8674091235494992
