Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,1373.0,0.0,0.0,0.0,1095.0999999999767,0.0,0.0,0.0,0.0,0.0,45.7,3.42,2.91,23.72,-1.148698493824619,0.0,0.0,0.0,0.0,0.0,-0.0703433018580652,0.14079350775342556,-1.0274010036085814,-0.9421815392587725
1,1961,1189.0,0.0,0.0,0.0,1274.5999999999767,0.0,0.0,0.0,0.0,0.0,38.35,-8.15,2.85,22.96,-1.1416437320627684,0.0,0.0,0.0,0.0,0.0,-1.2378193569842102,-1.2113072739089084,-1.0297867179239248,-0.9730657979212983
2,1962,1358.0,0.0,0.0,0.0,1454.0999999999767,0.0,0.0,0.0,0.0,0.0,45.15,4.01,2.85,22.69,-1.1345889703009175,0.0,0.0,0.0,0.0,0.0,-0.15770545564301547,0.20974246723318155,-1.0297867179239248,-0.9840378371829851
3,1963,1289.0,0.0,0.0,0.0,1651.0,0.0,0.0,0.0,0.0,0.0,37.17,-12.41,2.91,22.9,-1.1268503486245467,0.0,0.0,0.0,0.0,0.0,-1.4252508869228293,-1.709142133881384,-1.0274010036085814,-0.97550402886834
4,1964,1152.0,0.0,0.0,0.0,1812.0,0.0,0.0,0.0,0.0,0.0,35.88,-12.85,3.0,23.3,-1.1205226793005467,0.0,0.0,0.0,0.0,0.0,-1.6301548476184382,-1.7605616968832358,-1.0238224321355667,-0.959249155888063
5,1965,1053.0,0.0,0.0,0.0,1961.0,0.0,0.0,0.0,0.0,0.0,32.86,-15.11,3.01,23.0,-1.1146666375038015,0.0,0.0,0.0,0.0,0.0,-2.1098524920376165,-2.024671270483657,-1.0234248130830095,-0.9714403106232706
6,1966,1227.0,0.0,0.0,0.0,2169.0,0.0,0.0,0.0,0.0,0.0,38.57,-5.65,3.1,23.01,-1.106491760364721,0.0,0.0,0.0,0.0,0.0,-1.2028744954702306,-0.9191506659438405,-1.0198462416099945,-0.9710339387987637
7,1967,1202.0,0.0,0.0,0.0,2370.0,0.0,0.0,0.0,0.0,0.0,41.6,-2.29,3.12,22.53,-1.0985919992832056,0.0,0.0,0.0,0.0,0.0,-0.7215884482549625,-0.5264921848387893,-1.01905100350488,-0.9905397863750959
8,1968,1205.0,0.0,0.0,0.0,2596.0,0.0,0.0,0.0,0.0,0.0,44.7,-2.42,3.18,21.99,-1.0897096808532432,0.0,0.0,0.0,0.0,0.0,-0.22918358146706447,-0.5416843284529729,-1.016665289189537,-1.0124838648984698
9,1969,1439.0,0.0,0.0,0.0,2817.0,0.0,0.0,0.0,0.0,0.0,50.34,10.76,3.32,21.81,-1.08102387389297,0.0,0.0,0.0,0.0,0.0,0.6666755955276916,0.9985653087388646,-1.0110986224537357,-1.0197985577395943
10,1970,1239.0,0.0,0.0,0.0,3050.0,0.0,0.0,0.0,0.0,0.0,40.85,-5.73,3.39,21.04,-1.0718664394054422,0.0,0.0,0.0,0.0,0.0,-0.840718657961712,-0.9284996773987227,-1.0083152890858353,-1.0510891882266271
11,1971,1093.0,0.0,0.0,0.0,3332.0,0.0,0.0,0.0,0.0,0.0,40.18,-5.06,3.6,21.42,-1.060783192514958,0.0,0.0,0.0,0.0,0.0,-0.9471416452997418,-0.8502017064640844,-0.9999652889821338,-1.035647058895364
12,1972,1270.0,0.0,0.0,0.0,3626.0,0.0,0.0,0.0,0.0,0.0,49.79,10.87,3.6,20.74,-1.0492283180972193,0.0,0.0,0.0,0.0,0.0,0.5793134417427414,1.0114201994893275,-0.9999652889821338,-1.0632803429618347
