Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,45.0,0.0,0.0,0.0,17249.5,0.0,0.0,0.0,0.0,0.0,46.22,3.19,2.91,23.72,-1.196605679706094,0.0,0.0,0.0,0.0,0.0,0.03867338556403951,0.3986616491842671,-1.0274010036085814,-0.9421815392587725
1,1961,19.0,0.0,0.0,0.0,19192.400000000373,0.0,0.0,0.0,0.0,0.0,44.89,0.12,2.85,22.96,-1.186475487918065,0.0,0.0,0.0,0.0,0.0,-0.1655137086439521,0.021059036157850274,-1.0297867179239248,-0.9730657979212983
2,1962,23.0,0.0,0.0,0.0,21135.30000000028,0.0,0.0,0.0,0.0,0.0,42.07,-2.25,2.85,22.69,-1.1763452961300387,0.0,0.0,0.0,0.0,0.0,-0.5984517580172882,-0.27044526119479073,-1.0297867179239248,-0.9840378371829851
3,1963,16.0,0.0,0.0,0.0,23388.0,0.0,0.0,0.0,0.0,0.0,34.53,-14.12,2.91,22.9,-1.1645998213032924,0.0,0.0,0.0,0.0,0.0,-1.75602370563252,-1.7304266998343893,-1.0274010036085814,-0.97550402886834
4,1964,19.0,0.0,0.0,0.0,24774.0,0.0,0.0,0.0,0.0,0.0,36.44,-12.97,3.0,23.3,-1.1573732806587893,0.0,0.0,0.0,0.0,0.0,-1.4627926154541264,-1.5889794669417578,-1.0238224321355667,-0.959249155888063
5,1965,-31.0,0.0,0.0,0.0,26655.0,0.0,0.0,0.0,0.0,0.0,29.26,-20.67,3.01,23.0,-1.1475658326412492,0.0,0.0,0.0,0.0,0.0,-2.565095875915315,-2.536060939353292,-1.0234248130830095,-0.9714403106232706
6,1966,-131.0,0.0,0.0,0.0,29027.0,0.0,0.0,0.0,0.0,0.0,40.24,-6.43,3.1,23.01,-1.1351983330678281,0.0,0.0,0.0,0.0,0.0,-0.8794009177170061,-0.7845752033610521,-1.0198462416099945,-0.9710339387987637
7,1967,-202.0,0.0,0.0,0.0,30976.0,0.0,0.0,0.0,0.0,0.0,45.53,3.31,3.12,22.53,-1.1250363361586384,0.0,0.0,0.0,0.0,0.0,-0.06725826481454239,0.41342136044262867,-1.01905100350488,-0.9905397863750959
8,1968,-342.0,0.0,0.0,0.0,33657.0,0.0,0.0,0.0,0.0,0.0,39.86,-7.72,3.18,21.99,-1.1110577247099278,0.0,0.0,0.0,0.0,0.0,-0.9377400874907185,-0.943242099388439,-1.016665289189537,-1.0124838648984698
9,1969,-379.0,107.0,0.0,0.0,35852.0,0.0,0.0,0.0,0.0,0.0,46.35,2.64,3.32,21.81,-1.0996130950456533,0.0,0.0,0.0,0.0,0.0,0.058631522591888724,0.33101297258344325,-1.0110986224537357,-1.0197985577395943
10,1970,-403.0,3454.0,0.0,0.0,38492.0,0.0,0.0,0.0,0.0,0.0,40.28,-6.21,3.39,21.04,-1.08584825572279,0.0,0.0,0.0,0.0,0.0,-0.8732599524776681,-0.7575157327207226,-1.0083152890858353,-1.0510891882266271
11,1971,-309.0,3825.0,0.0,0.0,41307.0,0.0,0.0,0.0,0.0,0.0,51.38,6.81,3.6,21.42,-1.0711709743993583,0.0,0.0,0.0,0.0,0.0,0.8308579014386551,0.8439129388115078,-0.9999652889821338,-1.035647058895364
12,1972,-217.0,4356.0,0.0,0.0,45388.0,0.0,0.0,0.0,0.0,0.0,56.96,15.45,3.6,20.74,-1.0498928269460988,0.0,0.0,0.0,0.0,0.0,1.68752255232632,1.9066121494135406,-0.9999652889821338,-1.0632803429618347
13,1973,-333.0,3585.0,0.0,0.0,49301.0,0.0,0.0,0.0,0.0,0.0,51.28,5.35,4.75,25.56,-1.0294906238133852,0.0,0.0,0.0,0.0,0.0,0.8155054883403096,0.6643364518347753,-0.9542390979380544,-0.8674091235494992
14,1974,-282.0,3673.0,0.0,0.0,52987.0,0.0,0.0,0.0,0.0,0.0,44.01,0.01,9.35,45.6,-1.0102719883042663,0.0,0.0,0.0,0.0,0.0,-0.3006149439093907,0.007529300837685503,-0.7713343337617363,-0.05303998723763094
