Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
0,1960,20.0,0.0,0.0,0.0,24357.0,796647.51936,0.0,0.0,36903.70200000001,31349.0,29.93,-13.11,2.91,23.72
1,1961,21.0,0.0,0.0,0.0,27289.0,756037.42848,0.0,0.0,37260.729,32706.2,40.35,6.09,2.85,22.96
2,1962,17.0,0.0,0.0,0.0,30221.0,800588.88,0.0,0.0,37592.181,33843.0,33.57,-7.14,2.85,22.69
3,1963,8.0,0.0,0.0,0.0,33270.0,863111.0592,0.0,0.0,37663.791,35026.2,26.79,-20.24,2.91,22.9
4,1964,10.0,17.0,0.0,0.0,35652.0,875310.5088,0.0,0.0,38167.107,91982.2,37.55,-10.39,3.0,23.3
5,1965,11.0,22.0,0.0,0.0,39071.0,924108.3072,0.0,0.0,36504.732,74866.4,36.82,-1.25,3.01,23.0
6,1966,10.0,1.0,0.0,0.0,42672.0,1016800.6636799999,0.0,0.0,44125.059,63214.2,36.33,-0.51,3.1,23.01
7,1967,10.0,0.0,0.0,0.0,44420.0,1079510.52672,0.0,0.0,42265.245,57559.2,35.75,-2.59,3.12,22.53
8,1968,8.0,0.0,0.0,0.0,48696.0,1133680.77504,0.0,0.0,43654.479000000014,64983.2,38.79,-0.14,3.18,21.99
9,1969,8.0,0.0,0.0,0.0,52817.0,1202161.91616,0.0,0.0,50938.239,63637.6,36.74,2.74,3.32,21.81
10,1970,7.0,0.0,0.0,0.0,53714.0,1298561.0284799999,0.0,0.0,53311.599,57211.2,37.99,0.43,3.39,21.04
11,1971,9.0,0.0,0.0,0.0,57975.0,1206595.94688,0.0,0.0,81740.769,48058.8,33.95,-6.87,3.6,21.42
12,1972,9.0,0.0,0.0,0.0,62940.0,1195710.28416,0.0,0.0,92064.885,54276.4,42.98,13.28,3.6,20.74
