Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,12466.0,0.0,0.0,0.0,4216.900000000023,0.0,0.0,0.0,0.0,0.0,34.32,1.36,2.91,23.72,-1.1123986827813854,0.0,-0.5248103306505449,-0.5254346601648454,-0.8445923289165322,0.0,0.3349734565969365,0.24852568092173355,-1.0274010036085814,-0.9421815392587725
1,1961,12493.0,0.0,0.0,0.0,4713.599999999977,0.0,0.0,0.0,0.0,0.0,35.43,3.06,2.85,22.96,-1.1052976496707578,0.0,-0.5248103306505449,-0.5254346601648454,-0.8445923289165322,0.0,0.5530616405455647,0.4613909334688847,-1.0297867179239248,-0.9730657979212983
2,1962,13313.0,0.0,0.0,0.0,5210.300000000047,0.0,0.0,0.0,0.0,0.0,30.79,0.16,2.85,22.69,-1.0981966165601285,0.0,-0.5248103306505449,-0.5254346601648454,-0.8445923289165322,0.0,-0.3585862635279808,0.09826785559433267,-1.0297867179239248,-0.9840378371829851
3,1963,13636.0,0.0,0.0,0.0,5707.0,0.0,0.0,0.0,0.0,0.0,32.12,3.2,2.91,22.9,-1.0910955834495006,0.0,-0.5248103306505449,-0.5254346601648454,-0.8445923289165322,0.0,-0.09727339447241748,0.47892101309041485,-1.0274010036085814,-0.97550402886834
4,1964,15005.0,0.0,0.0,0.0,6164.0,0.0,0.0,0.0,0.0,0.0,38.97,9.35,3.0,23.3,-1.0845621183165086,0.0,-0.5248103306505449,-0.5254346601648454,-0.8445923289165322,0.0,1.2485861190844332,1.2489923678933441,-1.0238224321355667,-0.959249155888063
5,1965,16508.0,0.0,0.0,0.0,6725.0,0.0,0.0,0.0,0.0,0.0,27.72,-6.21,3.01,23.0,-1.076541825232026,0.0,-0.5248103306505449,-0.5254346601648454,-0.8445923289165322,0.0,-0.961767096611124,-0.699350767185287,-1.0234248130830095,-0.9714403106232706
6,1966,16719.0,0.0,0.0,0.0,7267.0,0.0,0.0,0.0,0.0,0.0,30.71,-7.34,3.1,23.01,-1.0687931641771427,0.0,-0.5248103306505449,-0.5254346601648454,-0.8445923289165322,0.0,-0.3743043308395933,-0.8408435527019228,-1.0198462416099945,-0.9710339387987637
7,1967,17861.0,0.0,0.0,0.0,7639.0,0.0,0.0,0.0,0.0,0.0,27.83,-8.59,3.12,22.53,-1.063474894966042,0.0,-0.5248103306505449,-0.5254346601648454,-0.8445923289165322,0.0,-0.9401547540576565,-0.9973621207512986,-1.01905100350488,-0.9905397863750959
8,1968,20447.0,0.0,0.0,0.0,8528.0,0.0,0.0,0.0,0.0,0.0,35.01,3.2,3.18,21.99,-1.0507653752653199,0.0,-0.5248103306505449,-0.5254346601648454,-0.8445923289165322,0.0,0.4705417871595969,0.47892101309041485,-1.016665289189537,-1.0124838648984698
9,1969,27898.0,0.0,0.0,0.0,9353.0,0.0,0.0,0.0,0.0,0.0,31.82,-0.84,3.32,21.81,-1.038970826611669,0.0,-0.5248103306505449,-0.5254346601648454,-0.8445923289165322,0.0,-0.1562161468909651,-0.02694699884516806,-1.0110986224537357,-1.0197985577395943
