Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,1826.0,230.0,0.0,0.0,25273.700000000186,2169831.30304,0.0,0.0,117869.04652,34852.2,39.77,-1.2,2.91,23.72,-1.2232484935752725,0.8514754449118184,0.0,0.0,-0.5679955968966399,2.4131251473272504,-0.5831565889514905,-0.257458693364145,-1.0274010036085814,-0.9421815392587725
1,1961,1489.0,305.0,0.0,0.0,28340.79999999981,2060352.8442,0.0,0.0,103901.0141,32729.4,40.86,-0.92,2.85,22.96,-1.2092652529170536,0.5224184476636261,0.0,0.0,-0.8270479614639344,2.112856781909128,-0.3853736588721042,-0.2276617094419368,-1.0297867179239248,-0.9730657979212983
2,1962,1519.0,320.0,0.0,0.0,31407.900000000373,2112248.45076,0.0,0.0,93168.15222,30751.6,37.5,-6.48,2.85,22.69,-1.1952820122588304,0.6783999315641639,0.0,0.0,-1.0261005670841163,1.8330985507408764,-0.9950531497590216,-0.8193446758972145,-1.0297867179239248,-0.9840378371829851
3,1963,1280.0,355.0,0.0,0.0,34533.0,2308096.8624,0.0,0.0,95862.23091,29481.4,31.93,-16.57,2.91,22.9,-1.1810343433269404,1.2670571974128855,0.0,0.0,-0.9761359454402286,1.653429774712,-2.0057420676876316,-1.8931002750939323,-1.0274010036085814,-0.97550402886834
4,1964,1281.0,25.0,0.0,0.0,37375.0,2413787.2662,0.0,0.0,85008.32171,29655.4,36.71,-12.53,3.0,23.3,-1.1680773579170538,1.5847285208940123,0.0,0.0,-1.1774335053623233,1.6780419358118461,-1.1384004110092192,-1.4631723642163563,-1.0238224321355667,-0.959249155888063
5,1965,1329.0,313.0,0.0,0.0,40541.0,2453588.57522,0.0,0.0,87382.71134,28547.6,33.87,-13.42,3.01,23.0,-1.1536432214611423,1.704358440527877,0.0,0.0,-1.1333978652978822,1.5213445101428253,-1.6537247425922097,-1.5578842059690898,-1.0234248130830095,-0.9714403106232706
6,1966,1443.0,525.0,0.0,0.0,44082.0,2432385.16544,0.0,0.0,94058.9363,25154.6,35.89,-10.68,3.1,23.01,-1.1374994194427017,1.64062781783226,0.0,0.0,-1.0095800067572023,1.0414073686958256,-1.2871912391423361,-1.2662994347303378,-1.0198462416099945,-0.9710339387987637
7,1967,1914.0,603.0,0.0,0.0,46515.0,2361801.26964,0.0,0.0,93078.14268,25444.6,42.12,4.52,3.12,22.53,-1.1264071092730135,1.4284753537573713,0.0,0.0,-1.0277698919732272,1.0824276371955692,-0.1567438497895105,0.35125112104668016,-1.01905100350488,-0.9905397863750959
8,1968,1182.0,468.0,0.0,0.0,49957.0,2257714.3146599997,0.0,0.0,91030.68426,24128.0,38.07,-9.17,3.18,21.99,-1.1107146589630805,1.1156234811485055,0.0,0.0,-1.0657422369038398,0.8961956182067335,-0.8916253789835623,-1.1056085571498577,-1.016665289189537,-1.0124838648984698
9,1969,916.0,415.0,0.0,0.0,54486.0,2303516.608,0.0,0.0,81871.43746,25798.4,37.96,-4.03,3.32,21.81,-1.0900664580758967,1.253290427443101,0.0,0.0,-1.2356104380828448,1.1324723647652566,-0.9115851242209315,-0.5586210665778925,-1.0110986224537357,-1.0197985577395943
