Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,9.0,0.0,0.0,0.0,1925.5,0.0,0.0,0.0,0.0,0.0,45.13,1.87,2.91,23.72,-1.2116758502759162,0.0,0.0,0.0,0.0,0.0,-0.33660789237106653,0.048449154502091384,-1.0274010036085814,-0.9421815392587725
1,1961,8.0,0.0,0.0,0.0,2173.4000000000233,0.0,0.0,0.0,0.0,0.0,46.46,1.44,2.85,22.96,-1.1984753611336656,0.0,0.0,0.0,0.0,0.0,-0.13693974780016527,-0.008235423067669636,-1.0297867179239248,-0.9730657979212983
2,1962,5.0,0.0,0.0,0.0,2421.2999999999884,0.0,0.0,0.0,0.0,0.0,45.29,2.72,2.85,22.69,-1.185274871991418,0.0,0.0,0.0,0.0,0.0,-0.3125876644527631,0.16050006365161895,-1.0297867179239248,-0.9840378371829851
3,1963,4.0,0.0,0.0,0.0,2686.0,0.0,0.0,0.0,0.0,0.0,38.22,-8.25,2.91,22.9,-1.1711797954446104,0.0,0.0,0.0,0.0,0.0,-1.3739814855928185,-1.2856157873722838,-1.0274010036085814,-0.97550402886834
4,1964,4.0,0.0,0.0,0.0,2881.0,0.0,0.0,0.0,0.0,0.0,37.96,-10.53,3.0,23.3,-1.1607961916417113,0.0,0.0,0.0,0.0,0.0,-1.413014355960062,-1.5861758730910165,-1.0238224321355667,-0.959249155888063
5,1965,2.0,0.0,0.0,0.0,3157.0,0.0,0.0,0.0,0.0,0.0,28.22,-19.63,3.01,23.0,-1.1460993985668388,0.0,0.0,0.0,0.0,0.0,-2.8752457304868146,-2.7857797239859585,-1.0234248130830095,-0.9714403106232706
6,1966,2.0,0.0,0.0,0.0,3470.0,0.0,0.0,0.0,0.0,0.0,37.45,-8.1,3.1,23.01,-1.1294323832319293,0.0,0.0,0.0,0.0,0.0,-1.4895788324496557,-1.2658420975223672,-1.0198462416099945,-0.9710339387987637
7,1967,5.0,0.0,0.0,0.0,3631.0,0.0,0.0,0.0,0.0,0.0,48.16,5.5,3.12,22.53,-1.1208592539382538,0.0,0.0,0.0,0.0,0.0,0.11827517383181346,0.5269724488700738,-1.01905100350488,-0.9905397863750959
8,1968,5.0,0.0,0.0,0.0,3912.0,0.0,0.0,0.0,0.0,0.0,43.08,-4.7,3.18,21.99,-1.105896214612025,0.0,0.0,0.0,0.0,0.0,-0.6443670625743364,-0.817638460924257,-1.016665289189537,-1.0124838648984698
9,1969,4.0,0.0,0.0,0.0,4113.0,0.0,0.0,0.0,0.0,0.0,48.54,1.99,3.32,21.81,-1.0951931153074983,0.0,0.0,0.0,0.0,0.0,0.1753232151377857,0.06426810638202467,-1.0110986224537357,-1.0197985577395943
10,1970,3.0,0.0,0.0,0.0,4311.0,0.0,0.0,0.0,0.0,0.0,43.54,-2.02,3.39,21.04,-1.0846497637537855,0.0,0.0,0.0,0.0,0.0,-0.5753089073092125,-0.46434853560574657,-1.0083152890858353,-1.0510891882266271
11,1971,1.0,0.0,0.0,0.0,4599.0,0.0,0.0,0.0,0.0,0.0,39.89,-6.99,3.6,21.42,-1.0693139796756579,0.0,0.0,0.0,0.0,0.0,-1.1232703566955209,-1.119516792632984,-0.9999652889821338,-1.035647058895364
12,1972,6.0,0.0,0.0,0.0,5114.0,0.0,0.0,0.0,0.0,0.0,63.49,21.48,3.6,20.74,-1.0418906157859502,0.0,0.0,0.0,0.0,0.0,2.4197132612543104,2.633529540881192,-0.9999652889821338,-1.0632803429618347
13,1973,5.0,0.0,0.0,0.0,5418.0,0.0,0.0,0.0,0.0,0.0,51.05,5.94,4.75,25.56,-1.025702843703482,0.0,0.0,0.0,0.0,0.0,0.5521405406061785,0.5849752724298293,-0.9542390979380544,-0.8674091235494992
14,1974,4.0,0.0,0.0,0.0,5599.0,0.0,0.0,0.0,0.0,0.0,42.86,-1.82,9.35,45.6,-1.0160647294043812,0.0,0.0,0.0,0.0,0.0,-0.6773948759620041,-0.4379836158058577,-0.7713343337617363,-0.05303998723763094
15,1975,3.0,0.0,0.0,0.0,6002.0,0.0,0.0,0.0,0.0,0.0,53.26,8.82,12.21,54.61,-0.9946052815450566,0.0,0.0,0.0,0.0,0.0,0.8839199387277518,0.9646301175482286,-0.6576152847303735,0.3131010266431041
16,1976,3.0,0.0,0.0,0.0,6528.0,0.0,0.0,0.0,0.0,0.0,41.75,-2.5,13.1,55.46,-0.966596175902365,0.0,0.0,0.0,0.0,0.0,-0.8440352071452376,-0.5276243431254797,-0.6222271890527815,0.34764263172619236
17,1977,4.0,0.0,0.0,0.0,7245.0,0.0,0.0,0.0,0.0,0.0,52.76,7.72,14.4,57.2,-0.9284164634578596,0.0,0.0,0.0,0.0,0.0,0.808856726483052,0.8196230586488399,-0.5705367122203439,0.4183513291903966
18,1978,4.0,0.0,0.0,0.0,7975.0,0.0,0.0,0.0,0.0,0.0,46.24,1.64,14.95,55.24,-0.8895445107598275,0.0,0.0,0.0,0.0,0.0,-0.16996756118783302,0.018129496732219197,-0.5486676643296972,0.33870245158704015
19,1979,3.0,0.0,0.0,0.0,8845.0,0.0,0.0,0.0,0.0,0.0,55.87,10.34,25.1,82.51,-0.8432176630238167,0.0,0.0,0.0,0.0,0.0,1.2757499066450848,1.1650035080273837,-0.14508432598412588,1.4468784170174116
20,1980,1.0,0.0,0.0,0.0,9626.0,0.0,0.0,0.0,0.0,0.0,37.37,-9.19,37.42,109.51,-0.8016299985619496,0.0,0.0,0.0,0.0,0.0,-1.5015889464088084,-1.4095309104317613,0.34478234676636055,2.5440823431860964
21,1981,0.0,0.0,0.0,0.0,10729.0,0.0,0.0,0.0,0.0,0.0,40.3,-5.28,35.75,94.83,-0.7428960755127313,0.0,0.0,0.0,0.0,0.0,-1.0617185226548675,-0.8940967283439346,0.2783799649893059,1.947528504809937
22,1982,3.0,0.0,0.0,0.0,11420.0,0.0,0.0,0.0,0.0,0.0,48.87,4.78,31.83,79.5,-0.7061008435752791,0.0,0.0,0.0,0.0,0.0,0.22486493521928733,0.43205873759047403,0.12251329638687834,1.3245604978408285
23,1983,3.0,0.0,0.0,0.0,12323.0,0.0,0.0,0.0,0.0,0.0,63.03,15.57,29.08,70.34,-0.6580167705803162,0.0,0.0,0.0,0.0,0.0,2.3506551059891865,1.8544461607944769,0.013168056933644765,0.9523239065924898
24,1984,2.0,0.0,0.0,0.0,13801.0,0.0,0.0,0.0,0.0,0.0,50.67,7.33,28.75,66.67,-0.5793143786793692,0.0,0.0,0.0,0.0,0.0,0.49509249930020727,0.7682114650390567,4.6628199256804146e-05,0.80318544699845
25,1985,0.0,0.0,0.0,0.0,15222.0,0.0,0.0,0.0,0.0,0.0,42.32,-1.91,26.92,60.27,-0.5036471940438849,0.0,0.0,0.0,0.0,0.0,-0.7584631451862798,-0.44984782971580767,-0.07271765841871311,0.543107479314021
26,1986,0.0,0.0,0.0,0.0,16622.0,0.0,0.0,0.0,0.0,0.0,48.57,5.46,14.44,31.72,-0.42909824366409743,0.0,0.0,0.0,0.0,0.0,0.17982700787246786,0.521699464910096,-0.568946236010115,-0.6170840796532363
27,1987,0.0,0.0,0.0,0.0,17891.0,0.0,0.0,0.0,0.0,0.0,42.88,-4.82,17.75,37.62,-0.3615249450698472,0.0,0.0,0.0,0.0,0.0,-0.6743923474722157,-0.8334574128041903,-0.43733432961367746,-0.37732470319415345
28,1988,0.0,0.0,0.0,0.0,19738.0,0.0,0.0,0.0,0.0,0.0,42.97,-1.72,14.87,30.33,-0.2631735798187991,0.0,0.0,0.0,0.0,0.0,-0.6608809692681703,-0.4248011559059133,-0.5518486167501548,-0.6735697632596982
29,1989,5.0,0.0,0.0,0.0,21059.0,0.0,0.0,0.0,0.0,0.0,55.04,13.21,18.33,35.6,-0.19283132021044247,0.0,0.0,0.0,0.0,0.0,1.1511449743188833,1.5433401071557886,-0.4142724245653592,-0.45941181174455115
30,1990,10.0,0.0,0.0,0.0,21664.0,0.0,0.0,0.0,0.0,0.0,50.03,4.09,23.19,42.62,-0.16061552379632005,0.0,0.0,0.0,0.0,0.0,0.39901158762699146,0.3410997642808575,-0.22102956502255355,-0.17413879094069332
31,1991,10.0,0.0,0.0,0.0,21738.0,0.0,0.0,0.0,0.0,0.0,46.76,-1.53,20.2,35.73,-0.15667507927624555,0.0,0.0,0.0,0.0,0.0,-0.09190182045334581,-0.3997544820960189,-0.3399176617371603,-0.45412897802596136
32,1992,10.0,0.0,0.0,0.0,22665.0,0.0,0.0,0.0,0.0,0.0,48.17,5.3,19.25,33.04,-0.107313024274772,0.0,0.0,0.0,0.0,0.0,0.11977643807670822,0.5006075290701849,-0.37769147173009554,-0.5634429988183228
33,1993,9.0,0.0,0.0,0.0,23566.0,0.0,0.0,0.0,0.0,0.0,43.79,-4.53,16.75,27.94,-0.05933544978035165,0.0,0.0,0.0,0.0,0.0,-0.5377773011868625,-0.7952282790943515,-0.4770962348693988,-0.770692629316852
34,1994,9.0,0.0,0.0,0.0,24354.0,0.0,0.0,0.0,0.0,0.0,46.01,-2.33,15.66,25.44,-0.017375040566585568,0.0,0.0,0.0,0.0,0.0,-0.20449663882039554,-0.5052141612955742,-0.520436711598135,-0.8722855854435821
