Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,3611.0,0.0,0.0,0.0,3204.3000000000466,0.0,0.0,0.0,0.0,0.0,48.72,2.5,2.91,23.72,-1.1804891173025778,0.0,0.0,0.0,0.0,0.0,0.08388457860073852,0.2427055373007025,-1.0274010036085814,-0.9421815392587725
1,1961,3238.0,0.0,0.0,0.0,3808.800000000047,0.0,0.0,0.0,0.0,0.0,51.52,8.12,2.85,22.96,-1.1711466078722075,0.0,0.0,0.0,0.0,0.0,0.534302933294615,0.8702119539552993,-1.0297867179239248,-0.9730657979212983
2,1962,3067.0,0.0,0.0,0.0,4413.300000000047,0.0,0.0,0.0,0.0,0.0,48.88,1.34,2.85,22.69,-1.161804098441837,0.0,0.0,0.0,0.0,0.0,0.10962277029753201,0.11318463991292091,-1.0297867179239248,-0.9840378371829851
3,1963,2674.0,0.0,0.0,0.0,5057.0,0.0,0.0,0.0,0.0,0.0,45.16,1.1,2.91,22.9,-1.1518557554801678,0.0,0.0,0.0,0.0,0.0,-0.4887901866529039,0.086387212867173,-1.0274010036085814,-0.97550402886834
4,1964,4355.0,39.0,0.0,0.0,5544.0,0.0,0.0,0.0,0.0,0.0,69.32,25.66,3.0,23.3,-1.1443292011499935,0.0,0.0,0.0,0.0,0.0,3.3976767595628234,2.828657247215376,-1.0238224321355667,-0.959249155888063
5,1965,3517.0,75.0,0.0,0.0,6211.0,0.0,0.0,0.0,0.0,0.0,48.52,3.04,3.01,23.0,-1.134020758155689,0.0,0.0,0.0,0.0,0.0,0.05171183897974808,0.3029997481536353,-1.0234248130830095,-0.9714403106232706
6,1966,2611.0,73.0,0.0,0.0,6941.0,0.0,0.0,0.0,0.0,0.0,48.05,4.45,3.1,23.01,-1.1227386541289388,0.0,0.0,0.0,0.0,0.0,-0.02389409912958203,0.46043463204740426,-1.0198462416099945,-0.9710339387987637
7,1967,2654.0,8.0,0.0,0.0,7381.0,0.0,0.0,0.0,0.0,0.0,46.97,5.92,3.12,22.53,-1.115938481838843,0.0,0.0,0.0,0.0,0.0,-0.19762689308293385,0.6245688727026102,-1.01905100350488,-0.9905397863750959
8,1968,2702.0,0.0,0.0,0.0,8170.0,0.0,0.0,0.0,0.0,0.0,43.78,0.34,3.18,21.99,-1.103744536527739,0.0,0.0,0.0,0.0,0.0,-0.710782090037742,0.0015286938889712777,-1.016665289189537,-1.0124838648984698
9,1969,3089.0,0.0,0.0,0.0,8874.0,0.0,0.0,0.0,0.0,0.0,49.94,7.36,3.32,21.81,-1.0928642608635855,0.0,0.0,0.0,0.0,0.0,0.2801382902887842,0.7853534349770976,-1.0110986224537357,-1.0197985577395943
