Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,8676.0,0.0,0.0,0.0,6188.1999999999525,148915.2867,0.0,0.0,64.38600000000001,116.0,44.44,-4.17,2.91,23.72,-1.1782492111240468,0.33810727043547945,-0.5852373319004821,-0.5127983947698808,-1.0219316889338022,-1.3406512182175616,-1.258584157140616,-0.7233389841856089,-1.0274010036085814,-0.9421815392587725
1,1961,8749.0,0.0,0.0,0.0,7118.999999999767,147157.4334,0.0,0.0,72.562,98.6,55.01,6.25,2.85,22.96,-1.168983523279335,0.31379219852574514,-0.5852373319004821,-0.5127983947698808,-1.0184975077854275,-1.3518156301698672,0.265179003886291,0.4491255417974008,-1.0297867179239248,-0.9730657979212983
2,1962,9636.0,0.0,0.0,0.0,8049.799999999815,156047.14865999998,0.0,0.0,76.65,81.2,54.51,1.9,2.85,22.69,-1.1597178354346211,0.43675699075497315,-0.5852373319004821,-0.5127983947698808,-1.01678041721124,-1.3629800421221725,0.19309938415937958,-0.040339015594738604,-1.0297867179239248,-0.9840378371829851
3,1963,7722.0,0.0,0.0,0.0,9055.0,153711.71499,0.0,0.0,91.98,92.8,42.35,-8.16,2.91,22.9,-1.149711529653027,0.4044526809320407,-0.5852373319004821,-0.5127983947698808,-1.0103413275580373,-1.3555371008206354,-1.559876967599105,-1.1722961299315022,-1.0274010036085814,-0.97550402886834
4,1964,9097.0,0.0,0.0,0.0,9758.0,150422.0181,0.0,0.0,78.694,58.0,57.53,6.39,3.0,23.3,-1.1427134865128963,0.3589487606438231,-0.5852373319004821,-0.5127983947698808,-1.0159218719241463,-1.377865924725246,0.6284602873099249,0.46487842410427416,-1.0238224321355667,-0.959249155888063
5,1965,8750.0,0.0,0.0,0.0,10820.0,147282.99435,0.0,0.0,86.87,63.8,46.05,-5.48,3.01,23.0,-1.1321417627364827,0.31552898937644025,-0.5852373319004821,-0.5127983947698808,-1.0124876907757716,-1.3741444540744776,-1.0264877816199613,-0.870740954342782,-1.0234248130830095,-0.9714403106232706
6,1966,7633.0,0.0,0.0,0.0,11980.0,158432.80671,0.0,0.0,0.0,40.6,48.79,-0.5,3.1,23.01,-1.120594493828159,0.4697560169181846,-0.5852373319004821,-0.5127983947698808,-1.0489758654772536,-1.3890303366775516,-0.6314914655164867,-0.31038842656971205,-1.0198462416099945,-0.9710339387987637
7,1967,9628.0,0.0,0.0,0.0,12598.0,171566.48208,0.0,0.0,59.276,40.6,53.46,7.91,3.12,22.53,-1.1144425867718277,0.6514243399009145,-0.5852373319004821,-0.5127983947698808,-1.0240780521515365,-1.3890303366775516,0.04173218273286605,0.6359097177217574,-1.01905100350488,-0.9905397863750959
8,1968,7721.0,0.0,0.0,0.0,13974.0,204614.12412,0.0,0.0,49.056,34.8,44.44,-7.95,3.18,21.99,-1.100745136756437,1.108547691803922,-0.5852373319004821,-0.5127983947698808,-1.0283707785870049,-1.3927518073283198,-1.258584157140616,-1.1486668064711922,-1.016665289189537,-1.0124838648984698
9,1969,7477.0,0.0,0.0,0.0,15167.0,202956.71958,0.0,0.0,58.254,185.6,50.05,-1.5,3.32,21.81,-1.0888693679567556,1.085622052574744,-0.5852373319004821,-0.5127983947698808,-1.0245073247950833,-1.2959935704083405,-0.44985082380467023,-0.422909014475951,-1.0110986224537357,-1.0197985577395943
10,1970,8067.0,0.0,0.0,0.0,16100.0,206849.10903,0.0,0.0,65.408,1792.2,49.84,1.15,3.39,21.04,-1.0795817801192849,1.1394625689462987,-0.5852373319004821,-0.5127983947698808,-1.0215024162902553,-0.2651462001454827,-0.4801242640899721,-0.1247294565244178,-1.0083152890858353,-1.0510891882266271
11,1971,9420.0,0.0,0.0,0.0,17867.0,232815.11349000002,0.0,0.0,90.958,2308.4,50.44,1.82,3.6,21.42,-1.061992104118416,1.4986309168700906,-0.5852373319004821,-0.5127983947698808,-1.010770600201584,0.0660646877729085,-0.39362872041767927,-0.0493406626272377,-0.9999652889821338,-1.035647058895364
12,1972,11132.0,0.0,0.0,0.0,20326.0,282763.2594,0.0,0.0,25.55,1148.4,62.26,14.47,3.6,20.74,-1.037513884941202,2.1895263172766875,-0.5852373319004821,-0.5127983947698808,-1.0382440493885823,-0.6782294423807794,1.3103334899265062,1.3740447743866848,-0.9999652889821338,-1.0632803429618347
13,1973,11452.0,0.0,0.0,0.0,23150.0,197037.29241,0.0,0.0,20.44,1165.8,65.33,13.81,4.75,25.56,-1.009402257874731,1.0037430372422438,-0.5852373319004821,-0.5127983947698808,-1.0403904126063166,-0.6670650304284742,1.7529023550497425,1.299781186368567,-0.9542390979380544,-0.8674091235494992
