Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,1102.0,0.0,0.0,0.0,20865.400000000373,26409.183419999998,0.0,0.0,6610703.860719997,5379378.2,31.36,10.66,2.91,23.72,-1.089762262215689,-1.2922575933372462,-0.5067601169103801,-0.5080296271452384,-1.057480241508016,0.5835863358312362,0.7088426031488353,0.8566939866156973,-1.0274010036085814,-0.9421815392587725
1,1961,1234.0,0.0,0.0,0.0,23538.200000001118,26535.061319999997,0.0,0.0,6690243.83328,5447307.8,28.65,8.21,2.85,22.96,-1.0842262014182842,-1.2917711769378875,-0.5067601169103801,-0.5080296271452384,-0.9565037372124545,0.6195241026133742,0.13590706122979584,0.6420416852013969,-1.0297867179239248,-0.9730657979212983
2,1962,800.0,0.0,0.0,0.0,26211.00000000093,25855.320659999998,0.0,0.0,6821056.63563,5471302.4,24.06,-9.9,2.85,22.69,-1.0786901406208813,-1.2943978254944257,-0.5067601169103801,-0.5080296271452384,-0.7904360473041535,0.6322183086565528,-0.8344892994375068,-0.944633081579412,-1.0297867179239248,-0.9840378371829851
3,1963,478.0,0.0,0.0,0.0,29252.0,27441.3822,0.0,0.0,6961089.8867,5671443.0,19.71,-19.15,2.91,22.9,-1.0723914422951937,-1.2882689788625035,-0.5067601169103801,-0.5080296271452384,-0.6126629387262696,0.738101549635996,-1.7541459811156692,-1.7550550358987096,-1.0274010036085814,-0.97550402886834
4,1964,454.0,0.0,0.0,0.0,31356.0,28838.626889999996,0.0,0.0,7320770.4032,5739245.0,23.27,-8.16,3.0,23.3,-1.0680335135621284,-1.2828697568296195,-0.5067601169103801,-0.5080296271452384,-0.1560462207359048,0.773971810367143,-1.001507409443426,-0.7921861409831332,-1.0238224321355667,-0.959249155888063
5,1965,743.0,0.0,0.0,0.0,33858.0,30349.161689999997,0.0,0.0,7445189.80767,5804344.2,26.69,-3.1,3.01,23.0,-1.0628512237854513,-1.2770327600373128,-0.5067601169103801,-0.5080296271452384,0.0019050096399761108,0.8084121702000254,-0.27846698384818036,-0.3488634286744147,-1.0234248130830095,-0.9714403106232706
6,1966,787.0,0.0,0.0,0.0,36774.0,28360.290869999997,0.0,0.0,7801078.48615,6134694.8,26.8,1.44,3.1,23.01,-1.0568114328227052,-1.2847181391471831,-0.5067601169103801,-0.5080296271452384,0.45370796499262156,0.9831822677589598,-0.25521129764482464,0.04890042782392165,-1.0198462416099945,-0.9710339387987637
7,1967,579.0,0.0,0.0,0.0,39907.0,27101.51187,0.0,0.0,8064835.59743,6495779.6,25.33,-12.18,3.12,22.53,-1.0503221786778891,-1.2895823031407725,-0.5067601169103801,-0.5080296271452384,0.788549306056179,1.1742121182361447,-0.5659918314533078,-1.1443911416710875,-1.01905100350488,-0.9905397863750959
8,1968,1326.0,0.0,0.0,0.0,44484.0,28838.626889999996,0.0,0.0,8408696.969589999,6573604.0,32.95,19.48,3.18,21.99,-1.0408420266763496,-1.2828697568296195,-0.5067601169103801,-0.5080296271452384,1.2250835190495095,1.2153846724269517,1.0449929764518886,1.6294422717071788,-1.016665289189537,-1.0124838648984698
9,1969,1271.0,0.0,0.0,0.0,48575.0,28309.939710000002,0.0,0.0,8810076.48582,6680295.0,29.69,8.41,3.32,21.81,-1.0323685065019346,-1.284912705706927,-0.5067601169103801,-0.5080296271452384,1.7346373841099294,1.271828936426049,0.3557790035160698,0.6595643220515438,-1.0110986224537357,-1.0197985577395943
10,1970,1005.0,0.0,0.0,0.0,52314.0,29077.7949,0.0,0.0,9376066.64581,7248242.6,23.82,-0.91,3.39,21.04,-1.0246240694615683,-1.2819455656708376,-0.5067601169103801,-0.5080296271452384,2.453165515086621,1.5722983693871597,-0.8852289784266465,-0.15699055516530533,-1.0083152890858353,-1.0510891882266271
11,1971,880.0,0.0,0.0,0.0,57344.0,28360.290869999997,0.0,0.0,9595859.88963,7092970.8,28.02,-7.76,3.6,21.42,-1.0142056371767216,-1.2847181391471831,-0.5067601169103801,-0.5080296271452384,2.7321944449996036,1.4901527107016561,0.002715403883303519,-0.7571408672828392,-0.9999652889821338,-1.035647058895364
12,1972,830.0,0.0,0.0,0.0,64019.0,50917.61055,0.0,0.0,9733316.36349,7549773.0,26.85,-2.24,3.6,20.74,-1.0003799839955383,-1.1975523203820677,-0.5067601169103801,-0.5080296271452384,2.9066963184155967,1.7318213047927093,-0.24464053118875365,-0.27351609021878276,-0.9999652889821338,-1.0632803429618347
13,1973,1700.0,0.0,0.0,0.0,73840.0,97216.0,0.0,0.0,9559534.67428,7509091.8,35.3,19.14,4.75,25.56,-0.9800381503037928,-1.0186464449870596,-0.5067601169103801,-0.5080296271452384,2.686079351597235,1.710299148354021,1.5418189998872167,1.5996537890619291,-0.9542390979380544,-0.8674091235494992
14,1974,1631.0,0.0,0.0,0.0,85387.0,107576.0,0.0,0.0,9176624.98543,7320330.8,31.88,7.36,9.35,45.6,-0.9561213237445233,-0.9786134137928765,-0.5067601169103801,-0.5080296271452384,2.1999730506199926,1.610436219740233,0.818778574291972,0.5675704785882723,-0.7713343337617363,-0.05303998723763094
15,1975,1927.0,0.0,0.0,0.0,98804.0,144159.7561,0.0,0.0,8415741.68625,7087188.2,27.27,10.2,12.21,54.61,-0.9283312430356191,-0.8372467488168452,-0.5067601169103801,-0.5080296271452384,1.2340268319421928,1.4870934592090168,-0.15584609295775903,0.8163919218603592,-0.6576152847303735,0.3131010266431041
16,1976,1068.0,0.0,0.0,0.0,113757.0,182650.66589,0.0,0.0,8095614.87307,6899233.4,30.65,2.75,13.1,55.46,-0.8973597086508649,-0.6885104754273129,-0.5067601169103801,-0.5080296271452384,0.8276237934974732,1.387657046099218,0.5587377194726293,0.16367369919238436,-0.6222271890527815,0.34764263172619236
17,1977,1169.0,0.0,0.0,0.0,130404.0,209460.04225,0.0,0.0,7942018.854719997,6599704.0,22.64,-4.81,14.4,57.2,-0.8628794616835004,-0.5849138924044873,-0.5067601169103801,-0.5080296271452384,0.6326326650431578,1.229192728311482,-1.1346990667899182,-0.49868197374317136,-0.5705367122203439,0.4183513291903966
18,1978,765.0,0.0,0.0,0.0,149091.0,265268.003,0.0,0.0,7361538.99883,6229490.0,25.69,-6.9,14.95,55.24,-0.8241738465528978,-0.3692612057646714,-0.5067601169103801,-0.5080296271452384,-0.10429022762626108,1.0333331267315746,-0.48988231296959706,-0.6817935288272073,-0.5486676643296972,0.33870245158704015
19,1979,1202.0,0.0,0.0,0.0,171608.0,356524.1370000001,0.0,0.0,7999621.090260001,5904945.2,30.99,15.64,25.1,82.51,-0.7775353098217062,-0.016629964540487145,-0.5067601169103801,-0.5080296271452384,0.7057590717696794,0.8616345544927325,0.6306189313739109,1.293007644184357,-0.14508432598412588,1.4468784170174116
20,1980,979.0,0.0,0.0,0.0,203073.0,385040.8211,0.0,0.0,7966294.778639997,5669128.8,24.36,-6.71,37.42,109.51,-0.7123631484215666,0.09356398373460542,-0.5067601169103801,-0.5080296271452384,0.6634511058483444,0.7368772353475674,-0.7710647007010817,-0.6651470238195677,0.34478234676636055,2.5440823431860964
21,1981,1145.0,0.0,0.0,0.0,245235.0,418837.56786,7.292789999999999,1.13406,7786476.104669997,5481765.6,32.18,6.38,35.75,94.83,-0.6250347305301733,0.22416110895709426,-0.5057582981165069,-0.50713065547333,0.4351701482347806,0.6377538048378176,0.8822031730283971,0.481709558022552,0.2783799649893059,1.947528504809937
22,1982,1027.0,0.0,0.0,0.0,260085.0,448800.88638000004,24.32703,3.7963,7302001.16219,5366716.8,26.68,0.83,31.83,79.5,-0.5942765358124846,0.3399451306745077,-0.5034182853406904,-0.5050202924027505,-0.1798738923388963,0.5768878944988072,-0.28058113713939486,-0.004543614569026633,0.12251329638687834,1.3245604978408285
23,1983,1107.0,0.0,0.0,0.0,264883.0,493047.98861999996,45.70289,7.15826,6722393.48769,5235520.8,25.75,3.52,29.08,70.34,-0.584338635593261,0.5109244380322415,-0.5004818593249677,-0.5023552598629473,-0.9156895451509319,0.507479400252567,-0.47719739322231236,0.23113585106545023,0.013168056933644765,0.9523239065924898
24,1984,1031.0,0.0,0.0,0.0,288637.0,515268.7098,54.56803000000001,8.57686,7060735.79078,5247689.2,26.18,-4.04,28.75,66.67,-0.5351379515983804,0.5967895754990548,-0.49926404503683963,-0.5012307327534741,-0.4861618256691974,0.5139170227516217,-0.3862888017001032,-0.4312198218701055,4.6628199256804146e-05,0.80318544699845
25,1985,1401.0,0.0,0.0,0.0,307224.0,574734.0456899999,58.50765,9.228769999999999,6924656.3251399975,5155219.8,29.89,8.61,26.92,60.27,-0.49663946235813267,0.8265750626281029,-0.49872285499068186,-0.5007139623686321,-0.6589155783357552,0.46499661498116146,0.398062069340353,0.6770869589016908,-0.07271765841871311,0.543107479314021
26,1986,1972.0,0.0,0.0,0.0,295721.0,615490.0159,61.83892,9.78918,7018350.48558,4869714.8,33.53,6.62,14.44,31.72,-0.520465153525646,0.9840639648256054,-0.49826523467068556,-0.5002697242201619,-0.539970241926418,0.3139518258887137,1.16761386734231,0.5027367222427284,-0.568946236010115,-0.6170840796532363
27,1987,2158.0,0.0,0.0,0.0,300667.0,640051.34829,67.59878,10.73926,6972153.4878199985,4554605.75014,30.36,15.83,17.75,37.62,-0.5102207069886973,1.0789736738738263,-0.4974739962011727,-0.49951659386899294,-0.5986176262869778,0.14724518335276762,0.4974272740274186,1.3096541491919966,-0.43733432961367746,-0.37732470319415345
28,1988,1235.0,3792.0,0.0,0.0,327354.0,658102.24899,67.80725,10.8112,7132908.5844800025,4424759.91622,20.96,-9.79,14.87,30.33,-0.45494502062971026,1.1487258235655444,-0.4974453584419669,-0.499459566884462,-0.39453800209328055,0.0785509867573335,-1.4898768197138983,-0.934995631311831,-0.5518486167501548,-0.6735697632596982
