Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,304.0,0.0,0.0,0.0,2580.5,114689.0246,0.0,0.0,51217.74165,218045.2,10.6,-13.28,2.91,23.72,-1.0423822232392816,-1.3693351001665994,0.0,0.0,-0.9843566540573289,1.7141831961658611,-1.3038515236678636,-1.1087609036695243,-1.0274010036085814,-0.9421815392587725
1,1961,231.0,0.0,0.0,0.0,2711.6000000000063,119410.83308,0.0,0.0,57374.10617000001,192084.4,13.3,-5.93,2.85,22.96,-1.0395230913547553,-1.3461855008560262,0.0,0.0,-0.9524423475193525,1.1471102955319996,-0.15282984665530636,-0.49610741185880886,-1.0297867179239248,-0.9730657979212983
2,1962,393.0,0.0,0.0,0.0,2842.699999999982,99458.87763999999,0.0,0.0,74386.14327999999,179968.2,11.18,-3.46,2.85,22.69,-1.0366639594702294,-1.4440039057859975,0.0,0.0,-0.8642527405849065,0.8824509368581537,-1.0565950152725736,-0.2902224969237794,-1.0297867179239248,-0.9840378371829851
3,1963,352.0,0.0,0.0,0.0,2998.0,100917.0832,0.0,0.0,77390.56958,193923.0,12.76,-10.81,2.91,22.9,-1.0332770549571326,-1.436854764822438,0.0,0.0,-0.84867793477257,1.1872716247323871,-0.3830341820578181,-0.9028759887344948,-1.0274010036085814,-0.97550402886834
4,1964,765.0,0.0,0.0,0.0,3078.0,109249.6864,0.0,0.0,80454.20135,165735.0,12.83,-2.61,3.0,23.3,-1.0315323520527688,-1.3960025307449557,0.0,0.0,-0.832796210565105,0.5715490382532616,-0.3531928793204554,-0.2193714128368259,-1.0238224321355667,-0.959249155888063
5,1965,913.0,0.0,0.0,0.0,3207.0,115545.43104000001,0.0,0.0,71865.39549,146728.4,18.02,25.59,3.01,23.0,-1.0287190186194821,-1.3651363983308582,0.0,0.0,-0.8773201795602366,0.15637971399562897,1.8593265664925702,2.131217494518572,-1.0234248130830095,-0.9714403106232706
6,1966,791.0,0.0,0.0,0.0,3409.0,107282.2662,0.0,0.0,69607.5601,139849.6,10.51,-6.39,3.1,23.01,-1.0243136437859632,-1.405648197124361,0.0,0.0,-0.8890246929162376,0.006123132192287073,-1.3422189129016153,-0.5344503514823365,-1.0198462416099945,-0.9710339387987637
7,1967,1074.0,0.0,0.0,0.0,3488.0,96635.05099999999,0.0,0.0,49135.51567,139478.4,13.95,4.82,3.12,22.53,-1.022590749667904,-1.457848274001144,0.0,0.0,-0.9951508164223376,-0.0019851487819238867,0.1242679644773456,0.3999504162997204,-1.01905100350488,-0.9905397863750959
8,1968,1017.0,0.0,0.0,0.0,3724.0,99898.65392000001,0.0,0.0,46311.7162,136323.2,13.68,4.16,3.18,21.99,-1.0174438761000306,-1.4418478156541301,0.0,0.0,-1.0097892611724146,-0.0709055370627145,0.00916579677609011,0.34493663336161534,-1.016665289189537,-1.0124838648984698
9,1969,1117.0,0.0,0.0,0.0,4036.0,107791.48084,0.0,0.0,46895.74296,135111.0,15.36,10.91,3.32,21.81,-1.0106395347730115,-1.4031516717085153,0.0,0.0,-1.0067616936876647,-0.0973841421191216,0.725357062472792,0.9075775952285987,-1.0110986224537357,-1.0197985577395943
10,1970,741.0,0.0,0.0,0.0,4448.0,109550.58596,0.0,0.0,42929.98052,135546.0,13.3,-0.34,3.39,21.04,-1.0016543148155377,-1.3945273111810468,0.0,0.0,-1.027320021212909,-0.08788225035246842,-0.15282984665530636,-0.03015734121637369,-1.0083152890858353,-1.0510891882266271
11,1971,984.0,0.0,0.0,0.0,4936.0,107073.95112,0.0,0.0,47428.56359,137054.0,13.66,3.82,3.6,21.42,-0.991011627098918,-1.4066695029762983,0.0,0.0,-1.0039995763925733,-0.054942358894737434,0.0006397102797009818,0.31659619972683384,-0.9999652889821338,-1.035647058895364
12,1972,1223.0,0.0,0.0,0.0,5604.0,111147.66824000001,0.0,0.0,43823.25457,154106.0,12.73,-3.15,3.6,20.74,-0.9764433578474797,-1.386697299649529,0.0,0.0,-1.0226893302001356,0.3175317983580669,-0.39582331180240177,-0.26438268978618457,-0.9999652889821338,-1.0632803429618347
13,1973,1111.0,0.0,0.0,0.0,6472.0,134315.335,0.0,0.0,47256.66746,189404.8,13.92,13.03,4.75,25.56,-0.9575133313351317,-1.2731132344070346,0.0,0.0,-1.0048906779132338,1.088578642249416,0.11147883473276192,1.084288534363118,-0.9542390979380544,-0.8674091235494992
14,1974,941.0,0.0,0.0,0.0,7348.0,142065.93138,0.0,0.0,55828.94757,228305.4,9.73,-12.57,9.35,45.6,-0.9384088345323474,-1.23511440379479,0.0,0.0,-0.9604523776353391,1.9383011499686535,-1.6747362862607982,-1.0495794099027749,-0.7713343337617363,-0.05303998723763094
15,1975,1074.0,0.0,0.0,0.0,8186.0,165908.12595,0.0,0.0,59420.36714,245345.8,13.67,8.99,12.21,54.61,-0.9201330716091359,-1.118223332647359,0.0,0.0,-0.9418346260887709,2.310521923441014,0.004902753527895546,0.7475374994086568,-0.6576152847303735,0.3131010266431041
16,1976,1130.0,0.0,0.0,0.0,9300.0,179079.51722,0.0,0.0,61884.3076,198963.2,9.18,-11.51,13.1,55.46,-0.895838083665869,-1.0536479836990083,0.0,0.0,-0.9290616736626591,1.2973668773353422,-1.9092036649115045,-0.9612239403355153,-0.6222271890527815,0.34764263172619236
17,1977,757.0,0.0,0.0,0.0,10381.0,198554.55766,0.0,0.0,65896.07272000001,192055.4,10.89,-21.48,14.4,57.2,-0.8722627856706523,-0.9581677488159517,0.0,0.0,-0.9082648703898663,1.1464768360808895,-1.1802232694702182,-1.792265479567193,-0.5705367122203439,0.4183513291903966
18,1978,734.0,0.0,0.0,0.0,11998.0,210600.13887,0.0,0.0,62182.12985,181934.4,17.1,12.39,14.95,55.24,-0.8369979782161976,-0.8991119061964159,0.0,0.0,-0.9275177770091305,0.9253994876434256,1.4671265876586628,1.0309418357564706,-0.5486676643296972,0.33870245158704015
19,1979,802.0,0.0,0.0,0.0,13709.0,280171.79790999996,0.0,0.0,64851.74528,160822.4,11.78,3.7,25.1,82.51,-0.7996831448491154,-0.558023097328036,0.0,0.0,-0.9136786151312482,0.4642410072351917,-0.8008124203808944,0.30659369373808754,-0.14508432598412588,1.4468784170174116
20,1980,821.0,0.0,0.0,0.0,15311.0,309778.12356,0.0,0.0,104187.66634,144872.4,17.33,17.54,37.42,109.51,-0.764745469189229,-0.4128722343146667,0.0,0.0,-0.7097630349890768,0.11583830912457543,1.5651765823671384,1.4602160511068356,0.34478234676636055,2.5440823431860964
21,1981,623.0,0.0,0.0,0.0,17320.0,319632.22794,0.0,0.0,108861.4203,149988.0,15.23,-5.09,35.75,94.83,-0.7209316175033914,-0.3645605399865721,0.0,0.0,-0.6855345124449762,0.22758055630041685,0.6699375002462619,-0.42608986993758424,0.2783799649893059,1.947528504809937
22,1982,1024.0,0.0,0.0,0.0,18365.0,396545.12734,0.0,0.0,98054.66522,130152.0,17.64,21.26,31.83,79.5,-0.6981414358151383,0.012520150699218701,0.0,0.0,-0.7415562267511254,-0.20570570825896775,1.6973309230611737,1.7702937367579734,0.12251329638687834,1.3245604978408285
23,1983,1394.0,0.0,0.0,0.0,19752.0,271784.902,0.0,0.0,75919.71376,171297.2,20.07,29.31,29.08,70.34,-0.6678926492107298,-0.5991415121469242,0.0,0.0,-0.8563027827425285,0.6930465609762004,2.7332504323724747,2.441295180169709,0.013168056933644765,0.9523239065924898
24,1984,1391.0,0.0,0.0,0.0,22147.0,285332.53381,0.0,0.0,88109.14846,201196.2,15.73,18.27,28.75,66.67,-0.6156606060113365,-0.5327215695895177,0.0,0.0,-0.7931133217746705,1.3461432550708283,0.8830896626559946,1.521064629205043,4.6628199256804146e-05,0.80318544699845
25,1985,1019.0,0.0,0.0,0.0,24083.0,301122.2322,0.0,0.0,96835.69132,236593.6,14.8,9.55,26.92,60.27,-0.573438795725731,-0.4553094524925313,0.0,0.0,-0.7478753305956121,2.119343861095952,0.4866266405738919,0.7942158606894731,-0.07271765841871311,0.543107479314021
26,1986,1413.0,0.0,0.0,0.0,24282.0,331530.08401,0.0,0.0,104635.17261,227197.6,15.01,7.04,14.44,31.72,-0.5690988472511258,-0.3062289490628821,0.0,0.0,-0.7074431833571518,1.9141029989362437,0.5761505487859793,0.5849967770915282,-0.568946236010115,-0.6170840796532363
27,1987,856.0,0.0,0.0,0.0,25100.0,383551.65932,0.0,0.0,116386.87841,207576.2,14.79,-2.59,17.75,37.62,-0.5512592600540053,-0.051182894350534636,0.0,0.0,-0.6465228885911567,1.485504334315075,0.48236359732569656,-0.2177043285053682,-0.43733432961367746,-0.37732470319415345
28,1988,593.0,0.0,0.0,0.0,27325.0,420402.97755999997,0.0,0.0,146704.55187999998,191492.8,11.18,-6.22,14.87,30.33,-0.5027347105263852,0.12948797676502077,0.0,0.0,-0.48935748334321444,1.134187722729351,-1.0565950152725736,-0.5202801346649459,-0.5518486167501548,-0.6735697632596982
29,1989,562.0,0.0,0.0,0.0,28668.0,459837.67243999994,0.0,0.0,161963.17927,164807.0,9.04,-19.47,18.33,35.6,-0.47344551051937683,0.32282436244720986,0.0,0.0,-0.4102574706179734,0.5512783358177349,-1.96888627038623,-1.6247235042556911,-0.4142724245653592,-0.45941181174455115
30,1990,508.0,0.0,0.0,0.0,31249.0,511405.9068,0.0,0.0,189348.27664,160103.2,12.15,-16.2,23.19,42.62,-0.41715703306733753,0.5756478235520393,0.0,0.0,-0.26829440309667096,0.44853121284765884,-0.6430798201976918,-1.3521552160623527,-0.22102956502255355,-0.17413879094069332
31,1991,627.0,0.0,0.0,0.0,33501.0,507978.69045,0.0,0.0,180438.40916,141908.6,13.51,-2.54,20.2,35.73,-0.3680436463094947,0.5588452180272286,0.0,0.0,-0.31448274055552344,0.051098753221112084,-0.063305938443219,-0.21353661767672388,-0.3399176617371603,-0.45412897802596136
32,1992,602.0,0.0,0.0,0.0,35602.0,492997.0509,0.0,0.0,204651.50573,131776.0,13.0,-8.7,19.25,33.04,-0.3222233862836386,0.4853947691013679,0.0,0.0,-0.18896317723885941,-0.1702319789967959,-0.2807211441011463,-0.7269985917657044,-0.37769147173009554,-0.5634429988183228
33,1993,860.0,0.0,0.0,0.0,38631.0,506837.07333000004,0.0,0.0,266161.44817,126561.8,15.64,13.9,16.75,27.94,-0.2561645725671617,0.5532482144625925,0.0,0.0,0.12990149553776847,-0.28412798830641184,0.8447222734222428,1.1568067027815292,-0.4770962348693988,-0.770692629316852
34,1994,750.0,0.0,0.0,0.0,42591.0,566914.42485,0.0,0.0,312008.18084,119833.8,13.12,-6.68,15.66,25.44,-0.1698017788011503,0.847789304220738,0.0,0.0,0.36756881940101427,-0.4310905809639809,-0.22956462512281078,-0.5586230742884737,-0.520436711598135,-0.8722855854435821
35,1995,969.0,0.0,0.0,0.0,46746.0,586398.14676,0.0,0.0,279414.51478,115930.4,15.55,14.87,16.75,26.48,-0.07918627170575195,0.943312101726311,0.0,0.0,0.1986047747191254,-0.5163542230834155,0.806354884188491,1.237660292857229,-0.4770962348693988,-0.8300229156948624
36,1996,1049.0,0.0,0.0,0.0,52016.0,640410.27204,0.0,0.0,278775.46749,112525.8,14.18,-4.11,20.46,31.4,0.035746032119217806,1.2081172210869502,0.0,0.0,0.19529198337302045,-0.5907223626437542,0.22231795918582284,-0.3444027376961556,-0.3295795663706727,-0.6300879780374578
37,1997,1344.0,0.0,0.0,0.0,55212.0,616383.97075,0.0,0.0,295689.99579,112038.6,16.8,16.4,18.64,27.98,0.1054469131485543,1.0903235303571206,0.0,0.0,0.2829761091842511,-0.6013644814224056,1.3392352902128228,1.3651922442137452,-0.40194623393608553,-0.7690671420188244
