Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,873.0,0.0,0.0,0.0,561.7000000000116,0.0,0.0,0.0,0.0,0.0,40.06,-2.53,2.91,23.72,-1.2201160738915773,0.0,0.0,0.0,0.0,0.0,-0.7919339867128257,-0.6077272561231946,-1.0274010036085814,-0.9421815392587725
1,1961,772.0,0.0,0.0,0.0,698.6000000000349,0.0,0.0,0.0,0.0,0.0,36.59,-8.64,2.85,22.96,-1.2066755873617405,0.0,0.0,0.0,0.0,0.0,-1.4028225326168569,-1.3134204710469857,-1.0297867179239248,-0.9730657979212983
2,1962,799.0,0.0,0.0,0.0,835.5,0.0,0.0,0.0,0.0,0.0,40.6,-0.27,2.85,22.69,-1.1932351008319098,0.0,0.0,0.0,0.0,0.0,-0.6968677576672416,-0.34670161525121956,-1.0297867179239248,-0.9840378371829851
3,1963,690.0,0.0,0.0,0.0,993.0,0.0,0.0,0.0,0.0,0.0,34.58,-13.58,2.91,22.9,-1.177772159791377,0.0,0.0,0.0,0.0,0.0,-1.7566801629531985,-1.8839809426874972,-1.0274010036085814,-0.97550402886834
4,1964,664.0,0.0,0.0,0.0,1090.0,0.0,0.0,0.0,0.0,0.0,35.24,-11.76,3.0,23.3,-1.1682489516584778,0.0,0.0,0.0,0.0,0.0,-1.6404881052308173,-1.67377445313573,-1.0238224321355667,-0.959249155888063
5,1965,714.0,0.0,0.0,0.0,1208.0,0.0,0.0,0.0,0.0,0.0,35.12,-10.68,3.01,23.0,-1.1566640180535073,0.0,0.0,0.0,0.0,0.0,-1.6616139339076146,-1.549036536258857,-1.0234248130830095,-0.9714403106232706
6,1966,840.0,0.0,0.0,0.0,1435.0,0.0,0.0,0.0,0.0,0.0,38.26,-3.48,3.1,23.01,-1.1343777474744539,0.0,0.0,0.0,0.0,0.0,-1.1088214168647734,-0.7174504237463699,-1.0198462416099945,-0.9710339387987637
7,1967,815.0,0.0,0.0,0.0,1505.0,0.0,0.0,0.0,0.0,0.0,40.43,-2.28,3.12,22.53,-1.1275053292342172,0.0,0.0,0.0,0.0,0.0,-0.7267960149593703,-0.5788527383276221,-1.01905100350488,-0.9905397863750959
8,1968,790.0,0.0,0.0,0.0,1628.0,0.0,0.0,0.0,0.0,0.0,41.86,-3.56,3.18,21.99,-1.1154295086120871,0.0,0.0,0.0,0.0,0.0,-0.475046556560879,-0.7266902694409532,-1.016665289189537,-1.0124838648984698
9,1969,904.0,0.0,0.0,0.0,1798.0,0.0,0.0,0.0,0.0,0.0,46.39,8.05,3.32,21.81,-1.098739350028655,0.0,0.0,0.0,0.0,0.0,0.322453475988188,0.6142423369854321,-1.0110986224537357,-1.0197985577395943
