Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price,GDP_scaled,CLPRB_scaled,EMFDB_scaled,ENPRP_scaled,NGMPB_scaled,PAPRB_scaled,PCP_scaled,ZNDX_scaled,OP_scaled,OP2_scaled
0,1960,34349.0,0.0,0.0,0.0,7037.399999999907,3713.6731200000004,0.0,0.0,0.0,5.8,42.38,0.13,2.91,23.72,-1.1109877909249708,-0.5351957944282419,-0.5689735679205808,-0.5939427813596935,0.0,7.637886862893555,-0.10653331180038139,0.0004828763999577704,-1.0274010036085814,-0.9421815392587725
1,1961,37360.0,0.0,0.0,0.0,8222.80000000028,3111.01564,0.0,0.0,0.0,0.0,48.75,5.43,2.85,22.96,-1.1024686759303706,-0.5464216239756206,-0.5689735679205808,-0.5939427813596935,0.0,-0.04876030923727315,1.001256901605763,0.724349925876818,-1.0297867179239248,-0.9730657979212983
2,1962,39553.0,0.0,0.0,0.0,9408.200000000186,3827.6894,0.0,0.0,0.0,0.0,40.23,-0.71,2.85,22.69,-1.0939495609357734,-0.5330719888381974,-0.5689735679205808,-0.5939427813596935,0.0,-0.04876030923727315,-0.480434247251436,-0.11424322200769554,-1.0297867179239248,-0.9840378371829851
3,1963,43117.0,0.0,0.0,0.0,11171.0,3094.7276,0.0,0.0,0.0,0.0,39.34,-3.35,2.91,22.9,-1.0812808449643925,-0.5467250247741985,-0.5689735679205808,-0.5939427813596935,0.0,-0.04876030923727315,-0.6352118437869874,-0.47481095986032035,-1.0274010036085814,-0.97550402886834
4,1964,47036.0,0.0,0.0,0.0,11392.0,1107.58672,0.0,0.0,0.0,0.0,45.11,6.09,3.0,23.3,-1.079692584112523,-0.5837399222006902,-0.5689735679205808,-0.5939427813596935,0.0,-0.04876030923727315,0.36823392251653736,0.8144918603399742,-1.0238224321355667,-0.959249155888063
5,1965,49295.0,0.0,0.0,0.0,12330.0,895.8422,0.0,0.0,0.0,0.0,36.53,-8.67,3.01,23.0,-1.0729514588679367,-0.5876841325822016,-0.5689735679205808,-0.5939427813596935,0.0,-0.04876030923727315,-1.123891671050923,-1.2014095831087914,-1.0234248130830095,-0.9714403106232706
6,1966,52821.0,989.0,0.0,0.0,14270.0,960.9943599999999,0.0,0.0,0.0,0.0,41.66,-2.74,3.1,23.01,-1.0590092595347838,-0.5864705293878903,-0.5689735679205808,-0.5939427813596935,0.0,-0.04876030923727315,-0.23174664832352598,-0.3914979598261911,-1.0198462416099945,-0.9710339387987637
7,1967,58899.0,2015.0,0.0,0.0,15659.0,960.9943599999999,0.0,0.0,0.0,0.0,42.83,-4.42,3.12,22.53,-1.0490269322802739,-0.5864705293878903,-0.5689735679205808,-0.5939427813596935,0.0,-0.04876030923727315,-0.028274976473417417,-0.6209501566414978,-1.01905100350488,-0.9905397863750959
8,1968,64336.0,3903.0,0.0,0.0,17014.0,2899.27112,0.0,0.0,0.0,0.0,49.96,10.12,3.18,21.99,-1.0392889528491285,-0.550365834357132,-0.5689735679205808,-0.5939427813596935,0.0,-0.04876030923727315,1.2116848699293796,1.3649039753195489,-1.016665289189537,-1.0124838648984698
9,1969,67541.0,3667.0,0.0,0.0,18091.0,944.7063199999999,0.0,0.0,0.0,0.0,37.24,-6.95,3.32,21.81,-1.0315488762090224,-0.5867739301864682,-0.5689735679205808,-0.5939427813596935,0.0,-0.04876030923727315,-1.0004174086461564,-0.9664942387502632,-1.0110986224537357,-1.0197985577395943
10,1970,69525.0,2614.0,0.0,0.0,18112.0,602.65748,0.0,0.0,0.0,0.0,42.24,-4.34,3.39,21.04,-1.0313979554945913,-0.593145346956602,-0.5689735679205808,-0.5939427813596935,0.0,-0.04876030923727315,-0.13088034945765942,-0.6100238615550546,-1.0083152890858353,-1.0510891882266271
11,1971,71589.0,2553.0,0.0,0.0,18761.0,18470.63736,0.0,0.0,0.0,0.0,48.87,9.64,3.6,21.42,-1.0267337867486037,-0.26031467091675403,-0.5689735679205808,-0.5939427813596935,0.0,-0.04876030923727315,1.0221257910262866,1.2993462048008901,-0.9999652889821338,-1.035647058895364
12,1972,75883.0,2919.0,0.0,0.0,20483.0,42902.69736000001,0.0,0.0,0.0,0.0,49.95,11.6,3.6,20.74,-1.0143582881652586,0.19478652694994808,-0.5689735679205808,-0.5939427813596935,0.0,-0.04876030923727315,1.209945795811003,1.5670404344187479,-0.9999652889821338,-1.0632803429618347
13,1973,69016.0,4432.0,0.0,0.0,23342.0,52974.0,0.0,0.0,0.0,0.0,41.42,-4.63,4.75,25.56,-0.9938115109005763,0.38238683144912133,-0.5689735679205808,-0.5939427813596935,0.0,-0.04876030923727315,-0.27348442716457294,-0.6496316812434111,-0.9542390979380544,-0.8674091235494992
14,1974,82491.0,3889.0,0.0,0.0,26240.0,63390.6,0.0,0.0,0.0,0.0,47.3,4.63,9.35,45.6,-0.9729844523090933,0.576419063594028,-0.5689735679205808,-0.5939427813596935,0.0,-0.04876030923727315,0.7490911544410986,0.6150869750123863,-0.7713343337617363,-0.05303998723763094
