,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
0,1960.0,2399.0,0.0,0.0,0.0,9537.800000000047,0.0,0.0,0.0,0.0,0.0,33.91,7.92,2.91,23.72
1,1961.0,2017.0,0.0,0.0,0.0,10599.000000000233,0.0,0.0,0.0,0.0,0.0,31.7,4.02,2.85,22.96
2,1962.0,2137.0,0.0,0.0,0.0,11660.200000000186,0.0,0.0,0.0,0.0,0.0,28.76,-0.15,2.85,22.69
3,1963.0,1551.0,0.0,0.0,0.0,12742.0,0.0,0.0,0.0,0.0,0.0,23.98,-17.51,2.91,22.9
4,1964.0,1532.0,0.0,0.0,0.0,13719.0,0.0,0.0,0.0,0.0,0.0,28.33,-11.77,3.0,23.3
5,1965.0,2131.0,0.0,0.0,0.0,14784.0,0.0,0.0,0.0,0.0,0.0,38.17,15.43,3.01,23.0
6,1966.0,2052.0,0.0,0.0,0.0,16133.0,0.0,0.0,0.0,0.0,0.0,26.97,-5.44,3.1,23.01
7,1967.0,2072.0,0.0,0.0,0.0,16841.0,0.0,0.0,0.0,0.0,0.0,31.27,5.41,3.12,22.53
8,1968.0,2391.0,0.0,0.0,0.0,18226.0,0.0,0.0,0.0,0.0,0.0,38.25,13.6,3.18,21.99
9,1969.0,2158.0,0.0,0.0,0.0,19521.0,0.0,0.0,0.0,0.0,0.0,28.47,-3.05,3.32,21.81
10,1970.0,1904.0,157.0,0.0,0.0,20193.0,0.0,0.0,0.0,0.0,0.0,32.4,1.29,3.39,21.04
11,1971.0,2230.0,3469.0,0.0,0.0,22083.0,0.0,0.0,0.0,0.0,0.0,32.55,4.91,3.6,21.42
12,1972.0,2413.0,3294.0,0.0,0.0,24064.0,0.0,0.0,0.0,0.0,0.0,35.97,12.63,3.6,20.74
13,1973.0,2444.0,5952.0,0.0,0.0,27037.0,0.0,0.0,0.0,0.0,0.0,35.48,4.89,4.75,25.56
14,1974.0,2020.0,8256.0,0.0,0.0,28694.0,0.0,0.0,0.0,0.0,0.0,28.99,-0.56,9.35,45.6
