,HYTCP,WYTCP,SOEGP,NUETP,
1960,2990,0,0,0,
1961,2934,0,0,0,
1962,2923,0,0,0,
1963,2942,0,0,0,4482
1964,2885,0,0,0,4817
1965,4439,0,0,0,5028
1966,5221,0,0,0,5527
1967,5008,0,0,0,5783
1968,5704,0,0,0,6593
1969,6074,0,0,0,7563
1970,6154,0,0,0,8569
1971,6643,0,0,0,9649
1972,6784,0,0,0,11292
1973,7197,0,0,0,13330
1974,7400,0,0,0,14611
1975,7254,0,0,0,15284
1976,7579,0,0,0,16970
1977,6597,0,0,0,19609
1978,7021,0,0,0,23279
1979,7256,0,0,0,27495
1980,9836,0,0,0,30764
1981,6803,0,0,0,34269
1982,7015,0,0,0,35794
1983,14482,0,0,0,39774
1984,15679,0,0,0,46135
1985,13987,1130,0,0,50709
1986,14461,9976,0,0,55881
1987,10135,13458,0,0,60047
1988,7786,22940,0,0,64945
1989,7877,7850,0,0,67895
1990,7418,20598,0,0,70632
1991,6736,25096,0,0,73358
1992,6621,25609,0,0,82682
1993,6697,22049,0,0,89300
1994,7365,23171,0,0,100374
1995,8288,26985,0,0,109906
1996,9214,28840,0,0,119530
1997,12049,29314,0,0,129279
1998,10970,30301,0,0,143768
1999,9759,30416,0,0,156145
2000,8354,30381,0,0,165912
2001,7624,28724,0,0,172288
2002,7427,30862,0,0,179605
2003,7075,28581,0,0,192685
2004,6973,28113,4,0,204136
2005,6410,25807,14,0,227358
2006,6793,24012,13,0,248459
2007,6598,26782,9,0,262045
2008,7286,29250,15,0,256718
2009,6427,30662,14,30,242509
2010,6622,31200,16,135,245668
2011,9174,31278,81,256,254192
2012,6717,31934,951,532,264693
2013,5915,31431,2092,450,270642
2014,6118,32321,3118,468,280166
,,,,,290903
