,HYTCP,WYTCP,SOEGP,NUETP,
1960,17445,0,0,0,
1961,15368,5,0,0,
1962,22835,7,0,0,
1963,25334,193,0,0,67809
1964,22098,367,0,0,73513
1965,30523,270,0,0,78253
1966,26236,163,0,0,84627
1967,35277,563,0,0,89571
1968,27175,1505,0,0,98721
1969,40418,2458,0,0,106629
1970,38082,3132,0,0,111985
1971,39018,3519,0,0,120372
1972,31755,3175,0,0,133143
1973,38754,2631,0,0,147231
1974,46422,3698,0,0,161815
1975,40103,6071,0,0,178394
1976,23193,4807,0,0,197347
1977,14251,8115,0,0,229592
1978,37206,7659,0,0,262803
1979,33920,8762,0,0,293491
1980,40780,4920,0,0,327958
1981,29764,3206,0,0,368808
1982,50226,3735,0,0,393788
1983,56885,5613,0,1,426143
1984,43159,14144,5,4,482166
1985,31717,19729,11,3,523906
1986,41459,26215,14,3,563082
1987,24564,30387,10,4,615359
1988,23474,30863,9,1,671575
1989,30801,32519,250,2079,722979
1990,23793,32693,367,2759,773460
1991,21957,31542,471,2915,790046
1992,20167,35244,399,2864,807358
1993,40493,31581,462,2984,826447
1994,23013,33752,486,3387,861360
1995,48033,30246,497,3087,911577
1996,44751,34097,521,3079,964186
1997,41055,30512,511,3137,1037091
1998,49548,34594,502,2758,1151119
1999,40737,33372,495,3230,1248006
2000,38334,35176,493,3518,1362995
2001,25542,33220,542,3500,1376163
2002,31141,34352,554,3803,1431267
2003,36371,35594,534,3895,1523473
2004,34141,30268,571,4306,1645084
2005,39632,36155,537,4262,1766693
2006,48047,31959,495,4883,1879520
2007,27328,35792,557,5585,1956523
2008,24128,32482,670,5385,1983926
2009,27888,31764,647,5840,1912115
2010,33431,32201,765,6079,1965886
2011,42557,36663,861,7752,2036297
2012,26837,18507,1328,9754,2131199
2013,23755,17912,3727,12822,2223958
2014,16531,16986,9834,12992,2350807
,,,,,2481348
