,HYTCP,WYTCP,SOEGP,NUETP,
1960,3,0,0,0,
1961,5,0,0,0,
1962,6,0,0,0,
1963,4,0,0,0,5137
1964,5,0,0,0,5553
1965,3,0,0,0,6037
1966,2,0,0,0,6454
1967,2,0,0,0,7183
1968,1,0,0,0,7749
1969,0,0,0,0,8096
1970,1,0,0,0,8559
1971,1,0,0,0,9180
1972,1,0,0,0,9896
1973,1,0,0,0,10400
1974,1,0,0,0,11424
1975,1,0,0,0,12712
1976,1,0,0,0,13945
1977,0,0,0,0,15581
1978,0,0,0,0,16953
1979,0,0,0,0,18417
1980,0,0,0,0,19862
1981,0,0,0,0,21740
1982,0,0,0,0,22958
1983,0,0,0,0,24573
1984,0,0,0,0,26584
1985,0,0,0,0,28534
1986,0,0,0,0,30079
1987,0,0,0,0,32129
1988,0,0,0,0,35226
1989,0,0,0,0,37469
1990,0,0,0,0,39688
1991,0,0,0,0,41430
1992,0,0,0,0,43187
1993,0,0,0,0,45356
1994,0,0,0,0,46655
1995,0,0,0,0,47094
1996,0,0,0,0,47823
1997,0,0,0,0,49702
1998,0,0,0,0,53802
1999,0,0,0,0,57728
2000,0,0,0,0,60059
2001,0,0,0,0,64888
2002,0,0,0,0,69060
2003,0,0,0,0,72780
2004,0,0,0,0,79040
2005,0,0,0,0,83586
2006,0,0,0,0,87496
2007,0,0,0,0,92846
2008,0,0,0,0,97372
2009,0,0,0,0,98415
2010,0,0,0,0,103831
2011,0,0,0,0,107738
2012,0,0,0,0,109685
2013,0,0,0,0,111901
2014,0,0,0,0,116446
,,,,,122146
