,HYTCP,WYTCP,SOEGP,NUETP,
1960,2030,0,0,0,
1961,1788,0,0,0,
1962,1705,0,0,0,
1963,1369,122,0,0,30466
1964,1545,192,0,0,32575
1965,1813,181,0,0,37000
1966,1820,343,0,0,39260
1967,1970,502,0,0,40025
1968,1913,426,0,0,44727
1969,1891,401,0,0,47894
1970,1704,375,0,0,46178
1971,1776,388,0,0,51704
1972,1793,2125,0,0,56579
1973,1054,2980,0,0,62907
1974,1182,416,0,0,63034
1975,1110,7176,0,0,67046
1976,1050,9901,0,0,78770
1977,931,10231,0,0,89326
1978,1085,13104,0,0,99335
1979,1306,15139,0,0,105413
1980,1200,15891,0,0,104134
1981,1240,17066,0,0,114676
1982,1211,15003,0,0,115166
1983,1229,16383,0,0,127754
1984,1071,14078,0,0,143678
1985,997,13452,0,0,153605
1986,721,12257,0,0,163458
1987,481,14389,0,0,169237
1988,600,17808,0,0,180621
1989,749,21312,0,0,190626
1990,1628,21610,0,0,193103
1991,1752,27021,0,0,197717
1992,1782,18849,0,0,212057
1993,1762,28525,0,0,226368
1994,1660,14144,0,0,251484
1995,1597,24448,0,0,256615
1996,1784,26829,0,0,270320
1997,1712,21914,0,0,286408
1998,1397,12494,0,0,313403
1999,1458,14591,0,0,337639
2000,1428,18882,0,0,351621
2001,1562,26711,0,0,350578
2002,1669,31087,0,0,364465
2003,1386,27954,0,3,376269
2004,1540,30562,0,2,382666
2005,1462,32872,0,2,395166
2006,1520,29066,0,2,395550
2007,1270,31517,0,3,401522
2008,1364,31484,0,141,384270
2009,1372,21851,0,300,363146
2010,1251,29625,0,360,385021
2011,1357,32889,0,456,399437
2012,1215,28020,0,1132,416701
2013,1419,28921,0,2800,430538
2014,1600,31246,0,3868,447961
,,,,,468334
