,HYTCP,WYTCP,SOEGP,NUETP,
1960,4998,0,0,0,
1961,4721,0,0,0,
1962,5491,0,0,0,
1963,4363,0,0,0,12639
1964,5989,0,0,0,13482
1965,5385,0,0,0,14544
1966,4379,0,0,0,15966
1967,5036,0,0,0,17155
1968,4722,0,0,0,18962
1969,4955,0,0,0,20882
1970,4374,0,0,0,22840
1971,5917,0,0,0,25035
1972,6438,0,0,0,28005
1973,7113,0,0,0,31755
1974,6890,0,0,0,33607
1975,7055,1405,0,0,35998
1976,5652,2511,0,0,40454
1977,5287,5664,0,0,43822
1978,5482,9917,0,0,49867
1979,7917,6809,0,0,54515
1980,5486,5775,0,0,58791
1981,2930,6246,0,0,65869
1982,5408,9126,0,0,68971
1983,6142,12363,0,0,77543
1984,6369,20232,0,0,88151
1985,4094,19303,0,0,96535
1986,2521,20286,0,0,104785
1987,5101,28600,0,0,113262
1988,2893,29146,0,0,124303
1989,6996,29212,0,0,133866
1990,6819,25905,0,0,139658
1991,5850,30312,0,0,146367
1992,5768,22754,0,0,159337
1993,4987,23759,0,0,168006
1994,7192,32346,0,0,181288
1995,5521,35910,0,0,193467
1996,5952,33718,0,0,203815
1997,5626,32453,0,0,221259
1998,5738,38778,0,0,247372
1999,3684,37524,0,0,265463
2000,3138,39127,0,0,277141
2001,2596,37775,0,0,290541
2002,3492,39627,0,0,300834
2003,7201,40907,0,0,312441
2004,5435,40091,0,0,332545
2005,5397,39982,0,0,357168
2006,3839,39963,0,0,386914
2007,2984,40045,0,0,397063
2008,3034,39776,2,0,415095
2009,5171,40848,5,0,407846
2010,4757,40740,11,0,416008
2011,3893,40527,17,0,427974
2012,3728,39386,138,0,438350
2013,6901,40242,297,0,454063
2014,4756,40967,652,0,473471
,,,,,495402
