,HYTCP,WYTCP,SOEGP,NUETP,
1960,959,0,0,0,
1961,928,0,0,0,
1962,975,0,0,0,
1963,1014,75,0,0,4262
1964,1003,91,0,0,4400
1965,1116,-5,0,0,4749
1966,1162,0,0,0,5205
1967,1163,0,0,0,5486
1968,1254,0,0,0,5823
1969,1238,0,0,0,6537
1970,1371,0,0,0,6907
1971,1359,0,0,0,7660
1972,1372,0,0,0,8487
1973,1371,599,0,0,9961
1974,1294,3996,0,0,10440
1975,1213,5916,0,0,11875
1976,1276,5824,0,0,13042
1977,1221,7452,0,0,13874
1978,1187,7725,0,0,15851
1979,1246,8658,0,0,17423
1980,1336,5783,0,0,18294
1981,1197,5988,0,0,20863
1982,1212,8753,0,0,21265
1983,1346,6082,0,0,21820
1984,1345,5780,0,0,24631
1985,1441,4134,0,0,25717
1986,1678,7658,0,0,26045
1987,1567,8589,0,0,26760
1988,1350,6828,0,0,29262
1989,1158,8077,0,0,31332
1990,1140,7511,0,0,33734
1991,1045,8048,0,0,35613
1992,1075,8748,0,0,38214
1993,1002,6805,0,0,39353
1994,1312,6345,0,0,43504
1995,1426,7485,0,0,45111
1996,1602,9457,0,0,49007
1997,1672,9269,0,0,50308
1998,1683,8259,0,0,52399
1999,1719,10091,0,0,54223
2000,1501,8629,0,0,57235
2001,1124,8726,0,3,59846
2002,1097,10122,0,8,61940
2003,980,7997,0,38,66931
2004,913,10241,0,38,70644
2005,871,8802,0,97,73455
2006,893,9003,0,261,77547
2007,347,11042,0,217,81926
2008,346,9479,0,214,84873
2009,434,9435,0,383,86961
2010,1314,11054,0,422,92231
2011,1617,6933,0,1051,99935
2012,1257,5802,0,1284,101973
2013,1124,6865,0,1802,106735
2014,1158,10102,0,2737,111297
,,,,,113282
