,HYTCP,WYTCP,SOEGP,NUETP,
1960,1967,0,0,0,
1961,1748,0,0,0,
1962,1972,0,0,0,
1963,1804,0,0,0,1819
1964,1617,0,0,0,1933
1965,1595,0,0,0,2032
1966,1801,0,0,0,2131
1967,1732,0,0,0,2248
1968,1750,0,0,0,2549
1969,1701,0,0,0,2947
1970,1646,0,0,0,3262
1971,1678,0,0,0,3611
1972,1563,0,0,0,3990
1973,1669,0,0,0,4530
1974,1600,0,0,0,4966
1975,1690,0,0,0,5529
1976,1555,0,0,0,6263
1977,1617,0,0,0,7416
1978,1666,0,0,0,8932
1979,1716,0,0,0,10295
1980,2372,0,0,0,11633
1981,1729,0,0,0,13203
1982,1420,0,0,0,13885
1983,4094,0,0,0,15060
1984,5613,0,0,0,16514
1985,4344,0,0,0,17945
1986,4584,0,0,0,19731
1987,2526,0,0,0,21951
1988,2091,0,0,0,24987
1989,1859,0,0,0,27847
1990,1735,0,0,0,30980
1991,2365,0,0,0,32786
1992,1986,0,0,0,36052
1993,1972,0,0,0,40039
1994,1876,0,0,0,45173
1995,1942,0,0,0,49249
1996,2164,0,0,0,54419
1997,2587,0,0,0,59467
1998,3166,0,0,0,64707
1999,2828,0,0,0,71428
2000,2429,0,0,0,77006
2001,2514,0,0,0,81363
2002,2268,0,0,0,85647
2003,1757,0,0,0,91846
2004,1615,0,0,0,105062
2005,1702,0,0,0,118785
2006,2058,0,0,0,128311
2007,2003,0,44,0,132167
2008,1751,0,156,0,128363
2009,2461,0,174,0,120202
2010,2157,0,215,0,121713
2011,2191,0,258,0,124445
2012,2440,0,438,129,125440
2013,2682,0,711,251,128321
2014,2389,0,980,300,133784
,,,,,139724
