,HYTCP,WYTCP,SOEGP,NUETP,
1960,12466,0,0,0,
1961,12493,0,0,0,
1962,13313,0,0,0,
1963,13636,0,0,0,5707
1964,15005,0,0,0,6164
1965,16508,0,0,0,6725
1966,16719,0,0,0,7267
1967,17861,0,0,0,7639
1968,20447,0,0,0,8528
1969,27898,0,0,0,9353
1970,29912,0,0,0,9798
1971,34364,0,0,0,10864
1972,36478,0,0,0,12221
1973,28150,0,0,0,14180
1974,36004,0,0,0,15424
1975,34562,2,0,0,16823
1976,35384,2103,0,0,19758
1977,24385,6492,0,0,22047
1978,31911,1563,0,0,25391
1979,29866,4495,0,0,28372
1980,30222,5395,0,0,30001
1981,32160,6424,0,0,31590
1982,45223,4792,0,0,31594
1983,45077,3685,0,0,33727
1984,46635,4736,0,0,37444
1985,40780,6911,0,0,39446
1986,40771,7081,0,0,41730
1987,35459,4348,0,0,44594
1988,34674,6339,0,0,49138
1989,38007,5299,0,0,52610
1990,41240,6074,0,1,56566
1991,41088,1465,0,1,59441
1992,31719,4573,0,1,63392
1993,35864,-21,0,0,69409
1994,31220,0,0,0,75393
1995,40764,0,0,0,81554
1996,44906,0,0,0,93306
1997,46704,0,0,0,100363
1998,39902,0,0,20,105526
1999,45639,0,0,85,107742
2000,38116,0,0,67,117557
2001,28645,0,0,89,116653
2002,34413,0,0,376,121204
2003,33250,0,0,444,127622
2004,33081,0,0,619,142328
2005,30948,0,0,734,147535
2006,37850,0,0,931,163564
2007,33587,0,0,1247,170941
2008,33805,0,0,2575,180934
2009,33034,0,0,3470,181022
2010,30542,0,0,3920,191120
2011,42315,0,0,4775,199929
2012,39410,0,6,6343,196973
2013,33098,0,20,7456,197470
2014,35262,0,24,7555,203606
,,,,,217629
