,HYTCP,WYTCP,SOEGP,NUETP,
1960,3611,0,0,0,
1961,3238,0,0,0,
1962,3067,0,0,0,
1963,2674,0,0,0,5057
1964,4355,39,0,0,5544
1965,3517,75,0,0,6211
1966,2611,73,0,0,6941
1967,2654,8,0,0,7381
1968,2702,0,0,0,8170
1969,3089,0,0,0,8874
1970,2293,7,0,0,9556
1971,3485,2414,0,0,10551
1972,3347,4829,0,0,11897
1973,3908,6166,0,0,13761
1974,3455,11057,0,0,15312
1975,4413,19458,0,0,16030
1976,3414,17850,0,0,18177
1977,3050,17239,0,0,20103
1978,3207,19457,0,0,22976
1979,3959,18220,0,0,25507
1980,3025,17404,0,0,27607
1981,1257,17327,0,0,31048
1982,2429,13156,0,0,32353
1983,3098,25581,0,0,35850
1984,3177,23235,0,0,41203
1985,1835,31826,0,0,43988
1986,1266,35625,0,0,47748
1987,2209,39290,0,0,52688
1988,680,40746,0,0,57329
1989,2041,40780,0,0,61347
1990,3298,42881,0,0,65157
1991,3111,43108,0,0,68000
1992,3310,45537,0,0,71848
1993,2950,46189,0,0,76158
1994,3035,44466,0,0,82062
1995,3457,49173,0,0,87248
1996,3041,43571,0,0,90755
1997,2958,44916,0,0,96465
1998,3569,48759,0,0,104039
1999,1687,50814,0,0,110707
2000,1533,50888,0,0,115809
2001,1225,49870,0,0,120008
2002,1390,53326,0,0,124902
2003,3665,50418,0,0,131519
2004,2447,51201,0,0,136369
2005,2938,53138,0,0,143585
2006,1807,50797,0,0,151084
2007,1556,53200,0,0,160145
2008,1123,51763,0,0,162266
2009,2332,52150,0,0,160439
2010,2376,51988,0,0,164106
2011,1554,52903,0,0,170193
2012,1420,51145,0,0,174567
2013,3160,54252,0,0,181374
2014,2569,52419,5,0,190773
,,,,,201005
