,HYTCP,WYTCP,SOEGP,NUETP,
1960,1156,0,0,0,
1961,1142,0,0,0,
1962,1502,0,0,0,
1963,2909,0,0,0,1610
1964,3094,0,0,0,1597
1965,3872,0,0,0,1763
1966,4849,9,0,0,1919
1967,4930,67,0,0,1960
1968,5645,-3,0,0,2093
1969,6350,0,0,0,2273
1970,6579,0,0,0,2437
1971,7778,0,0,0,2656
1972,7432,0,0,0,3046
1973,4837,0,0,0,3958
1974,5661,0,0,0,3966
1975,7927,0,0,0,4400
1976,7052,0,0,0,4645
1977,5294,0,0,0,5116
1978,6831,0,0,0,5971
1979,6359,0,0,0,6716
1980,5818,0,0,0,6760
1981,5306,0,0,0,7661
1982,5426,0,0,0,7709
1983,5526,0,0,0,8123
1984,5722,0,0,0,9194
1985,5333,0,0,0,9588
1986,5736,0,0,0,10067
1987,5386,0,0,0,10669
1988,5286,0,0,0,11173
1989,4583,0,0,0,11790
1990,3934,0,0,0,12770
1991,3828,0,0,0,13736
1992,3612,0,0,0,14886
1993,2591,0,0,0,16105
1994,5129,0,0,0,17330
1995,6010,0,0,0,18054
1996,7978,0,0,0,19419
1997,9012,0,0,0,19765
1998,5758,0,0,0,20328
1999,6677,0,0,0,21194
2000,5716,0,0,0,22875
2001,3432,0,0,1,23951
2002,4354,0,0,6,26793
2003,4276,0,0,44,28118
2004,3598,0,0,158,30261
2005,3075,0,0,158,31380
2006,3397,0,0,149,32520
2007,2917,0,0,150,35165
2008,2993,0,0,145,37246
2009,4432,0,0,421,36687
2010,5239,0,0,1372,38176
2011,6608,0,0,2668,42253
2012,5981,0,0,2915,43056
2013,4063,0,0,2688,44668
2014,5498,0,0,2336,45588
,,,,,47244
