,HYTCP,WYTCP,SOEGP,NUETP,
1960,304,0,0,0,
1961,231,0,0,0,
1962,393,0,0,0,
1963,352,0,0,0,2998
1964,765,0,0,0,3078
1965,913,0,0,0,3207
1966,791,0,0,0,3409
1967,1074,0,0,0,3488
1968,1017,0,0,0,3724
1969,1117,0,0,0,4036
1970,741,0,0,0,4448
1971,984,0,0,0,4936
1972,1223,0,0,0,5604
1973,1111,0,0,0,6472
1974,941,0,0,0,7348
1975,1074,0,0,0,8186
1976,1130,0,0,0,9300
1977,757,0,0,0,10381
1978,734,0,0,0,11998
1979,802,0,0,0,13709
1980,821,0,0,0,15311
1981,623,0,0,0,17320
1982,1024,0,0,0,18365
1983,1394,0,0,0,19752
1984,1391,0,0,0,22147
1985,1019,0,0,0,24083
1986,1413,0,0,0,24282
1987,856,0,0,0,25100
1988,593,0,0,0,27325
1989,562,0,0,0,28668
1990,508,0,0,0,31249
1991,627,0,0,0,33501
1992,602,0,0,0,35602
1993,860,0,0,0,38631
1994,750,0,0,0,42591
1995,969,0,0,0,46746
1996,1049,0,0,0,52016
1997,1344,0,0,0,55212
1998,1315,0,0,0,61717
1999,1255,0,0,0,65851
2000,746,0,0,0,70172
2001,508,0,0,0,73507
2002,458,0,0,0,76063
2003,421,0,0,0,79610
2004,450,0,0,0,85690
2005,784,0,0,0,94475
2006,747,0,0,0,106312
2007,539,0,0,0,115982
2008,668,0,0,24,116117
2009,835,0,0,160,113194
2010,696,0,0,448,117714
2011,1230,0,0,573,124031
2012,748,0,2,704,128018
2013,505,0,2,540,133264
2014,633,0,2,660,140296
,,,,,147503
