,HYTCP,WYTCP,SOEGP,NUETP,
1960,938,0,0,0,
1961,1042,0,0,0,
1962,1039,0,0,0,
1963,801,0,0,0,4617
1964,904,0,0,0,4892
1965,828,0,0,0,5208
1966,767,0,0,0,5570
1967,1050,0,0,0,5825
1968,957,0,0,0,6091
1969,952,0,0,0,6381
1970,996,0,0,0,7088
1971,1146,0,0,0,7602
1972,1246,0,0,0,8391
1973,1176,0,0,0,9187
1974,1148,0,0,0,10684
1975,1063,0,0,0,11973
1976,1026,0,0,0,13249
1977,943,0,0,0,14439
1978,925,0,0,0,15957
1979,1232,0,0,0,17424
1980,1114,0,0,0,18408
1981,1090,0,0,0,19837
1982,1118,0,0,0,20511
1983,1109,0,0,0,20403
1984,1138,0,0,0,22172
1985,1058,0,0,0,22936
1986,1051,0,0,0,22880
1987,1005,0,0,0,23425
1988,988,0,0,0,25876
1989,1307,0,0,0,26663
1990,1295,0,0,0,27754
1991,1065,0,0,0,29092
1992,1271,0,0,0,30410
1993,1114,0,0,0,31881
1994,1146,0,0,0,34592
1995,1193,0,0,0,36149
1996,1425,0,0,0,37224
1997,1139,0,0,0,38570
1998,1086,0,0,0,39881
1999,930,0,0,0,41854
2000,1151,0,0,0,42703
2001,952,0,0,0,44057
2002,1066,0,0,9,45410
2003,1356,0,0,170,46671
2004,1318,0,0,161,49519
2005,1448,0,0,154,53453
2006,1572,0,0,174,56871
2007,1254,0,0,168,58873
2008,1248,0,0,392,62581
2009,1646,0,0,742,63866
2010,1367,0,0,939,67255
2011,1453,0,0,1103,70945
2012,1431,0,0,1286,70969
2013,1739,0,0,1387,72120
2014,1242,0,0,1451,74148
,,,,,74321
