,HYTCP,WYTCP,SOEGP,NUETP,
1960,609,0,0,0,
1961,633,0,0,0,
1962,975,0,0,0,
1963,879,0,0,0,1353
1964,874,0,0,0,1405
1965,884,0,0,0,1448
1966,923,0,0,0,1509
1967,789,0,0,0,1541
1968,959,0,0,0,1671
1969,1097,0,0,0,1801
1970,1006,0,0,0,1943
1971,1312,0,0,0,2100
1972,1172,0,0,0,2356
1973,1209,0,0,0,2844
1974,1411,0,0,0,3470
1975,1120,0,0,0,3983
1976,1043,0,0,0,4722
1977,762,0,0,0,5540
1978,982,0,0,0,6689
1979,1053,0,0,0,8063
1980,1108,0,0,0,10428
1981,841,0,0,0,12703
1982,850,0,0,0,12422
1983,1150,0,0,1,11578
1984,1286,0,0,3,12152
1985,1068,0,0,3,12205
1986,1140,0,0,1,10522
1987,768,0,0,0,10370
1988,789,0,0,0,10991
1989,680,0,0,0,11437
1990,645,0,0,0,12705
1991,736,0,0,0,12977
1992,636,0,0,0,13179
1993,787,0,0,0,13791
1994,897,0,0,0,14070
1995,799,0,0,0,14608
1996,1232,0,0,0,15752
1997,1381,0,0,0,16084
1998,1342,0,0,2,14946
1999,1170,0,0,11,15771
2000,1011,0,0,246,17349
2001,879,0,0,365,18831
2002,584,0,0,447,19293
2003,594,0,0,366,21235
2004,593,0,0,617,23466
2005,808,0,0,717,27454
2006,843,0,0,759,32674
2007,729,0,0,755,36331
2008,835,0,0,963,42872
2009,967,0,0,2226,37129
2010,1024,0,0,3247,39103
2011,1224,0,0,4612,41499
2012,893,0,0,4369,40201
2013,711,0,0,4433,40979
2014,869,0,0,4406,42021
,,,,,39864
