Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960.0,290.0,0.0,0.0,0.0,,11263,0.0,0.0,248.33801,3242.2
1961.0,297.0,0.0,0.0,0.0,,11497,0.0,0.0,636.9970900000001,36696.6
1962.0,304.0,0.0,0.0,0.0,,13587,0.0,0.0,2204.75697,59502.2
1963.0,325.0,0.0,0.0,0.0,1083.0,13306,0.0,0.0,4540.749470000001,62292.0
1964.0,322.0,0.0,0.0,0.0,1230.0,11622,0.0,0.0,6331.60975,64142.2
1965.0,350.0,0.0,0.0,0.0,1374.0,13930,0.0,0.0,7323.95229,64542.4
1966.0,316.0,0.0,0.0,0.0,1494.0,14461,0.0,0.0,11374.08276,83276.4
1967.0,363.0,0.0,0.0,0.0,1643.0,14430,0.0,0.0,14575.220280000001,168930.8
1968.0,364.0,0.0,0.0,0.0,1899.0,11700,0.0,0.0,17507.829709999998,383983.2
1969.0,341.0,0.0,0.0,0.0,2073.0,10405,0.0,0.0,51347.416860000005,428927.4
1970.0,363.0,0.0,0.0,0.0,2359.0,8564,0.0,0.0,112636.43015,484972.8
1971.0,363.0,0.0,0.0,0.0,2539.0,10888,0.0,0.0,122427.39282000001,461065.2
1972.0,346.0,0.0,0.0,0.0,2743.0,10420,0.0,0.0,127754.80328,422779.4
1973.0,286.0,0.0,0.0,0.0,3041.0,10826,0.0,0.0,134272.38642,419473.4
1974.0,326.0,0.0,0.0,0.0,3999.0,10920,0.0,0.0,131761.24575,409497.4
1975.0,357.0,0.0,0.0,0.0,6220.0,11949,0.0,0.0,163486.61669,405037.2
1976.0,383.0,0.0,0.0,0.0,7470.0,11013,0.0,0.0,169317.98397,367708.4
1977.0,512.0,0.0,0.0,0.0,7544.0,10998,0.0,0.0,191411.03451,981365.8
1978.0,472.0,0.0,0.0,0.0,9130.0,11403,0.0,0.0,204894.11232000001,2601996.0
1979.0,459.0,0.0,0.0,0.0,10891.0,12308,0.0,0.0,222210.41376999998,2965743.0
1980.0,539.0,0.0,0.0,0.0,15282.0,12339,0.0,0.0,232343.87405,3431546.8
1981.0,590.0,0.0,0.0,0.0,21824.0,12604,0.0,0.0,244731.71749,3406554.6
1982.0,561.0,0.0,0.0,0.0,23461.0,12994,0.0,0.0,265371.65668,3589678.0
1983.0,593.0,0.0,0.0,0.0,22591.0,12261,0.0,0.0,278151.71661999996,3628056.6
1984.0,693.0,0.0,0.0,0.0,23787.0,13400,0.0,0.0,295471.28161,3656325.8
1985.0,748.0,0.0,0.0,0.0,26142.0,22354,0.0,0.0,336809.05098,3864151.4
1986.0,809.0,0.0,0.0,0.0,19181.0,24492,0.0,0.0,315800.92504,3951598.0
1987.0,872.0,0.0,0.0,0.0,22925.0,23275,0.0,0.0,404382.95003,4152533.2
1988.0,935.0,0.0,0.0,0.0,21270.0,27222,0.0,0.0,430999.81855,4281235.2
1989.0,873.0,0.0,0.0,0.0,23453.0,24679,0.0,0.0,436221.44922,3967078.2
1990.0,975.0,0.0,0.0,0.0,25040.0,26613,0.0,0.0,432358.61458,3754392.2
1991.0,896.0,0.0,0.0,0.0,22283.0,22401,0.0,0.0,500739.7922,3806824.2
1992.0,918.0,0.0,0.0,0.0,22753.0,23930,0.0,0.0,512421.67267,3638467.6
1993.0,1303.0,0.0,0.0,0.0,23284.0,24975,0.0,0.0,496654.99023,3349471.0
1994.0,1345.0,0.0,0.0,0.0,23605.0,24445,0.0,0.0,621304.39415,3299915.8
1995.0,1372.0,0.0,0.0,0.0,25449.0,26488,0.0,0.0,546409.86952,3141593.2
1996.0,1266.0,0.0,0.0,0.0,26737.0,23103,0.0,0.0,556011.90248,2957994.2
1997.0,1099.0,0.0,0.0,0.0,27581.0,22620,0.0,0.0,551062.22352,2743104.2
1998.0,1113.0,0.0,0.0,0.0,24030.0,20966,0.0,0.0,545546.18431,2487330.0
1999.0,817.0,0.0,0.0,0.0,24684.0,24414,0.0,0.0,540278.57049,2222554.2
2000.0,1002.0,0.0,0.0,0.0,26853.0,25599,0.0,0.0,445541.81503,2060154.2
2001.0,1346.0,0.0,0.0,1.0,28553.0,23618,0.0,0.0,552013.6190899999,2038183.8
2002.0,1439.0,0.0,0.0,0.0,29763.0,17877,0.0,0.0,538153.5789300001,2084143.0
2003.0,1583.0,0.0,0.0,0.0,32039.0,16863,0.0,0.0,561474.20657,2062375.6
2004.0,1498.0,0.0,0.0,0.0,35195.0,23587,0.0,0.0,542458.05616,1928297.0
2005.0,1464.0,0.0,0.0,1.0,40063.0,22682,0.0,0.0,547245.29173,1829436.0
2006.0,1224.0,0.0,0.0,1.0,44679.0,22230,0.0,0.0,496011.67888,1568818.8
2007.0,1291.0,0.0,0.0,1.0,49197.0,20654,0.0,0.0,487689.17746000004,1528851.0
2008.0,1172.0,0.0,0.0,0.0,55461.0,23041,0.0,0.0,447422.23285,1449269.2
2009.0,1324.0,0.0,0.0,7.0,50463.0,29016,0.0,0.0,442657.3784,1365900.0
2010.0,1433.0,0.0,0.0,13.0,54134.0,0,,,,
2011.0,1345.0,0.0,0.0,12.0,58759.0,0,,,,
2012.0,1575.0,0.0,0.0,37.0,60890.0,0,,,,
2013.0,1435.0,0.0,0.0,145.0,59762.0,0,,,,
2014.0,1539.0,0.0,0.0,152.0,58253.0,0,,,,
