Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB
1960.0,6239.0,0.0,0.0,0.0,,318818
1961.0,6747.0,0.0,0.0,0.0,,316466
1962.0,7540.0,0.0,0.0,0.0,,315608
1963.0,6384.0,0.0,0.0,0.0,7343.0,302841
1964.0,8760.0,0.0,0.0,0.0,8220.0,353711
1965.0,7103.0,0.0,0.0,0.0,8994.0,363439
1966.0,6926.0,0.0,0.0,0.0,9847.0,348418
1967.0,9139.0,0.0,0.0,0.0,10053.0,379465
1968.0,7382.0,0.0,0.0,0.0,10977.0,402841
1969.0,7515.0,0.0,0.0,0.0,11866.0,427737
1970.0,7632.0,0.0,0.0,0.0,12475.0,503797
1971.0,9936.0,0.0,0.0,0.0,13624.0,439719
1972.0,10233.0,0.0,0.0,0.0,15356.0,510021
1973.0,11803.0,314.0,0.0,0.0,17428.0,453403
1974.0,10369.0,6289.0,0.0,0.0,19454.0,463397
1975.0,12213.0,2722.0,0.0,0.0,21346.0,534692
1976.0,9458.0,4214.0,0.0,0.0,24324.0,508453
1977.0,10354.0,19522.0,0.0,0.0,26725.0,505587
1978.0,7893.0,22830.0,0.0,0.0,30546.0,492161
1979.0,11867.0,22090.0,0.0,0.0,33712.0,579943
1980.0,9408.0,23497.0,0.0,0.0,36142.0,633365
1981.0,6038.0,23643.0,0.0,0.0,40257.0,592488
1982.0,10731.0,27701.0,0.0,0.0,41778.0,645392
1983.0,11165.0,25145.0,0.0,0.0,45679.0,577138
1984.0,10798.0,24211.0,0.0,0.0,50010.0,657109
1985.0,6886.0,14313.0,0.0,0.0,53824.0,676254
1986.0,5251.0,11561.0,0.0,0.0,56134.0,634516
1987.0,7472.0,11248.0,0.0,0.0,60752.0,627489
1988.0,5383.0,12981.0,0.0,0.0,66008.0,649790
1989.0,13153.0,11524.0,0.0,0.0,68394.0,680322
1990.0,10367.0,12052.0,0.0,0.0,71610.0,707761
1991.0,10758.0,15875.0,0.0,0.0,76043.0,662160
1992.0,10260.0,19397.0,0.0,0.0,81260.0,623931
1993.0,9034.0,17823.0,0.0,0.0,84563.0,600868
1994.0,11429.0,20480.0,0.0,0.0,90098.0,568576
1995.0,9502.0,20752.0,0.0,0.0,95819.0,607149
1996.0,11082.0,29708.0,0.0,0.0,100146.0,607031
1997.0,11521.0,29573.0,0.0,0.0,104805.0,600683
1998.0,10565.0,28663.0,0.0,0.0,109414.0,568307
1999.0,7760.0,30892.0,0.0,0.0,115015.0,477573
2000.0,5818.0,31369.0,0.0,0.0,119020.0,472698
2001.0,8356.0,30357.0,0.0,0.0,122822.0,469961
2002.0,8825.0,31857.0,0.0,0.0,127873.0,460200
2003.0,12665.0,31677.0,0.0,0.0,134388.0,486363
2004.0,10626.0,31636.0,0.0,0.0,146989.0,531179
2005.0,10145.0,31694.0,0.0,0.0,156750.0,518423
2006.0,7252.0,31911.0,0.0,0.0,164468.0,443032
2007.0,4136.0,34325.0,0.0,0.0,169923.0,469035
2008.0,6136.0,38993.0,0.0,0.0,172646.0,506837
2009.0,12535.0,39716.0,0.0,0.0,168315.0,459528
2010.0,8704.0,37941.0,0.0,0.0,174710.0,0
2011.0,8884.0,39356.0,0.0,0.0,180665.0,0
2012.0,7435.0,40841.0,0.0,0.0,185878.0,0
2013.0,12899.0,40816.0,0.0,0.0,190095.0,0
2014.0,9467.0,41244.0,0.0,0.0,194421.0,0
